Samples,Experiment,Mode,Type,Folate,Status,Lrp6CDp1,Lrp6CDp2,Lrp6CDp3,Lrp6CDp4,Lrp6CDp5,Lrp6CDp6,Lrp6CDp7,Lrp6CDp8,Lrp6CDp9,Lrp6CDp10,Lrp6CDp11,Lrp6CDp12,Lrp6CDp13,Lrp6CDp14,Lrp6CDp15,Lrp6CDp16,Lrp6CDp17,Lrp6CDp18,Lrp6CDp19,Lrp6CDp20,Lrp6CDp21,Lrp6CDp22,Lrp6CDp23,Lrp6CDp24,Lrp6CDp25,Lrp6CDp26,Lrp6CDp27,Lrp6CDp28,Lrp6CDp29,Lrp6CDp30,Lrp6CDp31,Lrp6CDp32,Lrp6CDp33,Lrp6CDp34,Lrp6CDp35,Lrp6CDp36,Lrp6CDp37,Lrp6CDp38,Lrp6CDp39,Lrp6CDp40,Lrp6CDp41,Lrp6CDp42,Lrp6CDp43,Lrp6CDp44,Lrp6CDp45,Lrp6CDp46,Lrp6CDp47,Lrp6CDp48,Lrp6CDp49,Lrp6CDp50,Lrp6CDp51,Lrp6CDp52,Lrp6CDp53,Lrp6CDp54,Lrp6CDp55,Lrp6CDp56,Lrp6CDp57,Lrp6CDp58,Lrp6CDp59,Lrp6CDp60,Lrp6CDp61,Lrp6CDp62,Lrp6CDp63,Lrp6CDp64,Lrp6CDp65,Lrp6CDp66,Lrp6CDp67,Lrp6CDp68,Lrp6CDp69,Lrp6CDp70,Lrp6CDp71,Lrp6CDp72,Lrp6CDp73,Lrp6CDp74,Lrp6CDp75,Lrp6CDp76,Lrp6CDp77,Lrp6CDp78,Lrp6CDp79,Lrp6CDp80,Lrp6CDp81,Lrp6CDp82,Lrp6CDp83,Lrp6CDp84,Lrp6CDp85,Lrp6CDp86,Lrp6CDp87,Lrp6CDp88,Lrp6CDp89,Lrp6CDp90,Lrp6CDp91,Lrp6CDp92,Lrp6CDp93,Lrp6CDp94,Lrp6CDp95,Lrp6CDp96,Lrp6CDp97,Lrp6CDp98,Lrp6CDp99,Lrp6CDp100,Lrp6CDp101,Lrp6CDp102,Lrp6CDp103,Lrp6CDp104,Lrp6CDp105,Lrp6CDp106,Lrp6CDp107,Lrp6CDp108,Lrp6CDp109,Lrp6CDp110,Lrp6CDp111,Lrp6CDp112,Lrp6CDp113,Lrp6CDp114,Lrp6CDp115,Lrp6CDp116,Lrp6CDp117,Lrp6CDp118,Lrp6CDp119,Lrp6CDp120,Lrp6CDp121,Lrp6CDp122,Lrp6CDp123,Lrp6CDp124,Lrp6CDp125,Lrp6CDp126,Lrp6CDp127,Lrp6CDp128,Lrp6CDp129,Lrp6CDp130,Lrp6CDp131,Lrp6CDp132,Lrp6CDp133,Lrp6CDp134,Lrp6CDp135,Lrp6CDp136,Lrp6CDp137,Lrp6CDp138,Lrp6CDp139,Lrp6CDp140,Lrp6CDp141,Lrp6CDp142,Lrp6CDp143,Lrp6CDp144,Lrp6CDp145,Lrp6CDp146,Lrp6CDp147,Lrp6CDp148,Lrp6CDp149,Lrp6CDp150,Lrp6CDp151,Lrp6CDp152,Lrp6CDp153
emb_280_7,cd_exp1,pos,sample,2ppm,N wt/wt,6835.824611,562360.5318,62995.393,6352.462564,102364.9278,856890.0221,4993306.228,39411.51723,373838.1484,20117.47504,21129446.57,1460044.104,268860.9526,348932.0858,973057.5855,312806.7516,21368533.78,65348.3187,6903342.993,9163891.561,4559878.02,220276.3766,2136632.068,15892264.38,138590.8586,630227.3385,22444870.48,5691304.95,5264254.499,1337920.167,478685.1591,1103804.911,805205.0379,3407793.362,1791950.804,8323.391277,394777.8343,271805.0171,8303.385011,19909.61672,190587.4336,96002.82309,12674972.72,2212548.359,10694482.78,2725403.286,123230.6549,36055.63953,1422.013083,576105.4105,33340.41471,162786.5224,225242.273,8202737.878,5399083.663,12752.96393,25948.93992,87168.3669,2606.534452,2161.03549,4441035.367,35664.73425,122354.5952,3004259.175,3614.687791,10946836.49,26045.02567,1451306.408,950002.5923,98521.94777,786.7521016,8747.531179,1572545.045,23561.0502,172957.0971,1930851.192,69800.44686,518408.0545,363918.0922,62327.14764,145932.5978,82418.41643,6386690.226,48536.78542,1975571.752,151539.0058,1055630.791,81337.97096,57898.66793,155152.2341,27425.04482,206303.2253,721089.7539,93389.49262,35068.67727,1483263.099,93761.98037,147694.3246,45828.38982,232868.7391,371.8560279,11711.60179,68001.91959,596585.9018,418587.0501,53670.1351,48286.70758,7663.291397,22095.82762,9163.913531,78038.83264,119090.2075,41848.31895,97932.11512,96504.16524,18369.33334,26268.51118,116980.7828,281849.2252,4021.776142,242053.0538,129678.8274,15813.71098,6236.311997,25772.36894,49790.80954,2746.376061,3939.24808,82101.34724,716071.4291,97561.22349,221461.4908,518311.1965,631.6586627,717215.3002,29432.26173,244358.8043,178455.1135,12629.51008,306372.948,183017.1213,226520.6133,124069.5224,5411.666865,8649.82726,22498.30863,1236.032803,18178652.39,522474.2324,177536.7155,14187190.78,44445.63564,6467802.391
emb_320_6,cd_exp1,pos,sample,2ppm,N wt/wt,671.2744539,826800.8101,46937.40372,14149.24112,35642.12547,937788.1089,6683532.363,44354.94281,467472.878,23575.42272,25315919.26,2042954.282,304596.2143,340036.4835,134723.8166,297343.5033,24738263.53,39985.50778,7915767.553,11959619.06,6506944.48,402859.4502,4201025.611,18004718.32,15327.12467,661113.6953,22234302.41,7879604.811,6257444.794,1399157.56,655684.1276,1149879.015,1141468.596,1630810.958,1416319.58,7885.415414,449854.008,288435.3143,6209.549109,20989.59564,230857.9101,91305.32649,12485441.27,2324825.482,12785562.58,3503453.358,147960.0984,413.7780553,5070.336117,663246.2797,15268.38422,19985.47002,220888.256,9474724.185,6317803.559,14012.07128,12242.46266,40540.44432,2154.397193,9531.623686,4519195.35,44023.49051,165459.2233,3558675.594,118.4171123,32476318.15,34056.22552,1469111.352,987201.8808,118195.8714,47757.59136,11548.75825,2162877.054,45250.51127,6837.798655,2129015.182,,436555.4338,21357.27965,51251.98277,166406.7763,85065.09155,4541983.07,53193.19287,261604.4808,71922.75833,270926.0728,72158.01501,72912.71539,71236.98753,52272.08142,210291.3011,809684.2924,108833.7755,39292.43945,1846380.313,98336.40425,161111.8629,28819.29421,143132.7944,7652.418843,17355.88278,73464.03595,333533.0871,506090.1402,73340.18472,22860.25876,10411.17262,29001.58128,8595.253407,129229.309,84618.40158,58669.26348,60928.82105,127745.3375,24367.51401,28199.53059,98006.70167,275018.5327,6502.376681,250475.6924,193944.5547,20548.25744,6771.658304,30003.6155,106518.3048,19054.80688,22482.57785,63924.17203,837493.9359,220209.6376,156244.7925,379041.4922,11036.55017,1162968.016,22509.10843,49227.78808,216377.4179,8473.289042,326222.8466,173598.3149,229601.0858,274922.0869,3123.785919,15936.87159,28220.20854,8338.709186,21896386.93,619952.4312,198471.3401,15161059.32,47164.21197,8379462.555
emb_302_7,cd_exp1,pos,sample,2ppm,N wt/wt,10469.9363,837850.5773,62162.69318,4256.965271,111720.9698,829125.9081,5215745.37,42380.79121,505566.8156,24618.26539,22260692.04,1374415.33,309235.6244,239998.2003,1051187.447,265052.0006,21302066.89,78649.43,7089952.502,12973086.32,4615565.08,110229.114,826358.6139,15442431.18,69662.8938,593145.9507,19914735.66,7029318.678,5725049.306,1350026.502,349293.3524,749761.7307,734405.3743,2149394.854,398121.293,17964.01862,225750.5976,322278.5164,17919.2888,25795.28332,214169.8318,147656.5567,15127071.38,1346904.614,9074133.51,3139545.818,141208.8764,13571.96251,6321.762392,710329.4464,6456.213139,368979.8057,150892.9998,7313176.711,5432686.689,10747.29503,35061.2327,89436.88922,3191.929107,11930.29275,3109585.318,28699.65937,147510.2936,2741235.212,44719.77468,23998594.76,29603.8298,1399254.818,849488.9035,107203.5487,14717.59596,1164.821092,1484963.089,27951.04406,222009.2512,2352735.025,27220.06977,273643.4797,246732.9709,31393.74865,145263.1776,84635.47805,6360403.066,57755.72443,529542.9114,72108.52745,473589.8108,6668.742868,57618.76483,91658.88133,39553.43929,126236.2147,421407.1206,79781.61279,9637.750166,465816.8389,22745.97759,117735.6174,37714.69794,216827.3032,6500.370613,18194.47325,92017.14025,473224.9795,484378.284,46361.53876,36466.16318,485.2713571,22461.26256,4223.78298,98704.33248,83511.38814,48293.70693,56448.3917,93395.17486,15376.60741,22381.41873,117633.1863,295411.7771,16726.77978,213415.5521,147536.3171,15089.33304,6591.181882,19633.81921,65284.79968,5944.102287,8451.672948,45136.41826,491194.3188,116724.9237,114094.1756,273169.6498,1910.598576,680629.668,19870.06428,67626.30571,147856.0527,9537.941381,288844.1609,153895.8337,228105.2501,223795.6299,8488.118687,14089.43965,13766.40357,3746.126132,22004257.4,613631.8825,198445.2648,15114504.59,52068.20031,9065000.622
emb_366_3,cd_exp1,pos,sample,2ppm,N wt/wt,15763.05914,1247801.104,91286.22173,3153.022977,50824.21166,851365.9281,6143921.964,47033.32902,296137.8835,24347.88696,28239677.49,1718003.696,333258.9444,483369.3459,1755042.455,269036.4809,22429194.69,73214.67508,8216263.431,10221639.44,6058595.368,189490.826,706057.7229,16561243.84,136387.3189,777157.2938,20871137.65,8060112.964,6342523.168,1681080.381,715779.3557,1375123.714,1510224.337,4788765.25,2366245.621,11730.98504,400888.8697,344708.0042,12536.26731,25740.03859,174391.0267,110399.5333,15196826.47,3025705.646,13470007.25,3573253.865,137963.5949,150714.9668,9373.354523,815833.357,48618.0817,603370.7358,198902.7936,8912173.185,6603758.837,14429.80333,52466.23688,41950.97043,1610.837855,8696.881334,7091482.988,40279.71221,121455.3967,3694691.303,10424.79929,4917211.247,24403.69064,1251545.704,967239.0459,120440.0897,44017.32322,10797.66263,2299566.005,46398.29943,268955.3306,896748.5077,62337.55364,772171.8625,1070977.474,90892.99743,127827.0759,124824.8432,5617540.099,39553.20812,187598.2303,98354.73697,322233.4312,74909.68783,47442.79103,74042.19411,32160.06293,205554.5728,1003460.157,93045.41979,59436.11954,434646.2818,51569.46569,162305.8711,16700.84644,84891.82279,3509.063831,20704.98717,105299.2144,350099.3534,573213.2695,72564.18578,20627.66396,17143.22273,38836.64605,15157.56045,88554.0465,92138.34741,53418.95668,185272.4195,119443.9762,17516.38049,14934.98501,51774.57426,177522.7265,14369.45599,261247.7491,135022.7595,20769.10592,4145.021441,26166.64468,91583.21103,14133.61147,14919.97627,62360.97761,834349.7419,221768.0991,172425.404,395543.1953,13302.45239,1360415.345,21904.52107,58617.20842,151150.3707,8044.277467,272304.2674,162095.902,280172.3342,323403.8221,4148.52758,31260.26886,49108.3098,5823.338619,22242233.85,672926.9285,182571.4072,15692265.94,64852.56002,9487044.707
emb_414_2,cd_exp1,pos,sample,2ppm,N wt/wt,2782.494716,923793.5755,53807.26947,4793.768321,62563.25266,644662.2535,3691417.515,59733.41585,195356.5995,35225.67126,13161026.92,908191.6181,395534.7019,91022.25319,193510.7447,190822.9595,18120095.16,69297.8028,2777848.467,5904776.659,2311981.511,225935.7008,865228.9521,14168007.09,48347.86478,338668.5056,16297694.57,2521276.297,2042672.835,623400.9168,256801.899,1353545.415,494180.3513,1802552.239,910271.4777,11502.24854,428690.9753,265314.6614,27485.72967,25541.05848,93999.96439,98521.92427,2885612.392,560455.6956,10357237.7,1292569.607,58735.94601,17269.70299,804.923116,322126.2836,20981.81826,57194.95411,134561.4727,4698003.277,2131500.983,4530.476444,11127.64674,40274.94214,2688.566769,3530.629008,1502012.083,33195.50847,123752.7767,1110016.856,1467.583119,10482407.11,23365.43501,1110397.598,304778.1611,92701.22241,52111.02983,806.641065,407742.9102,14985.50729,22618.19402,1138891.808,17797.71085,128862.093,112435.0741,12485.03515,82670.21163,,5317614.44,21112.39442,184087.055,34832.61744,375767.1033,46164.34959,57852.52615,56103.27253,38075.07777,276314.7037,650850.6518,107849.1371,109792.1335,625395.2736,117735.6931,292296.9765,29772.228,150234.8677,1969.313302,24078.16101,168231.945,289494.032,937691.3092,116990.4026,23561.39994,10477.73492,10480.65888,1866.108883,42837.50956,88649.72811,26510.20156,81928.55394,36739.29685,17669.53247,13853.88499,69936.26797,130373.388,4255.725617,187154.7033,400581.514,12426.42602,6994.476901,26504.05258,98778.78565,11459.66942,12311.75744,58839.97569,1027863.057,152582.67,283220.7096,435913.9961,6293.880923,2057962.453,27494.36641,83873.51309,69279.32457,3816.38241,295750.8688,169394.3229,216444.6834,210898.8155,168.5489738,22348.2612,140883.3124,8895.154709,23877780.73,756324.1973,216451.2082,18854966.64,57174.31343,10009140.84
emb_254_6,cd_exp1,pos,sample,2ppm,A cd/cd,5780.718003,391137.8514,30294.35667,3759.551075,50067.50089,535038.433,3534088.414,31821.30547,252196.5994,14073.11453,21955258.07,790817.2623,169146.3744,162511.8743,701060.4261,242009.6677,15692579.81,13718.3532,3625624.713,5006872.572,2559387.876,138969.4335,1244422.73,9609321.501,32773.2739,377218.4487,13863587.71,4491773.278,3130603.311,645044.8437,224577.724,598990.3499,1074060.779,2760654.707,1302189.727,4351.885795,261402.3619,107374.6804,8846.083211,18476.3236,82097.47204,71423.54317,5474419.426,690327.9527,6636839.506,1840898.846,79718.80349,17518.57135,626.9607191,280964.536,15664.80904,184674.7053,84721.1752,3120238.215,3372321.325,10344.79659,20172.36138,36732.56787,,5068.732308,716101.6336,20289.75995,44140.80295,1671088.303,1230.601783,4865271.985,1318.370165,561379.1835,526550.6056,55271.22563,9004.107248,2151.678207,675426.2051,10342.41137,166623.3238,812083.7084,14089.63198,217593.6988,121715.0436,23945.98445,81709.3058,53860.95514,1974034.523,25544.70687,242036.2482,39426.23147,276815.4145,58131.31519,64833.05851,38724.6116,21247.04207,227247.8432,414907.192,80226.25446,62858.2806,617657.973,96685.15154,142268.4213,19003.14563,94039.26046,1102.416744,7402.2719,117553.3139,262095.1121,791839.8816,91575.6712,18193.35314,10212.5044,22332.71988,7969.701877,79189.07173,53343.13894,68165.13247,39056.36933,280498.0791,3120.483447,39896.19205,281334.1927,776423.176,1627.240785,70911.14921,2240683.733,2420.895015,5965.08367,20144.65107,51013.46497,141.0922391,,33772.02556,310649.1743,32463.39497,101228.2809,228471.2187,,462495.623,15418.51645,2328.191757,96251.93726,1279.684396,94825.00251,49872.09189,60920.21718,45276.21371,446.6892633,15941.95023,60103.68403,,20165167.95,682217.9847,193812.519,16703061.91,40814.56621,8018707.503
emb_263_5,cd_exp1,pos,sample,2ppm,A cd/cd,7638.156716,555588.5368,46164.17372,2627.449699,59605.82309,661472.1867,3357371.492,49287.55058,253527.3626,19347.96082,17377192.75,960093.9212,230785.4779,151710.9303,683625.0925,200861.5915,15249188.08,19430.85344,3785374.122,4688864.306,2703471.037,118369.2046,794783.2262,11489263.79,50881.38431,280403.0782,16962738.33,3321247.065,2888349.109,700654.2944,332775.003,815932.3043,934274.728,2463963.251,1187699.567,4005.081432,201717.2179,166333.7201,12928.77258,19088.02989,65401.20487,94403.55892,7544920.111,867449.0365,6447466.245,1781983.944,81688.57201,68667.61792,1026.866049,322611.1138,34801.14998,274545.1341,99474.39338,3281380.01,2813834.812,6569.649485,9204.201712,99742.1872,485.757811,3991.249524,1906335.771,28357.74086,142119.5632,1412151.339,4300.075863,1992024.947,13972.33115,686195.8784,427734.6717,60433.84533,5476.841782,1687.407374,539969.6023,15442.09544,160336.9956,1022057.856,22796.18434,197704.8573,184238.3657,21913.57545,65224.78571,30962.42204,3402330.196,25912.09864,1348174.642,92188.79895,84858.21975,66156.96606,62663.49171,38897.7753,24404.71471,255221.3462,227532.7628,64926.35862,65308.08668,364096.8052,135180.8712,212289.5008,22567.60082,132157.3793,520.7153789,12031.08551,132731.0141,329152.5538,863177.8428,113640.1591,24274.40113,13051.12409,5356.296306,20091.48261,38975.8481,46163.50531,12255.90383,110805.663,34897.36315,7214.346044,20749.28376,138205.0489,288035.3781,2625.017666,124491.5917,226507.2663,7400.311415,4403.047052,16739.76759,62554.19297,689.1239953,472.9110016,34415.86644,352794.3949,62360.04996,99729.89095,187656.8603,388.2616232,586915.1058,15041.63771,48688.63999,82869.01142,2391.872587,157915.0399,83954.26232,117993.4222,77930.48676,1721.043613,13580.20863,48795.66764,,21366973.68,755964.1266,184643.4065,18260736.48,59587.43504,8367067.026
emb_320_4,cd_exp1,pos,sample,2ppm,A cd/cd,9659.823176,715860.607,49545.06481,3669.827715,42394.85148,657409.5223,4715606.351,36601.76172,322741.3802,20427.1801,22401066.26,1367013.235,194752.7151,216617.528,794952.8846,215349.9293,16811314.57,45356.27451,5056134.948,5085660.887,3872626.626,201002.5004,819907.0261,12830010.42,46264.09087,417600.0701,16205869.04,5898893.53,4619244.414,994034.8986,527220.6868,936216.3159,935732.4672,2912402.571,1294371.963,7712.506686,403468.0884,185752.2862,10567.89751,21864.79221,102183.0439,102199.4721,11926894.56,1323265.362,8910344.258,2710614.191,124162.3027,53584.80187,4196.754892,421109.4903,26197.12694,321710.0393,159197.1169,4313720.996,4405319.294,9489.900347,25657.11595,54134.19184,170.501134,9565.513601,2827418.56,24485.50215,97230.77539,2398314.689,4776.843218,3614916.081,6892.233356,915456.9663,701129.105,81236.49249,17136.58499,4198.259649,1054593.415,31595.82268,189145.3694,1298676.78,19048.23627,258160.9712,238896.5922,28388.56718,97430.89625,61617.75939,2875990.941,43802.21229,254549.0344,60976.33835,434606.9544,55104.87962,62745.09827,49389.52568,28349.02879,220588.4327,279917.2191,88750.9644,39634.00951,329927.2128,96151.13886,139132.0666,27963.73333,142208.1169,5365.140177,9530.869944,110443.3407,375966.9537,667797.0234,82412.72613,24109.35102,16329.2182,18478.17221,9085.482511,103434.4041,70356.53391,46419.77605,80021.31355,163887.9719,10458.92186,21868.53974,126382.3525,371197.4986,7328.892376,151550.1691,696714.117,11223.65647,5672.897831,18621.05166,68164.7925,2914.162347,3488.362356,45819.00135,427974.9356,84642.16914,98700.50697,238873.068,727.5070857,667013.1643,15475.95652,9701.349721,130638.4068,2792.96731,164602.7332,89441.67348,135737.3746,106716.6044,616.2195482,20428.63327,53796.32254,1132.133841,21972955.27,537188.575,171686.7215,14056742.2,48543.18705,9578393.241
emb_367_7,cd_exp1,pos,sample,2ppm,A cd/cd,18471.17666,1000482.614,88175.10484,2087.687253,51942.38061,779010.1041,5313412.513,62470.28926,299405.2568,22609.1546,11435602.6,1422269.72,302669.1164,216566.034,1051546.958,212553.1735,21979020.29,73265.83379,5624578.79,7083216.442,4025981.347,141152.2125,535632.0432,14108159.64,150359.2204,596125.2688,19642995.47,5214257.142,4366630.563,1311484.359,548291.6375,1294710.014,678203.0621,3060770.674,1830870.087,9825.263871,213930.3289,244029.3864,18358.90275,22389.96079,104049.1461,144448.8676,11830103.48,1786171.507,10663934.48,2752633.923,109881.5143,96912.47543,3534.912849,566320.2714,32431.43916,721864.006,160324.6828,6313040.533,4049249.103,10919.39969,41883.89102,57479.62224,2338.701685,4538.093556,5172526.384,40738.32643,140937.2723,2056838.578,15240.78182,1250900.261,17885.56662,1498289.301,610114.203,120863.7415,50848.44782,7132.442044,1195670.215,57655.40107,331711.6202,1607775.632,87997.14308,208464.3425,203200.8991,23809.29112,86681.25127,78092.23316,7150099.373,34219.94331,177122.387,81244.59936,294813.5252,86660.96536,63729.46515,46496.34753,44356.56704,263920.7898,482956.3846,142893.505,68910.62302,190077.6294,87781.85909,189114.1911,12080.62939,68644.24846,4449.320885,16270.70565,121015.8132,187725.8781,676420.1623,85982.4129,10195.53399,10692.32095,26617.70424,5731.857765,25074.2724,68792.73426,33104.79496,506731.6975,84974.13146,17874.44589,13109.64875,40546.93062,132952.5893,12557.87335,177328.2745,691139.4758,13735.48436,5840.516073,20560.88918,81829.46959,16033.36068,20766.01734,57691.67847,877317.5821,194639.8602,171681.4605,371354.6935,11220.5082,1646989.592,29722.21656,33918.42899,187826.8091,3200.837927,194406.7881,115342.7909,182336.917,202832.88,955.04562,22589.19265,82075.71869,2968.879913,20809575.21,643473.9956,161740.6783,14063599.22,37816.00442,9282862.766
emb_414_4,cd_exp1,pos,sample,2ppm,A cd/cd,2908.406004,1012857.981,54278.47783,4105.234409,55700.80953,623674.8591,3159059.058,74480.86887,181979.1222,32328.92585,10284103.57,749443.7607,355328.3334,68226.74253,120318.6715,182653.8001,16430612.11,95155.60902,2631912.442,7276302.196,2347115.993,296716.8832,954481.5326,14054504.64,32982.10492,316383.2422,14767920.98,2305043.407,1707558.82,560662.4532,256059.2101,1250156.62,467358.6996,1379505.517,894081.3431,17261.35585,477543.1819,276637.3842,31653.17755,28291.95256,102115.3986,90103.78238,2693545.952,441295.682,9341980.022,1115753.423,51348.83557,19800.367,1928.690113,267221.8629,20238.30614,50560.81255,123297.9888,4364954.884,2043503.777,3726.192829,15983.57347,27685.37808,2608.268942,2927.609676,1171891.457,40712.17843,125330.4587,1115918.722,2461.657842,11031933.63,22277.5029,1157104.653,316512.2206,110541.168,52726.0298,350.0102327,226228.9533,5327.773435,7345.162782,1113989.661,14805.70678,108619.3463,74568.6575,10262.82249,87753.39684,,4613737.313,16653.05488,177499.1499,16158.73646,335601.7486,55401.38825,62673.31512,13045.87877,33310.47166,300115.0994,633051.0144,89438.81947,36485.33529,221821.9731,170810.588,182867.9771,27114.33569,121110.4509,4866.494169,24941.02818,146301.6611,289826.5227,942282.9231,130236.0954,21313.92853,21174.45597,12548.47861,1477.50967,27697.88289,74523.10068,16119.99941,81136.35281,46463.3414,18536.87892,8548.384551,32491.42046,79469.27965,4105.959446,186562.7532,177738.3847,12896.37943,3463.055265,23437.34173,85370.38853,10109.66508,10645.62222,48098.20222,831859.304,142012.2298,203806.6794,336520.4354,4977.987648,1574156.31,22424.52227,111955.2588,42616.28849,3945.548956,290559.4334,179799.3626,222121.9195,222783.0382,380.3530647,17119.53953,214536.4079,6495.807285,21911965.02,660545.8775,186761.7446,17080706.35,54256.52612,8153268.013
