compound_short,compound_full,Formula,Mass,RT,CAS_ID
Lrp6CDn1,Propiolic Acid,C3 H2 O2,70.003,0.79,471-25-0
Lrp6CDn2,Methylglyoxal,C3 H4 O2,72.021,1.74,78-98-8
Lrp6CDn3,Glycine,C2 H5 N O2,75.031,8.96,56-40-6
Lrp6CDn4,Pyruvate,C3 H4 O3,88.015,1.91,127-17-3
Lrp6CDn5,Alanine,C3 H7 N O2,89.047,8.49,56-41-7
Lrp6CDn6,Sarcosine,C3 H7 N O2,89.047,9.58,107-97-1
Lrp6CDn7,Lactic Acid,C3 H6 O3,90.031,2.47,79-33-4
Lrp6CDn8,2-Aminobutyric Acid,C4 H9 N O2,103.061,8.01,1492-24-6
Lrp6CDn9,3-Aminoisobutyric Acid (BAIBA),C4 H9 N O2,103.062,8.62,144-90-1
Lrp6CDn10,2-Hydroxybutyric Acid,C4 H8 O3,104.046,2.32,3347-90-8
Lrp6CDn11,3-Hydroxybutyric Acid,C4 H8 O3,104.046,3.18,300-85-6
Lrp6CDn12,Serine,C3 H7 N O3,105.041,8.45,56-45-1
Lrp6CDn13,Hypotaurine,C2 H7 N O2 S,109.018,8.98,300-84-5
Lrp6CDn14,Uracil,C4 H4 N2 O2,112.025,2.02,66-22-8
Lrp6CDn15,Thiosulfate,H2 O3 S2,113.943,5.32,14383-50-7
Lrp6CDn16,Proline,C5 H9 N O2,115.062,9.3,147-85-3
Lrp6CDn17,Fumaric Acid,C4 H4 O4,116.01,6.79,110-17-8
Lrp6CDn18,Caproic Acid,C6 H12 O2,116.078,1.47,142-62-1
Lrp6CDn19,Valine,C5 H11 N O2,117.077,7.49,72-18-4
Lrp6CDn20,Succinic Acid,C4 H6 O4,118.025,7.62,110-15-6
Lrp6CDn21,Threonine,C4 H9 N O3,119.056,8.1,72-19-5
Lrp6CDn22,Taurine,C2 H7 N O3 S,125.014,5.03,107-35-7
Lrp6CDn23,Pyroglutamic Acid,C5 H7 N O3,129.041,5.33,98-79-3
Lrp6CDn24,Ketoleucine,C6 H10 O3,130.062,1.31,816-66-0
Lrp6CDn25,trans-4-Hydroxyproline,C5 H9 N O3,131.057,7.89,51-35-4
Lrp6CDn26,Creatine,C4 H9 N3 O2,131.067,9.58,57-00-1
Lrp6CDn27,Leucine,C6 H13 N O2,131.093,6.69,61-90-5
Lrp6CDn28,Isoleucine,C6 H13 N O2,131.093,6.93,73-32-5
Lrp6CDn29,Glutaric Acid,C5 H8 O4,132.041,8.14,110-94-1
Lrp6CDn30,Ethylmalonic Acid,C5 H8 O4,132.042,2.4,601-75-2
Lrp6CDn31,3-Ureidopropionic Acid,C4 H8 N2 O3,132.047,6.13,462-88-4
Lrp6CDn32,Asparagine,C4 H8 N2 O3,132.052,8.75,70-47-3
Lrp6CDn33,2-Hydroxy-3-methylpentanoic Acid,C6 H12 O3,132.076,1.74,448-15-3
Lrp6CDn34,Ornithine,C5 H12 N2 O2,132.087,24.55,70-26-8
Lrp6CDn35,Aspartic Acid,C4 H7 N O4,133.036,8.42,56-84-8
Lrp6CDn36,Adenine,C5 H5 N5,135.053,3.72,73-24-5
Lrp6CDn37,Hypoxanthine,C5 H4 N4 O,136.037,2.67,68-94-0
Lrp6CDn38,Urocanic Acid,C6 H6 N2 O2,138.04,2.62,104-98-3
Lrp6CDn39,O-Phosphoethanolamine,C2 H8 N O4 P,141.018,14.69,1071-23-4 
Lrp6CDn40,Caprylic Acid,C8 H16 O2,144.112,1.31,124-07-2
Lrp6CDn41,2-Oxoglutaric Acid,C5 H6 O5,146.02,6.39,328-50-7
Lrp6CDn42,Glutamine,C5 H10 N2 O3,146.068,8.89,56-85-9
Lrp6CDn43,Lysine,C6 H14 N2 O2,146.104,24.98,56-87-1
Lrp6CDn44,N-Acetylserine,C5 H9 N O4,147.051,3.49,16354-58-8
Lrp6CDn45,Glutamic Acid,C5 H9 N O4,147.052,8.62,56-86-0
Lrp6CDn46,3-Hydroxyglutaric Acid,C5 H8 O5,148.034,7.74,638-18-6
Lrp6CDn47,Methionine,C5 H11 N O2 S,149.05,6.71,63-68-3
Lrp6CDn48,Guanine,C5 H5 N5 O,151.045,6.72,73-40-5
Lrp6CDn49,Xanthine,C5 H4 N4 O2,152.032,1.93,69-89-6
Lrp6CDn50,4-Hydroxyphenylacetic Acid,C8 H8 O3,152.046,1.16,156-38-7
Lrp6CDn51,3-Sulfinoalanine,C3 H7 N O4 S,153.01,7,1115-65-7
Lrp6CDn52,Histidine,C6 H9 N3 O2,155.068,10.91,71-00-1
Lrp6CDn53,Dihydroorotic Acid,C5 H6 N2 O4,158.032,2.3,5988-19-2
Lrp6CDn54,Allantoin,C4 H6 N4 O3,158.043,1.83,97-59-6
Lrp6CDn55,2-Aminoadipic Acid,C6 H11 N O4,161.066,9.34,542-32-5
Lrp6CDn56,Phenylpyruvic Acid,C9 H8 O3,164.046,1.51,156-06-9
Lrp6CDn57,Phenylalanine,C9 H11 N O2,165.078,6.24,63-91-2
Lrp6CDn58,Phosphoenolpyruvate,C3 H5 O6 P,167.983,10.47,138-08-9
Lrp6CDn59,Uric Acid,C5 H4 N4 O3,168.028,2.85,69-93-2
Lrp6CDn60,D-Glyceraldehyde 3-phosphate (G3P),C3 H7 O6 P,169.998,10.64,591-57-1
Lrp6CDn61,Glycerol 1-Phosphate / Glycerol 3-Phosphate,C3 H9 O6 P,172.01,10.34,17989-41-2
Lrp6CDn62,Capric Acid,C10 H20 O2,172.143,1.19,334-48-5
Lrp6CDn63,cis-Aconitic Acid,C6 H6 O6,174.013,7.46,499-12-7
Lrp6CDn64,Arginine,C6 H14 N4 O2,174.109,24.54,74-79-3
Lrp6CDn65,N-Acetylaspartic Acid,C6 H9 N O5,175.047,7.89,997-55-7
Lrp6CDn66,Ascorbic Acid,C6 H8 O6,176.032,2.25,50-81-7
Lrp6CDn67,N-Carbamoyl-L-aspartic Acid,C5 H8 N2 O5,176.044,7.97,13184-27-5
Lrp6CDn68,D-Fructose,C6 H12 O6,180.061,3.27,57-48-7
Lrp6CDn69,myo-Inositol,C6 H12 O6,180.061,5.55,87-89-8
Lrp6CDn70,D-Glucose,C6 H12 O6,180.062,2.48,50-99-7
Lrp6CDn71,Tyrosine,C9 H11 N O3,181.073,6.39,60-18-4
Lrp6CDn72,4-Hydroxyphenyllactic Acid,C9 H10 O4,182.052,1.7,6482-98-0
Lrp6CDn73,Kynurenic Acid,C10 H7 N O3,189.044,0.81,492-27-3
Lrp6CDn74,N-Acetylglutamic Acid,C7 H11 N O5,189.062,7.96,1188-37-0
Lrp6CDn75,5-Hydroxyindoleacetic Acid (5HIAA),C10 H9 N O3,191.059,2.46,54-16-0
Lrp6CDn76,Lauric Acid,C12 H24 O2,200.177,1.18,143-07-7
Lrp6CDn77,Tryptophan,C11 H12 N2 O2,204.089,5.97,73-22-3
Lrp6CDn78,Phosphocreatine,C4 H10 N3 O5 P,211.034,11.38,67-07-2
Lrp6CDn79,Tridecanoic acid,C13 H26 O2,214.192,1.16,638-53-9
Lrp6CDn80,Glycerylphosphorylethanolamine,C5 H14 N O6 P,215.053,10.39,1190-00-7
Lrp6CDn81,O-Succinylhomoserine,C8 H13 N O6,219.073,7.26,1492-23-5
Lrp6CDn82,Pantothenic Acid,C9 H17 N O5,219.11,4.49,137-08-6
Lrp6CDn83,Myristoleic Acid,C14 H26 O2,226.189,1.17,544-64-9
Lrp6CDn84,Myristic Acid,C14 H28 O2,228.208,1.15,544-63-8
Lrp6CDn85,Melatonin,C13 H16 N2 O2,232.129,1.15,73-31-4
Lrp6CDn86,10(Z)-Pentadecenoic Acid,C15 H28 O2,240.204,1.14,84743-29-3
Lrp6CDn87,Pentadecanoic Acid,C15 H30 O2,242.224,1.15,1002-84-2
Lrp6CDn88,Cytidine,C9 H13 N3 O5,243.084,4.65,65-46-3
Lrp6CDn89,Uridine,C9 H12 N2 O6,244.07,1.79,58-96-8
Lrp6CDn90,Palmitoleic Acid,C16 H30 O2,254.224,1.14,373-49-9
Lrp6CDn91,Palmitic Acid,C16 H32 O2,256.241,1.14,57-10-3
Lrp6CDn92,Inosine,C10 H12 N4 O5,268.08,2.82,58-63-9
Lrp6CDn93,10(Z)-Heptadecenoic Acid,C17 H32 O2,268.237,1.14,29743-97-3
Lrp6CDn94,Heptadecanoic Acid,C17 H34 O2,270.253,1.13,506-12-7
Lrp6CDn95,Estradiol-17alpha,C18 H24 O2,272.18,1,57-91-0
Lrp6CDn96,cis-Vaccenic Acid,C18 H34 O2,282.256,1.13,506-17-2
Lrp6CDn97,Oleic Acid,C18 H34 O2,282.256,1.13,112-80-1
Lrp6CDn98,Orotidine,C10 H12 N2 O8,288.06,2.12,2149-82-8
Lrp6CDn99,Ophthalmic Acid,C11 H19 N3 O6,289.124,8.84,495-27-2
Lrp6CDn100,Ricinoleic Acid,C18 H34 O3,298.25,1.18,141-22-0
Lrp6CDn101,Retinoic Acid,C20 H28 O2,300.21,1.11,302-79-4
Lrp6CDn102,Eicosapentaenoic Acid (20:5 n-3),C20 H30 O2,302.224,1.1,10417-94-4
Lrp6CDn103,Arachidonic Acid,C20 H32 O2,304.239,1.12,506-32-1
Lrp6CDn104,Dihomo-gamma-linolenic Acid,C20 H34 O2,306.249,1.12,1783-84-2
Lrp6CDn105,Glutathione,C10 H17 N3 O6 S,307.081,8.44,70-18-8
Lrp6CDn106,"11Z,14Z-Eicosadienoic Acid (20:2 n-6)",C20 H36 O2,308.264,1.1,2091-39-6
Lrp6CDn107,11(Z)-Eicosenoic Acid,C20 H38 O2,310.284,1.11, 5561-99-9
Lrp6CDn108,"15-deoxy-delta-12,14-Prostaglandin J2",C20 H28 O3,316.209,1.19,87893-55-8
Lrp6CDn109,CMP,C9 H14 N3 O8 P,323.051,10.89,63-37-6
Lrp6CDn110,UMP,C9 H13 N2 O9 P,324.035,9.58,58-97-9
Lrp6CDn111,Oleoyl ethanolamide,C20 H39 N O2,325.301,1.11,111-58-0
Lrp6CDn112,Docosahexaenoic Acid (22:6 n-3),C22 H32 O2,328.238,1.12,6217-54-5 
Lrp6CDn113,Docosapentaenoic Acid,C22 H34 O2,330.251,1.11,24880-45-3
Lrp6CDn114,Adrenic Acid (22:4 n-6),C22 H36 O2,332.267,1.11,28874-58-0
Lrp6CDn115,D12-Prostaglandin J2,C20 H30 O4,334.222,1.25,87893-54-7
Lrp6CDn116,Leukotriene B4,C20 H32 O4,336.229,0.69,71160-24-2
Lrp6CDn117,Lactose,C12 H22 O11,342.113,5.92,63-42-3
Lrp6CDn118,Sucrose,C12 H22 O11,342.115,4.88,57-50-1
Lrp6CDn119,AMP,C10 H14 N5 O7 P,347.062,10.36,61-19-8
Lrp6CDn120,Archidonoyl glycine,C22 H35 N O3,361.256,1.17,179113-91-8
Lrp6CDn121,Cortisol,C21 H30 O5,362.209,1.29,50-23-7
Lrp6CDn122,GMP,C10 H14 N5 O8 P,363.057,10.34,85-32-5
Lrp6CDn123,Adrenoyl ethanolamide,C24 H41 N O2,375.306,1.12,150314-35-5
Lrp6CDn124,Lithocholic Acid,C24 H40 O3,376.297,1.12,434-13-9
Lrp6CDn125,Succinoadenosine,C14 H17 N5 O8,383.105,7.75,4542-23-8
Lrp6CDn126,Deoxythymidine 5'-diphosphate (dTDP),C10 H16 N2 O11 P2,402.013,9.58,491-97-4
Lrp6CDn127,Cytidine diphosphate (CDP),C9 H15 N3 O11 P2,403.018,11.09,63-38-7
Lrp6CDn128,Uridine diphosphate (UDP),C9 H14 N2 O12 P2,404.001,10.04,58-98-0
Lrp6CDn129,ADP,C10 H15 N5 O10 P2,427.029,10.74,58-64-0
Lrp6CDn130,GDP,C10 H15 N5 O11 P2,443.023,10.8,146-91-8
Lrp6CDn131,Phylloquinone,C31 H46 O2,450.343,1.06,84-80-0
Lrp6CDn132,Cholesterol Sulfate,C27 H46 O4 S,466.312,0.69,1256-86-6
Lrp6CDn133,LysoPE(18:0),C23 H48 N O7 P,481.315,6.02,00-00-012
Lrp6CDn134,UTP,C9 H15 N2 O15 P3,483.968,10.33,63-39-8
Lrp6CDn135,ATP,C10 H16 N5 O13 P3,506.995,10.98,56-65-5
Lrp6CDn136,ADP-Ribose,C15 H23 N5 O14 P2,559.07,7.24,20762-30-5
Lrp6CDn137,dTDP-Glucose,C16 H26 N2 O16 P2,564.075,6.62,2196-62-5
Lrp6CDn138,UDP-Glucose,C15 H24 N2 O17 P2,566.054,6.56,133-89-1
Lrp6CDn139,UDP-Galactose,C15 H24 N2 O17 P2,566.054,6.74,2956-16-3
Lrp6CDn140,UDP-Glucuronic acid,C15 H22 N2 O18 P2,580.033,7.4,2616-64-0
Lrp6CDn141,ADP-Glucose,C16 H25 N5 O15 P2,589.081,7.56,102129-65-7
Lrp6CDn142,UDP-N-Acetylglucosamine,C17 H27 N3 O17 P2,607.081,6.61,528-04-1
Lrp6CDn143,UDP-N-Acetylgalactosamine,C17 H27 N3 O17 P2,607.081,6.8,7277-98-7
Lrp6CDn144,GSSG,C20 H32 N6 O12 S2,612.15,10.63,27025-41-8
Lrp6CDn145,Phosphatidylethanolamine(32:0),C37 H74 N O8 P,691.508,4.45,5681-36-7
