compound_short,,,,,,Lrp6CDn1,Lrp6CDn2,Lrp6CDn3,Lrp6CDn4,Lrp6CDn5,Lrp6CDn6,Lrp6CDn7,Lrp6CDn8,Lrp6CDn9,Lrp6CDn10,Lrp6CDn11,Lrp6CDn12,Lrp6CDn13,Lrp6CDn14,Lrp6CDn15,Lrp6CDn16,Lrp6CDn17,Lrp6CDn18,Lrp6CDn19,Lrp6CDn20,Lrp6CDn21,Lrp6CDn22,Lrp6CDn23,Lrp6CDn24,Lrp6CDn25,Lrp6CDn26,Lrp6CDn27,Lrp6CDn28,Lrp6CDn29,Lrp6CDn30,Lrp6CDn31,Lrp6CDn32,Lrp6CDn33,Lrp6CDn34,Lrp6CDn35,Lrp6CDn36,Lrp6CDn37,Lrp6CDn38,Lrp6CDn39,Lrp6CDn40,Lrp6CDn41,Lrp6CDn42,Lrp6CDn43,Lrp6CDn44,Lrp6CDn45,Lrp6CDn46,Lrp6CDn47,Lrp6CDn48,Lrp6CDn49,Lrp6CDn50,Lrp6CDn51,Lrp6CDn52,Lrp6CDn53,Lrp6CDn54,Lrp6CDn55,Lrp6CDn56,Lrp6CDn57,Lrp6CDn58,Lrp6CDn59,Lrp6CDn60,Lrp6CDn61,Lrp6CDn62,Lrp6CDn63,Lrp6CDn64,Lrp6CDn65,Lrp6CDn66,Lrp6CDn67,Lrp6CDn68,Lrp6CDn69,Lrp6CDn70,Lrp6CDn71,Lrp6CDn72,Lrp6CDn73,Lrp6CDn74,Lrp6CDn75,Lrp6CDn76,Lrp6CDn77,Lrp6CDn78,Lrp6CDn79,Lrp6CDn80,Lrp6CDn81,Lrp6CDn82,Lrp6CDn83,Lrp6CDn84,Lrp6CDn85,Lrp6CDn86,Lrp6CDn87,Lrp6CDn88,Lrp6CDn89,Lrp6CDn90,Lrp6CDn91,Lrp6CDn92,Lrp6CDn93,Lrp6CDn94,Lrp6CDn95,Lrp6CDn96,Lrp6CDn97,Lrp6CDn98,Lrp6CDn99,Lrp6CDn100,Lrp6CDn101,Lrp6CDn102,Lrp6CDn103,Lrp6CDn104,Lrp6CDn105,Lrp6CDn106,Lrp6CDn107,Lrp6CDn108,Lrp6CDn109,Lrp6CDn110,Lrp6CDn111,Lrp6CDn112,Lrp6CDn113,Lrp6CDn114,Lrp6CDn115,Lrp6CDn116,Lrp6CDn117,Lrp6CDn118,Lrp6CDn119,Lrp6CDn120,Lrp6CDn121,Lrp6CDn122,Lrp6CDn123,Lrp6CDn124,Lrp6CDn125,Lrp6CDn126,Lrp6CDn127,Lrp6CDn128,Lrp6CDn129,Lrp6CDn130,Lrp6CDn131,Lrp6CDn132,Lrp6CDn133,Lrp6CDn134,Lrp6CDn135,Lrp6CDn136,Lrp6CDn137,Lrp6CDn138,Lrp6CDn139,Lrp6CDn140,Lrp6CDn141,Lrp6CDn142,Lrp6CDn143,Lrp6CDn144,Lrp6CDn145
Samples,Experiment,Mode,Type,Folate,Status,Propiolic Acid,Methylglyoxal,Glycine,Pyruvate,Alanine,Sarcosine,Lactic Acid,2-Aminobutyric Acid,3-Aminoisobutyric Acid (BAIBA),2-Hydroxybutyric Acid,3-Hydroxybutyric Acid,Serine,Hypotaurine,Uracil,Thiosulfate,Proline,Fumaric Acid,Caproic Acid,Valine,Succinic Acid,Threonine,Taurine,Pyroglutamic Acid,Ketoleucine,trans-4-Hydroxyproline,Creatine,Leucine,Isoleucine,Glutaric Acid,Ethylmalonic Acid,3-Ureidopropionic Acid,Asparagine,2-Hydroxy-3-methylpentanoic Acid,Ornithine,Aspartic Acid,Adenine,Hypoxanthine,Urocanic Acid,O-Phosphoethanolamine,Caprylic Acid,2-Oxoglutaric Acid,Glutamine,Lysine,N-Acetylserine,Glutamic Acid,3-Hydroxyglutaric Acid,Methionine,Guanine,Xanthine,4-Hydroxyphenylacetic Acid,3-Sulfinoalanine,Histidine,Dihydroorotic Acid,Allantoin,2-Aminoadipic Acid,Phenylpyruvic Acid,Phenylalanine,Phosphoenolpyruvate,Uric Acid,D-Glyceraldehyde 3-phosphate (G3P),Glycerol 1-Phosphate / Glycerol 3-Phosphate,Capric Acid,cis-Aconitic Acid,Arginine,N-Acetylaspartic Acid,Ascorbic Acid,N-Carbamoyl-L-aspartic Acid,D-Fructose,myo-Inositol,D-Glucose,Tyrosine,4-Hydroxyphenyllactic Acid,Kynurenic Acid,N-Acetylglutamic Acid,5-Hydroxyindoleacetic Acid (5HIAA),Lauric Acid,Tryptophan,Phosphocreatine,Tridecanoic acid,Glycerylphosphorylethanolamine,O-Succinylhomoserine,Pantothenic Acid,Myristoleic Acid,Myristic Acid,Melatonin,10(Z)-Pentadecenoic Acid,Pentadecanoic Acid,Cytidine,Uridine,Palmitoleic Acid,Palmitic Acid,Inosine,10(Z)-Heptadecenoic Acid,Heptadecanoic Acid,Estradiol-17alpha,cis-Vaccenic Acid,Oleic Acid,Orotidine,Ophthalmic Acid,Ricinoleic Acid,Retinoic Acid,Eicosapentaenoic Acid (20:5 n-3),Arachidonic Acid,Dihomo-gamma-linolenic Acid,Glutathione,"11Z,14Z-Eicosadienoic Acid (20:2 n-6)",11(Z)-Eicosenoic Acid,"15-deoxy-delta-12,14-Prostaglandin J2",CMP,UMP,Oleoyl ethanolamide,Docosahexaenoic Acid (22:6 n-3),Docosapentaenoic Acid,Adrenic Acid (22:4 n-6),D12-Prostaglandin J2,Leukotriene B4,Lactose,Sucrose,AMP,Archidonoyl glycine,Cortisol,GMP,Adrenoyl ethanolamide,Lithocholic Acid,Succinoadenosine,Deoxythymidine 5'-diphosphate (dTDP),Cytidine diphosphate (CDP),Uridine diphosphate (UDP),ADP,GDP,Phylloquinone,Cholesterol Sulfate,LysoPE(18:0),UTP,ATP,ADP-Ribose,dTDP-Glucose,UDP-Glucose,UDP-Galactose,UDP-Glucuronic acid,ADP-Glucose,UDP-N-Acetylglucosamine,UDP-N-Acetylgalactosamine,GSSG,Phosphatidylethanolamine(32:0)
Formula_cd_exp1,,,,,,C3 H2 O2,C3 H4 O2,C2 H5 N O2,C3 H4 O3,C3 H7 N O2,C3 H7 N O2,C3 H6 O3,C4 H9 N O2,C4 H9 N O2,C4 H8 O3,C4 H8 O3,C3 H7 N O3,C2 H7 N O2 S,C4 H4 N2 O2,H2 O3 S2,C5 H9 N O2,C4 H4 O4,C6 H12 O2,C5 H11 N O2,C4 H6 O4,C4 H9 N O3,C2 H7 N O3 S,C5 H7 N O3,C6 H10 O3,C5 H9 N O3,C4 H9 N3 O2,C6 H13 N O2,C6 H13 N O2,C5 H8 O4,C5 H8 O4,C4 H8 N2 O3,C4 H8 N2 O3,C6 H12 O3,C5 H12 N2 O2,C4 H7 N O4,C5 H5 N5,C5 H4 N4 O,C6 H6 N2 O2,C2 H8 N O4 P,C8 H16 O2,C5 H6 O5,C5 H10 N2 O3,C6 H14 N2 O2,C5 H9 N O4,C5 H9 N O4,C5 H8 O5,C5 H11 N O2 S,C5 H5 N5 O,C5 H4 N4 O2,C8 H8 O3,C3 H7 N O4 S,C6 H9 N3 O2,C5 H6 N2 O4,C4 H6 N4 O3,C6 H11 N O4,C9 H8 O3,C9 H11 N O2,C3 H5 O6 P,C5 H4 N4 O3,C3 H7 O6 P,C3 H9 O6 P,C10 H20 O2,C6 H6 O6,C6 H14 N4 O2,C6 H9 N O5,C6 H8 O6,C5 H8 N2 O5,C6 H12 O6,C6 H12 O6,C6 H12 O6,C9 H11 N O3,C9 H10 O4,C10 H7 N O3,C7 H11 N O5,C10 H9 N O3,C12 H24 O2,C11 H12 N2 O2,C4 H10 N3 O5 P,C13 H26 O2,C5 H14 N O6 P,C8 H13 N O6,C9 H17 N O5,C14 H26 O2,C14 H28 O2,C13 H16 N2 O2,C15 H28 O2,C15 H30 O2,C9 H13 N3 O5,C9 H12 N2 O6,C16 H30 O2,C16 H32 O2,C10 H12 N4 O5,C17 H32 O2,C17 H34 O2,C18 H24 O2,C18 H34 O2,C18 H34 O2,C10 H12 N2 O8,C11 H19 N3 O6,C18 H34 O3,C20 H28 O2,C20 H30 O2,C20 H32 O2,C20 H34 O2,C10 H17 N3 O6 S,C20 H36 O2,C20 H38 O2,C20 H28 O3,C9 H14 N3 O8 P,C9 H13 N2 O9 P,C20 H39 N O2,C22 H32 O2,C22 H34 O2,C22 H36 O2,C20 H30 O4,C20 H32 O4,C12 H22 O11,C12 H22 O11,C10 H14 N5 O7 P,C22 H35 N O3,C21 H30 O5,C10 H14 N5 O8 P,C24 H41 N O2,C24 H40 O3,C14 H17 N5 O8,C10 H16 N2 O11 P2,C9 H15 N3 O11 P2,C9 H14 N2 O12 P2,C10 H15 N5 O10 P2,C10 H15 N5 O11 P2,C31 H46 O2,C27 H46 O4 S,C23 H48 N O7 P,C9 H15 N2 O15 P3,C10 H16 N5 O13 P3,C15 H23 N5 O14 P2,C16 H26 N2 O16 P2,C15 H24 N2 O17 P2,C15 H24 N2 O17 P2,C15 H22 N2 O18 P2,C16 H25 N5 O15 P2,C17 H27 N3 O17 P2,C17 H27 N3 O17 P2,C20 H32 N6 O12 S2,C37 H74 N O8 P
Mass_cd_exp1,,,,,,70.003,72.021,75.031,88.015,89.047,89.047,90.031,103.061,103.062,104.046,104.046,105.041,109.018,112.025,113.943,115.062,116.01,116.078,117.077,118.025,119.056,125.014,129.041,130.062,131.057,131.067,131.093,131.093,132.041,132.042,132.047,132.052,132.076,132.087,133.036,135.053,136.037,138.04,141.018,144.112,146.02,146.068,146.104,147.051,147.052,148.034,149.05,151.045,152.032,152.046,153.01,155.068,158.032,158.043,161.066,164.046,165.078,167.983,168.028,169.998,172.01,172.143,174.013,174.109,175.047,176.032,176.044,180.061,180.061,180.062,181.073,182.052,189.044,189.062,191.059,200.177,204.089,211.034,214.192,215.053,219.073,219.11,226.189,228.208,232.129,240.204,242.224,243.084,244.07,254.224,256.241,268.08,268.237,270.253,272.18,282.256,282.256,288.06,289.124,298.25,300.21,302.224,304.239,306.249,307.081,308.264,310.284,316.209,323.051,324.035,325.301,328.238,330.251,332.267,334.222,336.229,342.113,342.115,347.062,361.256,362.209,363.057,375.306,376.297,383.105,402.013,403.018,404.001,427.029,443.023,450.343,466.312,481.315,483.968,506.995,559.07,564.075,566.054,566.054,580.033,589.081,607.081,607.081,612.15,691.508
RT_cd_exp1,,,,,,0.79,1.74,8.96,1.91,8.49,9.58,2.47,8.01,8.62,2.32,3.18,8.45,8.98,2.02,5.32,9.3,6.79,1.47,7.49,7.62,8.1,5.03,5.33,1.31,7.89,9.58,6.69,6.93,8.14,2.4,6.13,8.75,1.74,24.55,8.42,3.72,2.67,2.62,14.69,1.31,6.39,8.89,24.98,3.49,8.62,7.74,6.71,6.72,1.93,1.16,7,10.91,2.3,1.83,9.34,1.51,6.24,10.47,2.85,10.64,10.34,1.19,7.46,24.54,7.89,2.25,7.97,3.27,5.55,2.48,6.39,1.7,0.81,7.96,2.46,1.18,5.97,11.38,1.16,10.39,7.26,4.49,1.17,1.15,1.15,1.14,1.15,4.65,1.79,1.14,1.14,2.82,1.14,1.13,1,1.13,1.13,2.12,8.84,1.18,1.11,1.1,1.12,1.12,8.44,1.1,1.11,1.19,10.89,9.58,1.11,1.12,1.11,1.11,1.25,0.69,5.92,4.88,10.36,1.17,1.29,10.34,1.12,1.12,7.75,9.58,11.09,10.04,10.74,10.8,1.06,0.69,6.02,10.33,10.98,7.24,6.62,6.56,6.74,7.4,7.56,6.61,6.8,10.63,4.45
CAS_ID,,,,,,471-25-0,78-98-8,56-40-6,127-17-3,56-41-7,107-97-1,79-33-4,1492-24-6,144-90-1,3347-90-8,300-85-6,56-45-1,300-84-5,66-22-8,14383-50-7,147-85-3,110-17-8,142-62-1,72-18-4,110-15-6,72-19-5,107-35-7,98-79-3,816-66-0,51-35-4,57-00-1,61-90-5,73-32-5,110-94-1,601-75-2,462-88-4,70-47-3,448-15-3,70-26-8,56-84-8,73-24-5,68-94-0,104-98-3,1071-23-4 ,124-07-2,328-50-7,56-85-9,56-87-1,16354-58-8,56-86-0,638-18-6,63-68-3,73-40-5,69-89-6,156-38-7,1115-65-7,71-00-1,5988-19-2,97-59-6,542-32-5,156-06-9,63-91-2,138-08-9,69-93-2,591-57-1,17989-41-2,334-48-5,499-12-7,74-79-3,997-55-7,50-81-7,13184-27-5,57-48-7,87-89-8,50-99-7,60-18-4,6482-98-0,492-27-3,1188-37-0,54-16-0,143-07-7,73-22-3,67-07-2,638-53-9,1190-00-7,1492-23-5,137-08-6,544-64-9,544-63-8,73-31-4,84743-29-3,1002-84-2,65-46-3,58-96-8,373-49-9,57-10-3,58-63-9,29743-97-3,506-12-7,57-91-0,506-17-2,112-80-1,2149-82-8,495-27-2,141-22-0,302-79-4,10417-94-4,506-32-1,1783-84-2,70-18-8,2091-39-6, 5561-99-9,87893-55-8,63-37-6,58-97-9,111-58-0,6217-54-5 ,24880-45-3,28874-58-0,87893-54-7,71160-24-2,63-42-3,57-50-1,61-19-8,179113-91-8,50-23-7,85-32-5,150314-35-5,434-13-9,4542-23-8,491-97-4,63-38-7,58-98-0,58-64-0,146-91-8,84-80-0,1256-86-6,00-00-012,63-39-8,56-65-5,20762-30-5,2196-62-5,133-89-1,2956-16-3,2616-64-0,102129-65-7,528-04-1,7277-98-7,27025-41-8,5681-36-7
emb_280_7,cd_exp1,neg,sample,2ppm,N wt/wt,3830825.816,26370.31096,1018112.031,302384.8302,1761425.968,362984.4869,58947515.99,54428.32455,777753.6848,215574.2977,263129.9695,780366.9491,105507.9852,953353.0408,1146502.614,1707194.582,78301.97679,51207.86272,1288217.828,624716.1906,689147.6233,10049045.06,339327.2741,262575.9629,332012.4944,314269.727,1241716.704,756647.4012,32007.44563,45727.52343,41883.88039,539089.4532,67806.47572,94862.59059,1295371.293,43271.53059,306521.2418,95610.88768,219015.1931,46853.66671,663047.1108,1553323.234,494632.4069,49560.97088,5554278.261,318002.4819,402651.3719,19936.45561,113553.1986,25546.91421,1039.031682,126266.0191,320208.082,154326.9826,172040.3024,40484.10875,739741.5614,,62000.32148,65599.41126,7332.60135,30959.31521,75058.59367,42094.43458,2960487.016,79726.43545,823553.6995,23737.25782,10807.04749,180369.7032,616630.7636,50501.78893,7638.577091,94564.8148,51258.73584,85515.87339,166170.0052,,26300.10114,16963.71807,132411.3154,482234.0827,18738.64607,276284.1175,3813.789084,23087.43858,129551.527,51203.76965,110727.5526,227366.0855,3320912.158,286872.802,30911.27824,83318.27171,59094.00546,956172.632,960628.9938,228913.2287,24569.82914,67918.2702,45061.71,72023.03092,487634.4557,92976.24868,458781.0846,21656.17393,39325.35857,44649.96477,44325.64515,568588.3337,6100.111043,118730.5483,37017.83196,97169.21293,68123.7587,58782.12319,4661.268489,25216.98102,375203.9513,6151.301893,11205.73049,56768.55035,103667.1758,31994.72403,26466.03874,32581.8933,15959.24019,73697.21974,277250.2406,13260.57703,7534.906687,84407.70759,27403.60845,10650.73139,58855.0649,280663.1379,38125.83977,544531.616,284304.9323,132355.2513,9640.017057,1424266.763,490944.0335,146241.7621,3266.559857
emb_320_6,cd_exp1,neg,sample,2ppm,N wt/wt,5935470.075,46626.61118,1152390.429,636140.4895,2187614.627,355119.7796,75480897.15,68759.69532,905123.6367,291345.6215,376762.5733,1025716.89,130736.2184,1159496.154,884144.4757,2001729.632,88437.77367,69862.18009,1638160.963,556275.0539,994331.6164,10886848.69,655619.0697,368522.7566,348842.5154,294737.2889,1559794.824,987645.2936,33414.08711,43216.06828,42906.81317,615312.0058,154510.3308,115702.9451,1620025.022,67318.28635,244420.5398,135764.4347,214801.7513,47859.87087,901381.8104,1976058.922,522397.6597,51467.5807,6441062.965,345316.81,526074.8819,24797.86063,52940.88599,23695.94351,5700.075312,142633.0424,86332.11352,94397.41835,158673.3813,90758.01428,943840.7737,5183.762186,51416.75642,50569.80165,19655.77927,26434.30706,44214.96387,41461.1357,3146796.457,806.1496441,883126.1723,37488.97934,10889.26581,266418.1245,827790.3517,25183.96066,10119.88085,101466.2181,32564.70667,78355.6174,191510.916,12946.98639,29542.90422,18468.45046,145671.4904,638359.3369,17399.41351,287693.1186,6153.997996,29110.35676,140689.5347,47364.05283,73763.34121,233068.911,3386338.628,84676.49376,41830.61582,92942.54641,52170.56289,817954.5135,828691.7146,204985.304,33286.33426,71874.06424,38923.41895,72809.71711,271766.9323,46836.15625,518908.2302,13217.11809,36809.56488,34634.13687,27746.88964,343319.3466,6251.712469,66932.42588,15241.91045,47013.31433,71957.75354,59642.88013,9248.41896,11206.32915,194026.1659,7864.659188,5556.225531,27179.27821,118379.6733,39366.79045,43990.04009,14892.7229,21412.86357,107003.2118,315913.9513,16573.88151,7982.181791,100591.7794,49804.59526,51118.78802,157528.0927,52279.97958,42757.27,558543.778,328443.4002,141028.3586,8335.476079,1600741.134,592133.6952,144056.2644,8860.070086
emb_302_7,cd_exp1,neg,sample,2ppm,N wt/wt,5060495.454,25969.84368,1039729.351,261331.0348,1702960.195,399465.6596,95767318.39,81761.90396,787004.9904,561263.2833,1043286.79,877302.0144,120835.6932,821256.8255,738957.9674,2046369.039,84279.90855,50632.91347,1667309.23,1001318.423,770426.0159,10602298.43,472594.9698,238197.5408,288180.1677,320919.001,1716490.035,1031710.023,45856.8882,73760.44293,59466.14572,625107.2195,68001.63371,215267.4309,740259.2653,54245.78933,322018.0669,105240.8708,230544.6193,46444.07088,605618.9856,2149575.277,1623063.27,68870.37289,5697057.67,368220.5768,505822.2292,22641.88829,72068.56488,33112.40297,8016.468698,173498.4659,115509.4998,412448.5032,139654.6872,60569.08131,879297.0267,2990.830733,91132.32223,70013.70386,24014.68742,38621.0613,81713.08301,176683.398,2574167.658,,837880.0814,37917.84533,22714.32132,357452.3038,703354.3967,73360.78232,76003.74679,98654.51083,66451.96428,146785.5442,188255.2309,493.9109201,37915.70526,19937.14155,165238.2738,691758.4928,17220.81822,427223.52,7969.673124,25322.88425,162004.0739,34271.30703,80839.10976,196418.5971,4490115.777,154086.4966,28560.2038,128844.6361,38137.46644,836458.3591,843521.2324,240345.4097,36249.79638,100049.9561,51692.0541,48077.33333,284513.7061,39796.06521,154549.2057,5501.03237,37782.30783,59670.75672,39701.25123,564824.8484,6434.857879,75870.00957,14215.26562,47445.02995,117540.5106,45671.74549,6739.287364,16070.64048,297728.3318,4404.497996,13825.92949,42199.68602,124020.6269,33739.86829,39453.49323,39937.02547,9561.028665,88409.42599,263513.0092,8158.707331,7557.364485,97660.86237,33080.69418,17678.12271,77381.25137,80285.06804,36119.25408,529484.2125,306751.831,120888.6229,8224.705096,1360675.184,508137.7828,146443.5153,4410.035378
emb_366_3,cd_exp1,neg,sample,2ppm,N wt/wt,6101225.46,22642.51316,1553912.489,384517.343,2680830.799,559486.7413,96774866.79,59322.25613,1261256.532,171422.9894,423099.359,1121625.181,181426.4643,1210406.6,671555.4751,3033638.18,149215.4891,55162.05658,2647081.767,1093388.147,1349226.063,13578165.86,826552.2989,540462.3199,345743.0567,451267.1707,2430151.254,1701282.463,44351.93445,56912.69329,47902.74503,896328.3681,69396.44679,232563.7478,2011339.652,135261.1011,524087.2175,167401.3388,314701.9511,96501.70546,1202968.596,2985722.513,2373075.169,90352.1913,9265583.648,412963.6675,784905.227,36346.34402,473854.4765,51326.54131,16923.46996,258016.8515,248513.7068,607561.9022,254861.1585,59149.11184,1275139.445,13385.78207,107202.6324,62827.70584,24883.9586,42084.73279,138891.6856,109770.9265,3226081.575,3613.937639,966421.6476,42755.71194,22934.74534,386609.5066,1096423.585,109559.1526,10350.36277,112969.4489,59045.06489,128006.2935,234125.5935,17126.64117,39961.44175,25253.25372,253258.6415,1136332.781,22839.36249,387466.0807,8960.243444,36701.21334,190685.4789,87601.92795,243925.2687,261999.7541,4505194.26,124844.4769,55757.83392,132112.9699,40878.99018,794838.2028,804904.27,301533.3591,34201.314,80017.07049,96743.29588,126369.736,242817.6665,25378.36319,150137.8272,3501.506794,46209.85675,68005.81602,17995.19791,275886.33,9635.313663,74084.31668,14451.02739,26593.36255,114582.0845,35407.35775,12573.49338,22077.17288,275992.0432,12291.07106,8889.1179,34359.62488,231561.979,67442.07159,38573.3823,9972.297209,21594.69352,93850.12629,453522.5136,30065.05238,2690.187603,83300.62033,48996.09265,48189.06434,221715.9149,95395.46044,47643.26023,780486.6875,485407.6694,175512.0482,12972.98504,2165536.165,858027.1252,263140.0434,6375.70115
emb_414_2,cd_exp1,neg,sample,2ppm,N wt/wt,6465191.794,21234.74177,993929.1978,422955.4673,1426977.492,331757.974,43617633.87,33401.30512,744984.9029,315158.3281,561336.321,556638.4933,185903.9233,818357.2913,686586.8322,1689423.437,87249.35586,22660.08061,670479.6179,641192.7318,463782.2656,11223704.44,376818.2419,193626.9193,193808.6397,269443.6633,661161.6995,381921.2353,65154.43643,92421.62988,32974.90281,296373.1225,104389.832,79576.42053,1293678.063,48728.14178,326039.9346,163739.2086,228271.2955,29817.49994,984576.9869,412863.6015,312178.981,60731.23229,5425863.971,339906.6645,214993.9948,6471.476395,132293.3957,68500.9608,354.2446778,78775.76341,214764.9113,128109.8274,101911.8896,103908.5629,412889.881,467.538723,93737.8997,81385.47177,9591.449604,16658.66168,138172.3695,6339.553895,1394620.877,,610611.3712,48434.09449,30299.40932,124142.7029,357974.024,6815.767992,2083.438466,69555.75755,51005.17118,92653.93683,104340.0957,17066.45222,28436.37723,18425.27204,130349.2941,362205.7119,13174.71134,404221.0228,8939.285489,30547.926,187651.3084,24916.39512,58097.66125,225268.4863,5647764.66,153030.407,35430.32799,109029.9283,89602.68286,987024.7139,990940.2609,247560.4704,21610.39568,155026.1702,93400.87768,138713.5726,279555.5742,28214.43433,181026.1692,1292.059593,39847.68119,123127.4706,29502.88231,433144.1347,13858.10703,76532.89383,11985.92865,21832.46814,181423.7106,82760.91883,24477.72516,44070.52182,198501.1532,12065.21898,4719.54325,29934.49473,307351.811,82707.9237,6379.076134,21985.35744,16276.90313,77414.0387,258645.1396,10118.93001,590.3280738,185349.3172,53139.04783,26386.76597,118231.7622,114870.385,36293.29654,494599.8589,299244.4846,179800.2526,9955.404025,1289878.087,528077.3358,155012.3612,2588.219696
