,Experiment,Folate,Status,2-Hydroxybutyric Acid,Glutaric Acid,dTDP-Glucose,Lactic Acid,Fumaric Acid,Oxaloacetic Acid,Malic Acid,Ascorbic Acid,D-Glucose,Citric Acid,D-Fructose 6-phosphate,Succinic Acid,Acetoacetic Acid,Caprylic Acid,Estradiol-17alpha,alpha-Linolenic Acid (18:3 n-3),Linoleic Acid,Leukotoxin A,Eicosapentaenoic Acid (20:5 n-3),Arachidonic Acid,Dihomo-gamma-linolenic Acid,"11Z,14Z-Eicosadienoic Acid (20:2 n-6)",11(Z)-Eicosenoic Acid,Docosahexaenoic Acid (22:6 n-3),Docosapentaenoic Acid,Adrenic Acid (22:4 n-6),"2,3-dinor Thromboxane B2",Adrenoyl ethanolamide,Palmitoyl dopamine,Oleoyl dopamine,Docosatrienoic Acid (22:3 n-3),Brassidic Acid,Xanthine,Uric Acid,N-Carbamoyl-L-aspartic Acid,Uridine diphosphate (UDP),2-Oxoglutaric Acid,3-Hydroxybutyric Acid,Glycerol 1-Phosphate / Glycerol 3-Phosphate,3-Ureidopropionic Acid,Nitrotyrosine,N-Acetylserine,Pantothenic Acid,N-Acetylalanine,Deoxycytidine,Kynurenic Acid,Dehydroascorbic Acid,Methylglyoxal,Phosphocreatine,ATP,2-Oxoadipic Acid,UTP,Ketoleucine,4-Hydroxyphenyllactic Acid,Heptadecanoic Acid,Palmitic Acid,NADP,CMP,D-Glucose 6-phosphate,Creatine,Aspartic Acid,Caproic Acid,Oxalic Acid,Alanine,Sarcosine,Serine,Proline,Valine,Isoleucine,Leucine,Asparagine,Lysine,Glutamic Acid,Methionine,Phenylalanine,Quinaldic Acid,Citrulline,Tyrosine,Tryptophan,Indoxyl Sulfate,3-Hydroxykynurenine,Glycine,GDP-Glucose,UDP-N-Acetylgalactosamine,UDP-N-Acetylglucosamine,2-Phosphoglyceric Acid,ADP-Glucose,Chenodeoxycholic acid,CDP-Choline,Phosphatidylethanolamine(32:0),NAD,Flavin adenine dinucleotide (FAD),2-Aminobutyric Acid,Taurine,GSSG,3-Aminoisobutyric Acid (BAIBA),Uracil,Adenine,Hypoxanthine,Guanine,Cytidine,Uridine,Adenosine,Inosine,Guanosine,UMP,Cytidine diphosphate (CDP),GDP,ADP-Ribose,Ophthalmic Acid,Dihydroorotic Acid,Retinoic Acid,Glucuronic Acid,Myristic Acid,Oleic Acid,Pyroglutamic Acid,Ornithine,Glutamine,Histidine,5-Hydroxytryptophan,S-Adenosylhomocysteine (SAH),Threonine,N-Acetylneuraminic Acid,UDP-Galactose,Phosphoenolpyruvate,O-Phosphoethanolamine,Hypotaurine,Glutathione,Orotic Acid,GMP,trans-4-Hydroxyproline,3-Sulfinoalanine,2-Aminoadipic Acid,N-Acetylglutamic Acid,Kynurenine,O-Succinylhomoserine,Pipecolinic Acid,D12-Prostaglandin J2,Arachidonyl dopamine,Urocanic Acid,N-Acetylglycine,ADP,Allantoin,Quinolinic Acid,N-Acetylaspartic Acid,UDP-Glucose,5-Hydroxyindoleacetic Acid (5HIAA),"5,6-Dihydrouracil",Arginine,D-Fructose,Sulfite,Thiosulfate,2-Hydroxy-3-methylpentanoic Acid,UDP-Glucuronic acid,Pyruvate,D-Glyceraldehyde 3-phosphate (G3P),cis-Aconitic Acid,NADH,Glycerylphosphorylethanolamine,3-Phosphoglyceroinositol,"13Z,16Z-Docosadienoic Acid",Cholesterol Sulfate,LysoPE(18:2),LysoPE(18:0),Glycerol 1-phosphoserine,Orotidine,AMP,Succinoadenosine,Deoxythymidine triphosphate (dTTP)
Formula_cd_exp2,cd_exp2,info,info,C4 H8 O3,C5 H8 O4,C16 H26 N2 O16 P2,C3 H6 O3,C4 H4 O4,C4 H4 O5,C4 H6 O5,C6 H8 O6,C6 H12 O6,C6 H8 O7,C6 H13 O9 P,C4 H6 O4,C4 H6 O3,C8 H16 O2,C18 H24 O2,C18 H30 O2,C18 H32 O2,C18 H32 O3,C20 H30 O2,C20 H32 O2,C20 H34 O2,C20 H36 O2,C20 H38 O2,C22 H32 O2,C22 H34 O2,C22 H36 O2,C18 H30 O6,C24 H41 N O2,C24 H41 N O3,C26 H43 N O3,C22 H38 O2,C22 H42 O2,C5 H4 N4 O2,C5 H4 N4 O3,C5 H8 N2 O5,C9 H14 N2 O12 P2,C5 H6 O5,C4 H8 O3,C3 H9 O6 P,C4 H8 N2 O3,C9 H10 N2 O5,C5 H9 N O4,C9 H17 N O5,C5 H9 N O3,C9 H13 N3 O4,C10 H7 N O3,C6 H6 O6,C3 H4 O2,C4 H10 N3 O5 P,C10 H16 N5 O13 P3,C6 H8 O5,C9 H15 N2 O15 P3,C6 H10 O3,C9 H10 O4,C17 H34 O2,C16 H32 O2,C21 H28 N7 O17 P3,C9 H14 N3 O8 P,C6 H13 O9 P,C4 H9 N3 O2,C4 H7 N O4,C6 H12 O2,C2 H2 O4,C3 H7 N O2,C3 H7 N O2,C3 H7 N O3,C5 H9 N O2,C5 H11 N O2,C6 H13 N O2,C6 H13 N O2,C4 H8 N2 O3,C6 H14 N2 O2,C5 H9 N O4,C5 H11 N O2 S,C9 H11 N O2,C10 H7 N O2,C6 H13 N3 O3,C9 H11 N O3,C11 H12 N2 O2,C8 H7 N O4 S,C10 H12 N2 O4,C2 H5 N O2,C16 H25 N5 O16 P2,C17 H27 N3 O17 P2,C17 H27 N3 O17 P2,C3 H7 O7 P,C16 H25 N5 O15 P2,C24 H40 O4,C14 H26 N4 O11 P2,C37 H74 N O8 P,C21 H27 N7 O14 P2,C27 H33 N9 O15 P2,C4 H9 N O2,C2 H7 N O3 S,C20 H32 N6 O12 S2,C4 H9 N O2,C4 H4 N2 O2,C5 H5 N5,C5 H4 N4 O,C5 H5 N5 O,C9 H13 N3 O5,C9 H12 N2 O6,C10 H13 N5 O4,C10 H12 N4 O5,C10 H13 N5 O5,C9 H13 N2 O9 P,C9 H15 N3 O11 P2,C10 H15 N5 O11 P2,C15 H23 N5 O14 P2,C11 H19 N3 O6,C5 H6 N2 O4,C20 H28 O2,C6 H10 O7,C14 H28 O2,C18 H34 O2,C5 H7 N O3,C5 H12 N2 O2,C5 H10 N2 O3,C6 H9 N3 O2,C11 H12 N2 O3,C14 H20 N6 O5 S,C4 H9 N O3,C11 H19 N O9,C15 H24 N2 O17 P2,C3 H5 O6 P,C2 H8 N O4 P,C2 H7 N O2 S,C10 H17 N3 O6 S,C5 H4 N2 O4,C10 H14 N5 O8 P,C5 H9 N O3,C3 H7 N O4 S,C6 H11 N O4,C7 H11 N O5,C10 H12 N2 O3,C8 H13 N O6,C6 H11 N O2,C20 H30 O4,C28 H41 N O3,C6 H6 N2 O2,C4 H7 N O3,C10 H15 N5 O10 P2,C4 H6 N4 O3,C7 H5 N O4,C6 H9 N O5,C15 H24 N2 O17 P2,C10 H9 N O3,C4 H6 N2 O2,C6 H14 N4 O2,C6 H12 O6,H2 O3 S,H2 O3 S2,C6 H12 O3,C15 H22 N2 O18 P2,C3 H4 O3,C3 H7 O6 P,C6 H6 O6,C21 H29 N7 O14 P2,C5 H14 N O6 P,C9 H19 O11 P,C22 H40 O2,C27 H46 O4 S,C23 H44 N O7 P,C23 H48 N O7 P,C6 H14 N O8 P,C10 H12 N2 O8,C10 H14 N5 O7 P,C14 H17 N5 O8,C10 H17 N2 O14 P3
Mass_cd_exp2,cd_exp2,info,info,104.046,132.045,564.075,90.031,116.009,132.004,134.02,176.032,180.062,192.026,260.021,118.025,102.032,144.113,272.178,278.219,280.239,296.229,302.225,304.239,306.251,308.266,310.285,328.239,330.254,332.269,342.203,375.304,391.3,417.314,334.281,338.315,152.033,168.027,176.044,404.001,146.02,104.046,172.012,132.052,226.06,147.053,219.109,131.056,227.093,189.046,174.015,72.021,211.035,506.995,160.032,483.969,130.061,182.056,270.254,256.24,743.076,323.051,260.029,131.068,133.036,116.08,89.994,89.047,89.046,105.041,115.062,117.077,131.093,131.093,132.052,146.104,147.052,149.05,165.077,173.054,175.09,181.072,204.089,213.012,224.081,75.031,605.076,607.081,607.082,185.992,589.082,392.29,488.106,691.509,663.108,785.157,103.062,125.013,612.151,103.062,112.025,135.052,136.036,151.046,243.084,244.068,267.096,268.08,283.09,324.035,403.017,443.023,559.071,289.126,158.032,300.206,194.041,228.207,282.255,129.041,132.088,146.068,155.068,220.077,384.121,119.057,309.104,566.055,167.981,141.017,109.018,307.082,156.016,363.057,131.056,153.009,161.067,189.063,208.08,219.073,129.074,334.224,439.306,138.041,117.041,427.029,158.043,167.021,175.047,566.055,191.055,114.038,174.11,180.062,81.971,113.943,132.076,580.033,88.015,169.997,174.01,665.124,215.055,334.065,336.296,466.312,477.285,481.315,259.046,288.06,347.062,383.106,481.995
RT_cd_exp2,cd_exp2,info,info,2.08,8.32,6.75,2.61,6.96,9.17,7.54,2.47,2.61,9.17,9.63,7.78,1.99,1.35,1.03,1.17,1.17,1.2,1.16,1.16,1.16,1.15,1.15,1.16,1.16,1.15,0.77,1.16,1.15,1.13,1.14,1.14,2.01,3.02,8.11,10.05,6.52,3.4,10.38,6.38,5.19,3.06,4.73,4.62,4.72,0.85,1.4,2.61,11.39,10.94,6.42,10.3,1.42,1.64,1.17,1.18,12.04,10.88,10.65,9.69,8.5,1.51,7.66,8.58,9.69,8.44,9.49,7.57,6.99,6.74,8.8,23.63,8.74,6.76,6.29,2.25,9.68,6.42,6.01,0.75,4.76,8.99,7.58,6.91,6.75,10.66,7.65,1.85,12.66,4.49,9.57,6.98,8.74,5.17,10.64,8.74,1.91,3.92,3.09,6.76,4.58,1.81,3.51,2.89,3.39,9.57,11.04,10.76,7.28,8.93,2.45,1.16,5.79,1.19,1.16,5.64,23.63,8.94,10.84,7.41,8.93,8.08,6.36,6.85,10.52,14.5,9.07,8.5,1.99,10.36,8.03,7.11,9.47,8.13,6.01,7.4,9.29,1.23,1.19,2.73,4.96,10.74,1.88,8,8.05,6.67,2.63,2.44,23.71,3.33,0.87,5.47,1.64,7.49,1.92,10.66,7.61,7.14,10.42,7.11,1.14,0.76,6.08,6,8.18,1.99,10.41,7.86,9.58
CAS_ID,cd_exp2,info,info,3347-90-8,110-94-1,2196-62-5,79-33-4,110-17-8,328-42-7,97-67-6,50-81-7,50-99-7,77-92-9,643-13-0,110-15-6,541-50-4,124-07-2,57-91-0,463-40-1,60-33-3,6814-52-4,10417-94-4,506-32-1,1783-84-2,2091-39-6, 5561-99-9,6217-54-5 ,24880-45-3,28874-58-0,63250-09-9,150314-35-5,136181-87-8,105955-11-1,28845-86-5,506-33-2,69-89-6,69-93-2,13184-27-5,58-98-0,328-50-7,300-85-6,17989-41-2,462-88-4,621-44-3,16354-58-8,137-08-6,97-69-8,951-77-9,492-27-3,490-83-5,78-98-8,67-07-2,56-65-5,3184-35-8,63-39-8,816-66-0,6482-98-0,506-12-7,57-10-3,53-59-8,63-37-6,56-73-5,57-00-1,56-84-8,142-62-1,144-62-7,56-41-7,107-97-1,56-45-1,147-85-3,72-18-4,73-32-5,61-90-5,70-47-3,56-87-1,56-86-0,63-68-3,63-91-2,93-10-7,372-75-8,60-18-4,73-22-3,2642-37-7,2147-61-7,56-40-6,5750-57-2,7277-98-7,528-04-1,23295-92-3,102129-65-7,474-25-9,987-78-0,5681-36-7,53-84-9,146-14-5,1492-24-6,107-35-7,27025-41-8,144-90-1,66-22-8,73-24-5,68-94-0,73-40-5,65-46-3,58-96-8,58-61-7,58-63-9,118-00-3,58-97-9,63-38-7,146-91-8,20762-30-5,495-27-2,5988-19-2,302-79-4,06556-12-3,544-63-8,112-80-1,98-79-3,70-26-8,56-85-9,71-00-1,04350-09-8,979-92-0,72-19-5,131-48-6,2956-16-3,138-08-9,1071-23-4 ,300-84-5,70-18-8,65-86-1,85-32-5,51-35-4,1115-65-7,542-32-5,1188-37-0,2922-83-0,1492-23-5,3105-95-1,87893-54-7,199875-69-9 ,104-98-3,543-24-8,58-64-0,97-59-6,89-00-9,997-55-7,133-89-1,54-16-0,504-07-4,74-79-3,57-48-7,7782-99-2,14383-50-7,448-15-3,2616-64-0,127-17-3,591-57-1,499-12-7,59-68-4,1190-00-7,00-00-006,17735-98-7,1256-86-6,00-00-011,00-00-012,26289-09-8,2149-82-8,61-19-8,4542-23-8,365-08-2
n280_6,cd_exp2,2ppm,N wt/wt,159356.6129,22155.38266,80288.94131,38428811.04,41464.15597,39611.87096,3952478.094,1753.427652,90906.71916,3365775.196,3451.262553,434720.4963,109152.6114,26389.24212,41362.57957,13744.85252,348482.6925,2526.482263,18528.42513,520636.0662,116391.5283,40423.45554,28228.61983,164638.2262,49876.1161,162176.5537,76273.83325,8425.028156,230239.4897,8985404.093,15591.89225,8320.167812,96616.54156,106301.1387,1354164.554,31654.85367,643714.567,192239.3462,15510.65049,60381.62588,4139.975733,21109.99515,384032.0099,81670.78384,7859.511712,8813.234782,151655.3003,264972.7807,5055.413279,65269.07021,13666.0381,,153087.1579,59032.49653,93133.99645,4006730.099,,62029.11635,4761.817988,276843.0664,2160400.409,18810.60212,292800.6293,1968726.279,323599.6725,889547.0635,1669094.564,1117537.791,897135.6445,1285421.057,436665.8325,886885.0438,8019704.447,479024.1967,943193.792,13919.03326,10807.79416,918481.3642,205932.9249,2507.442199,10501.52795,988611.3086,2196.178673,937526.1095,3213356.581,1550.853705,15897.72844,26832.34087,765.9930736,24751.71583,127305.7042,3345.658356,1269292.247,10878544.67,132282.0161,1269359.919,751606.6504,57335.82934,845772.9951,24430.22902,58169.41046,84040.29931,9732.312556,368671.1377,40848.706,2077131.977,7613.862673,7215.462819,10842.32394,33151.64042,55071.28545,4258.473045,42723.46552,241869.7375,802662.2591,635123.1582,107101.9872,1672960.566,82226.38217,15056.80469,35030.16346,722048.7438,22834.04536,553984.9613,,193901.4776,112908.3662,830847.9481,306546.524,36956.12053,252571.7359,14299.00055,152366.2038,156052.5836,10673.87015,138439.7356,8277.96728,13693.50303,19090.64924,42492.67994,31554.01917,239600.1868,100525.1967,14575.73708,2533879.709,764785.2045,49972.3442,12368.36669,15821.22141,25330.28961,109481.9905,201630.3095,33097.48149,67732.7043,1580196.457,67661.12954,,6851.294508,7446.842281,250042.047,1295.990367,126786.7261,6736.178287,49294.69878,18324.74933,176060.6649,343645.3049,275621.5442,34096.11859
n225_3,cd_exp2,2ppm,N wt/wt,204395.4709,15816.89316,81300.3689,42600168.85,53124.97399,43790.44658,3932137.598,132067.1651,102578.2792,4725667.065,8469.8024,415363.2396,109460.6887,38710.68542,31609.16236,13601.82679,242685.4935,2390.162802,28305.35805,562153.6021,87912.22633,30518.60248,23519.41217,177676.6358,46713.32267,162746.0332,49391.08595,29574.84265,238526.3645,7006030.27,14906.16934,6625.175838,48725.20898,118158.6671,1026919.837,75888.38598,437505.8002,182706.8793,15020.78737,64247.2845,3983.177814,14718.5915,645231.1422,82121.21627,9826.826421,6545.830847,1027822.274,270159.5197,13143.33238,92610.08796,18669.49874,4787.643789,160457.22,61896.10145,92173.36168,3016883.623,2005.722204,62554.56065,10219.40343,273885.647,2322123.261,18775.59782,227767.6997,1962121.674,328410.431,887573.5981,1652301.786,1331292.927,932136.002,1479083.553,453831.8622,1248173.3,6573350.412,555996.2202,1114608.653,13992.58516,10272.97422,1032112.063,219886.1065,7313.272798,11529.97872,725270.6402,6303.427285,877693.7203,3253335.47,16587.16444,15587.13264,4061.005551,1791.355382,28539.05964,200355.9898,2528.534387,1018567.42,10699142.16,170809.2777,1019051.432,644997.1389,39887.20513,693410.0437,30231.57413,42962.89717,106314.6419,12999.60176,358443.6458,35013.42544,1994953.556,26662.99549,18878.76819,23179.23648,61589.62285,60428.18474,22423.53742,51964.74478,205179.7482,642695.036,588381.7136,145493.0671,1772168.456,115688.6743,14257.50266,42129.40922,647264.0259,20273.54518,482447.6333,16180.43941,229015.5676,119485.7996,1282709.159,269129.7551,28888.54152,254951.1637,15072.16456,182903.8654,163650.2985,9248.994012,141797.2682,4501.347583,7839.97646,15410.62307,25423.67072,56482.13359,344784.2097,134756.8119,25991.83877,2571977.003,839979.7514,43306.54841,,39999.03559,21321.79898,83124.26604,146259.0882,21746.7562,75055.30905,1456488.458,82633.69664,22860.35683,2406.484848,12378.37863,186840.0947,1643.423675,166337.995,6984.708236,71798.94494,19374.83585,214204.6666,319928.6772,274489.4543,45447.2304
n252_3,cd_exp2,2ppm,N wt/wt,181441.1261,18975.93466,86874.353,39320332.55,53329.44457,42031.55193,3279725.03,39904.08964,104283.976,4026368.729,7204.619408,361581.8986,122731.221,36461.4982,34002.77152,8883.048911,194274.349,4337.349276,22424.12454,363880.2425,59586.43512,22574.47384,18346.61359,102010.7579,28247.98343,91720.12976,36088.29806,6099.262182,194749.8771,6098830.593,8499.038642,6650.384546,25779.20283,118326.8816,898802.5344,79354.13525,432141.2163,152060.5313,11554.86446,52776.14158,3945.346103,21320.07252,486253.5258,68281.84326,8839.20378,4128.60888,574402.7519,281264.0573,13579.36368,133633.2356,18230.89598,12670.64862,149520.2083,68245.22535,90285.79543,3180865.521,1943.079922,35869.0793,6462.286458,273899.8321,2515718.473,19638.85246,219229.0934,1999646.879,324193.371,934386.046,1827118.052,1131659.318,885377.6726,1269041.094,471970.3315,1207471.375,7507651.084,503292.718,1064788.672,13904.55292,13512.64838,1006625.825,213599.489,2557.023014,12369.05119,850670.0259,8041.987333,1320837.021,4103810.711,8903.138559,17781.5327,35956.90057,371.9718286,28058.54649,242569.3001,3716.835325,1143946.558,9424590.751,177167.187,1144440.591,596807.213,33909.10251,616757.3066,28165.20309,31794.06176,86930.4495,14137.41513,179638.4918,28170.92032,1328407.916,23754.02713,16032.47665,45515.46908,54483.15222,54170.66505,10316.95524,41571.29581,221562.4145,474262.3144,556249.8448,119033.6758,1949462.525,109946.3194,14653.25269,32094.60825,724418.157,22568.4921,821523.4739,4224.118585,205121.6863,134763.6287,1319004.302,237971.5555,18470.27643,67402.94359,15811.07562,216565.9263,149641.4561,7677.106208,132312.6064,6126.816651,13701.75914,21773.03046,45263.53868,45384.50856,347083.5449,136749.8089,20377.15227,2670446.419,1329018.72,43447.16225,12021.48978,44430.02773,31135.86338,69787.68138,154471.9227,37962.46295,116349.59,1762606.105,68862.92633,11696.93445,12120.97668,10909.90754,184493.0864,1640.670638,70012.8196,8230.060514,78254.33563,20601.60786,201700.9745,202864.9199,111369.2821,29409.05977
n331_8,cd_exp2,2ppm,N wt/wt,69622.38934,30890.42012,146045.8215,45824800.63,107608.8138,164288.601,5063082.098,2781.946019,76462.46855,21263946.13,9328.404061,565018.8012,57441.69541,35935.37681,69311.17235,,55655.47554,4123.650705,12992.90114,59294.25908,,224.8086859,9162.221419,21575.14055,8106.187883,14655.65635,78948.81717,65691.60621,,164175.0058,,7651.735374,56491.77493,275852.714,1934817.678,146391.8992,847422.6906,127159.8729,5235.591934,77222.04981,4807.755979,45524.95501,1331252.594,135259.1462,18329.42912,7680.200431,147027.4434,452911.4965,46369.28241,798236.7579,25663.33743,156322.0054,224802.505,71624.57863,128258.1072,4779867.764,12630.59257,10273.83101,10135.94757,434013.4677,4206854.883,20233.46498,477765.5807,3385313.822,561971.1564,1205010.928,2703093.786,1774774.579,1037627.34,1467389.871,671208.5982,1846432.395,12543621.21,534057.1313,962586.2357,3841.475321,19814.89815,925852.219,167494.5142,7956.06285,11053.84091,1449290.072,16723.94161,3213750.519,7880530.529,33652.18716,44561.29347,5557.406913,1893.661466,8892.89702,647683.3798,7732.356665,2138485.508,15452270.42,472907.6409,2139432.843,760109.475,105321.5266,1331952.881,26738.87582,24331.89708,43705.47553,21270.92301,165007.6543,46441.6189,402358.7794,75371.50451,58442.72968,149823.534,104553.2704,160869.8962,9178.649077,73051.48739,297783.1031,233922.1029,918611.1299,172669.2978,2129137.984,185141.1191,32723.55303,33259.45475,1176871.409,34285.31955,1781315.256,14468.05909,426740.4295,210572.6848,619914.5183,177597.6786,2903.161557,568725.253,27276.72569,308203.689,311539.6172,3977.319943,338354.866,12317.97246,18211.44841,62127.90954,69312.86267,104022.5186,696824.4018,325182.4049,41402.14468,5626294.1,2874897.51,102948.5317,54952.08522,135583.9052,35520.47585,175815.2092,243672.9982,31050.47637,461805.0405,1544174.434,212957.1935,166644.0951,16205.36721,25670.97119,435070.0129,228.8586963,98356.33789,6392.800794,39716.34668,47238.15719,206592.6861,76328.05476,37427.31215,2552.065852
n416_1,cd_exp2,2ppm,N wt/wt,383070.3423,22294.72086,102424.7938,35950580.19,69022.51922,82861.62185,4539045.489,196.3152386,84972.69111,9523752.388,3978.214181,413218.7296,104934.2554,34177.25142,44301.32912,253.2995373,107201.1614,4106.959843,9590.476014,108025.2769,18897.67748,3216.898355,12504.56205,49272.17167,16038.4876,30314.31845,63661.83551,214960.1556,18118.93775,134690.9562,,11842.05802,159532.5135,127285.8648,924254.516,53919.58644,533956.5629,837640.8533,2136.033662,71048.73278,1134.238799,22008.3392,391193.9092,98534.27144,8287.750318,6989.086508,22760.52158,277840.47,21799.64321,340206.3471,20722.34998,56583.78563,121525.8024,48191.65541,118927.6857,4602340.838,,6006.547464,409.3822499,274188.9075,3827193.61,18671.48319,351804.0533,2401897.935,293352.3739,766372.212,1724581.58,1001643.516,691186.6098,986512.9909,429093.3869,969790.7,9316369.778,370445.992,679392.1087,10080.132,10482.77922,598902.5231,111920.796,7429.995604,7902.091108,955515.0938,7391.243662,1227453.077,4482626.34,40134.66439,15242.93048,6876.408901,,26122.63519,326240.3351,2926.211916,1482049.514,11336582.95,171794.3528,1482229.49,452442.3235,53279.50476,845907.8251,17992.4583,24004.64326,80951.84657,18919.55732,104091.3044,42601.44273,311066.1877,28087.39504,16764.22727,74169.89803,55890.71275,132319.4652,3518.306043,45426.36699,220331.3834,327733.915,632809.2289,99395.63753,1056641.241,72831.63155,18029.10895,26128.53096,581699.4294,28793.71371,886646.4725,9518.857463,208481.3919,170812.9036,430832.6407,159006.8291,1801.511945,332961.7925,22420.41084,252565.2053,234327.8925,2288.704761,167089.8322,9386.087561,17476.92845,36197.00686,62546.21244,44641.03632,327561.7287,239801.8203,18844.24125,3583969.296,1990505.053,84710.13695,40793.99997,23140.73971,36832.58054,147203.818,186252.7458,19633.47492,158570.0811,1727703.693,106241.5724,61846.42043,3980.395743,12954.9573,143584.1346,914.2703681,199914.5604,11796.28912,58494.88838,24741.6987,214003.4966,43644.87705,35198.1489,4040.245403
n280_2,cd_exp2,2ppm,N cd/cd,131823.0283,16178.33087,89113.35713,29180711.34,61370.52914,54012.39064,4401947.739,13514.72861,72991.60282,5868869.537,4714.940965,391085.6555,110831.1532,27543.55984,76299.69482,30280.27056,353762.172,3653.672031,26040.86746,626581.9782,146891.4447,53252.16444,41799.24823,162028.7381,58512.38909,182004.0225,51503.47139,2324.142071,181683.726,6294010.327,24365.4758,8747.571703,52557.11876,85368.20686,695851.7319,66086.00021,627356.527,154920.6165,3744.649323,56812.52987,4884.737182,16370.69984,404093.2331,70108.08282,7266.572153,4083.956831,320262.7885,215864.0402,,96435.06659,26583.33101,3784.116641,138520.1885,42839.78009,87721.86814,3061028.384,636.6463727,42817.2319,32665.47137,277656.0762,3145813.498,13215.48373,266030.4919,2162455.489,325912.4129,794000.8759,1499994.983,1087238.464,816166.5063,1253992.82,434853.1732,880489.5565,7898924.237,480080.4601,863810.267,7995.068243,11057.41351,807915.3197,175656.7388,7378.813281,9434.657366,820207.046,7927.400015,848138.0729,3474736.053,12153.68105,17962.70984,9729.25699,1806.57513,28803.13134,119903.2868,1535.5153,1222568.143,9134747.495,158034.8894,1222673.226,569897.8711,34141.6116,553067.1351,25346.5872,38678.85955,96513.17407,6303.75364,389645.0485,45587.01088,1306230.249,26437.66799,15483.63118,330584.0693,34432.4247,96859.90331,5995.998062,41650.09262,186096.4093,919017.5236,417352.0571,83595.42339,1208073.202,78463.74435,15642.10637,31485.5586,706016.168,24565.37184,512535.6154,1507.481128,210924.8084,128536.2525,1341932.238,237494.8262,21911.45456,266962.444,10711.55492,228112.6385,165509.3681,9364.09957,145670.3389,9064.549538,6423.085092,11948.58277,28879.82754,47677.04658,328793.9021,92182.94288,20651.64824,2720519.578,1041785.687,45214.36143,28821.79126,27304.3335,18754.14869,63498.44786,114927.2114,18449.56015,106016.8411,1472499.637,74061.17144,43118.98078,262.4250643,8417.56929,205143.2221,5623.084574,132519.8293,7937.32886,69163.33559,15731.64074,182948.6862,217850.0428,74112.62739,25438.76571
