Samples,Experiment,Mode,Type,Folate,Status,Lrp6CD2n1,Lrp6CD2n2,Lrp6CD2n3,Lrp6CD2n4,Lrp6CD2n5,Lrp6CD2n6,Lrp6CD2n7,Lrp6CD2n8,Lrp6CD2n9,Lrp6CD2n10,Lrp6CD2n11,Lrp6CD2n12,Lrp6CD2n13,Lrp6CD2n14,Lrp6CD2n15,Lrp6CD2n16,Lrp6CD2n17,Lrp6CD2n18,Lrp6CD2n19,Lrp6CD2n20,Lrp6CD2n21,Lrp6CD2n22,Lrp6CD2n23,Lrp6CD2n24,Lrp6CD2n25,Lrp6CD2n26,Lrp6CD2n27,Lrp6CD2n28,Lrp6CD2n29,Lrp6CD2n30,Lrp6CD2n31,Lrp6CD2n32,Lrp6CD2n33,Lrp6CD2n34,Lrp6CD2n35,Lrp6CD2n36,Lrp6CD2n37,Lrp6CD2n38,Lrp6CD2n39,Lrp6CD2n40,Lrp6CD2n41,Lrp6CD2n42,Lrp6CD2n43,Lrp6CD2n44,Lrp6CD2n45,Lrp6CD2n46,Lrp6CD2n47,Lrp6CD2n48,Lrp6CD2n49,Lrp6CD2n50,Lrp6CD2n51,Lrp6CD2n52,Lrp6CD2n53,Lrp6CD2n54,Lrp6CD2n55,Lrp6CD2n56,Lrp6CD2n57,Lrp6CD2n58,Lrp6CD2n59,Lrp6CD2n60,Lrp6CD2n61,Lrp6CD2n62,Lrp6CD2n63,Lrp6CD2n64,Lrp6CD2n65,Lrp6CD2n66,Lrp6CD2n67,Lrp6CD2n68,Lrp6CD2n69,Lrp6CD2n70,Lrp6CD2n71,Lrp6CD2n72,Lrp6CD2n73,Lrp6CD2n74,Lrp6CD2n75,Lrp6CD2n76,Lrp6CD2n77,Lrp6CD2n78,Lrp6CD2n79,Lrp6CD2n80,Lrp6CD2n81,Lrp6CD2n82,Lrp6CD2n83,Lrp6CD2n84,Lrp6CD2n85,Lrp6CD2n86,Lrp6CD2n87,Lrp6CD2n88,Lrp6CD2n89,Lrp6CD2n90,Lrp6CD2n91,Lrp6CD2n92,Lrp6CD2n93,Lrp6CD2n94,Lrp6CD2n95,Lrp6CD2n96,Lrp6CD2n97,Lrp6CD2n98,Lrp6CD2n99,Lrp6CD2n100,Lrp6CD2n101,Lrp6CD2n102,Lrp6CD2n103,Lrp6CD2n104,Lrp6CD2n105,Lrp6CD2n106,Lrp6CD2n107,Lrp6CD2n108,Lrp6CD2n109,Lrp6CD2n110,Lrp6CD2n111,Lrp6CD2n112,Lrp6CD2n113,Lrp6CD2n114,Lrp6CD2n115,Lrp6CD2n116,Lrp6CD2n117,Lrp6CD2n118,Lrp6CD2n119,Lrp6CD2n120,Lrp6CD2n121,Lrp6CD2n122,Lrp6CD2n123,Lrp6CD2n124,Lrp6CD2n125,Lrp6CD2n126,Lrp6CD2n127,Lrp6CD2n128,Lrp6CD2n129,Lrp6CD2n130,Lrp6CD2n131,Lrp6CD2n132,Lrp6CD2n133,Lrp6CD2n134,Lrp6CD2n135,Lrp6CD2n136,Lrp6CD2n137,Lrp6CD2n138,Lrp6CD2n139,Lrp6CD2n140,Lrp6CD2n141,Lrp6CD2n142,Lrp6CD2n143,Lrp6CD2n144,Lrp6CD2n145,Lrp6CD2n146,Lrp6CD2n147,Lrp6CD2n148,Lrp6CD2n149,Lrp6CD2n150,Lrp6CD2n151,Lrp6CD2n152,Lrp6CD2n153,Lrp6CD2n154,Lrp6CD2n155,Lrp6CD2n156,Lrp6CD2n157,Lrp6CD2n158,Lrp6CD2n159,Lrp6CD2n160,Lrp6CD2n161,Lrp6CD2n162,Lrp6CD2n163,Lrp6CD2n164,Lrp6CD2n165,Lrp6CD2n166,Lrp6CD2n167,Lrp6CD2n168,Lrp6CD2n169
emb_280_6,cd_exp2,neg,sample,2ppm,N wt/wt,264972.7807,988611.3086,109481.9905,1580196.457,323599.6725,1968726.279,292800.6293,38428811.04,109152.6114,1269292.247,1269359.919,159356.6129,192239.3462,889547.0635,112908.3662,751606.6504,201630.3095,12368.36669,1669094.564,41464.15597,18810.60212,31554.01917,1117537.791,434720.4963,722048.7438,10878544.67,635123.1582,8277.96728,153087.1579,81670.78384,252571.7359,276843.0664,1285421.057,897135.6445,39611.87096,22155.38266,60381.62588,436665.8325,33097.48149,107101.9872,2160400.409,3952478.094,57335.82934,845772.9951,42492.67994,193901.4776,26389.24212,643714.567,1672960.566,886885.0438,8019704.447,21109.99515,479024.1967,24430.22902,96616.54156,14299.00055,82226.38217,306546.524,55071.28545,100525.1967,13666.0381,152366.2038,943193.792,14575.73708,,106301.1387,67661.12954,15510.65049,13919.03326,,151655.3003,15821.22141,2533879.709,10807.79416,1753.427652,1354164.554,90906.71916,25330.28961,918481.3642,59032.49653,1550.853705,8813.234782,156052.5836,49972.3442,3365775.196,42723.46552,205932.9249,10673.87015,5055.413279,2507.442199,7446.842281,138439.7356,384032.0099,15056.80469,10501.52795,4139.975733,7859.511712,241869.7375,58169.41046,84040.29931,4006730.099,18324.74933,3451.262553,4761.817988,9732.312556,368671.1377,93133.99645,41362.57957,13744.85252,348482.6925,802662.2591,40848.706,176060.6649,33151.64042,2526.482263,4258.473045,18528.42513,520636.0662,116391.5283,830847.9481,40423.45554,22834.04536,28228.61983,62029.11635,2077131.977,164638.2262,49876.1161,162176.5537,250042.047,13693.50303,15591.89225,1295.990367,8320.167812,76273.83325,343645.3049,36956.12053,8425.028156,275621.5442,35030.16346,230239.4897,26832.34087,7613.862673,31654.85367,8985404.093,239600.1868,19090.64924,7215.462819,126786.7261,6736.178287,49294.69878,34096.11859,,765.9930736,65269.07021,10842.32394,80288.94131,764785.2045,553984.9613,67732.7043,15897.72844,2196.178673,937526.1095,3213356.581,132282.0161,127305.7042,6851.294508,24751.71583,,3345.658356
emb_225_3,cd_exp2,neg,sample,2ppm,N wt/wt,270159.5197,725270.6402,83124.26604,1456488.458,328410.431,1962121.674,227767.6997,42600168.85,109460.6887,1018567.42,1019051.432,204395.4709,182706.8793,887573.5981,119485.7996,644997.1389,146259.0882,,1652301.786,53124.97399,18775.59782,56482.13359,1331292.927,415363.2396,647264.0259,10699142.16,588381.7136,4501.347583,160457.22,82121.21627,254951.1637,273885.647,1479083.553,932136.002,43790.44658,15816.89316,64247.2845,453831.8622,21746.7562,145493.0671,2322123.261,3932137.598,39887.20513,693410.0437,25423.67072,229015.5676,38710.68542,437505.8002,1772168.456,1248173.3,6573350.412,14718.5915,555996.2202,30231.57413,48725.20898,15072.16456,115688.6743,269129.7551,60428.18474,134756.8119,18669.49874,182903.8654,1114608.653,25991.83877,16180.43941,118158.6671,82633.69664,15020.78737,13992.58516,22860.35683,1027822.274,39999.03559,2571977.003,10272.97422,132067.1651,1026919.837,102578.2792,21321.79898,1032112.063,61896.10145,16587.16444,6545.830847,163650.2985,43306.54841,4725667.065,51964.74478,219886.1065,9248.994012,13143.33238,7313.272798,12378.37863,141797.2682,645231.1422,14257.50266,11529.97872,3983.177814,9826.826421,205179.7482,42962.89717,106314.6419,3016883.623,19374.83585,8469.8024,10219.40343,12999.60176,358443.6458,92173.36168,31609.16236,13601.82679,242685.4935,642695.036,35013.42544,214204.6666,61589.62285,2390.162802,22423.53742,28305.35805,562153.6021,87912.22633,1282709.159,30518.60248,20273.54518,23519.41217,62554.56065,1994953.556,177676.6358,46713.32267,162746.0332,186840.0947,7839.97646,14906.16934,1643.423675,6625.175838,49391.08595,319928.6772,28888.54152,29574.84265,274489.4543,42129.40922,238526.3645,4061.005551,26662.99549,75888.38598,7006030.27,344784.2097,15410.62307,18878.76819,166337.995,6984.708236,71798.94494,45447.2304,4787.643789,1791.355382,92610.08796,23179.23648,81300.3689,839979.7514,482447.6333,75055.30905,15587.13264,6303.427285,877693.7203,3253335.47,170809.2777,200355.9898,2406.484848,28539.05964,2005.722204,2528.534387
emb_252_3,cd_exp2,neg,sample,2ppm,N wt/wt,281264.0573,850670.0259,69787.68138,1762606.105,324193.371,1999646.879,219229.0934,39320332.55,122731.221,1143946.558,1144440.591,181441.1261,152060.5313,934386.046,134763.6287,596807.213,154471.9227,12021.48978,1827118.052,53329.44457,19638.85246,45384.50856,1131659.318,361581.8986,724418.157,9424590.751,556249.8448,6126.816651,149520.2083,68281.84326,67402.94359,273899.8321,1269041.094,885377.6726,42031.55193,18975.93466,52776.14158,471970.3315,37962.46295,119033.6758,2515718.473,3279725.03,33909.10251,616757.3066,45263.53868,205121.6863,36461.4982,432141.2163,1949462.525,1207471.375,7507651.084,21320.07252,503292.718,28165.20309,25779.20283,15811.07562,109946.3194,237971.5555,54170.66505,136749.8089,18230.89598,216565.9263,1064788.672,20377.15227,4224.118585,118326.8816,68862.92633,11554.86446,13904.55292,11696.93445,574402.7519,44430.02773,2670446.419,13512.64838,39904.08964,898802.5344,104283.976,31135.86338,1006625.825,68245.22535,8903.138559,4128.60888,149641.4561,43447.16225,4026368.729,41571.29581,213599.489,7677.106208,13579.36368,2557.023014,10909.90754,132312.6064,486253.5258,14653.25269,12369.05119,3945.346103,8839.20378,221562.4145,31794.06176,86930.4495,3180865.521,20601.60786,7204.619408,6462.286458,14137.41513,179638.4918,90285.79543,34002.77152,8883.048911,194274.349,474262.3144,28170.92032,201700.9745,54483.15222,4337.349276,10316.95524,22424.12454,363880.2425,59586.43512,1319004.302,22574.47384,22568.4921,18346.61359,35869.0793,1328407.916,102010.7579,28247.98343,91720.12976,184493.0864,13701.75914,8499.038642,1640.670638,6650.384546,36088.29806,202864.9199,18470.27643,6099.262182,111369.2821,32094.60825,194749.8771,35956.90057,23754.02713,79354.13525,6098830.593,347083.5449,21773.03046,16032.47665,70012.8196,8230.060514,78254.33563,29409.05977,12670.64862,371.9718286,133633.2356,45515.46908,86874.353,1329018.72,821523.4739,116349.59,17781.5327,8041.987333,1320837.021,4103810.711,177167.187,242569.3001,12120.97668,28058.54649,1943.079922,3716.835325
emb_331_8,cd_exp2,neg,sample,2ppm,N wt/wt,452911.4965,1449290.072,175815.2092,1544174.434,561971.1564,3385313.822,477765.5807,45824800.63,57441.69541,2138485.508,2139432.843,69622.38934,127159.8729,1205010.928,210572.6848,760109.475,243672.9982,54952.08522,2703093.786,107608.8138,20233.46498,104022.5186,1774774.579,565018.8012,1176871.409,15452270.42,918611.1299,12317.97246,224802.505,135259.1462,568725.253,434013.4677,1467389.871,1037627.34,164288.601,30890.42012,77222.04981,671208.5982,31050.47637,172669.2978,4206854.883,5063082.098,105321.5266,1331952.881,69312.86267,426740.4295,35935.37681,847422.6906,2129137.984,1846432.395,12543621.21,45524.95501,534057.1313,26738.87582,56491.77493,27276.72569,185141.1191,177597.6786,160869.8962,325182.4049,25663.33743,308203.689,962586.2357,41402.14468,14468.05909,275852.714,212957.1935,5235.591934,3841.475321,166644.0951,147027.4434,135583.9052,5626294.1,19814.89815,2781.946019,1934817.678,76462.46855,35520.47585,925852.219,71624.57863,33652.18716,7680.200431,311539.6172,102948.5317,21263946.13,73051.48739,167494.5142,3977.319943,46369.28241,7956.06285,25670.97119,338354.866,1331252.594,32723.55303,11053.84091,4807.755979,18329.42912,297783.1031,24331.89708,43705.47553,4779867.764,47238.15719,9328.404061,10135.94757,21270.92301,165007.6543,128258.1072,69311.17235,,55655.47554,233922.1029,46441.6189,206592.6861,104553.2704,4123.650705,9178.649077,12992.90114,59294.25908,,619914.5183,224.8086859,34285.31955,9162.221419,10273.83101,402358.7794,21575.14055,8106.187883,14655.65635,435070.0129,18211.44841,,228.8586963,7651.735374,78948.81717,76328.05476,2903.161557,65691.60621,37427.31215,33259.45475,,5557.406913,75371.50451,146391.8992,164175.0058,696824.4018,62127.90954,58442.72968,98356.33789,6392.800794,39716.34668,2552.065852,156322.0054,1893.661466,798236.7579,149823.534,146045.8215,2874897.51,1781315.256,461805.0405,44561.29347,16723.94161,3213750.519,7880530.529,472907.6409,647683.3798,16205.36721,8892.89702,12630.59257,7732.356665
emb_416_1,cd_exp2,neg,sample,2ppm,N wt/wt,277840.47,955515.0938,147203.818,1727703.693,293352.3739,2401897.935,351804.0533,35950580.19,104934.2554,1482049.514,1482229.49,383070.3423,837640.8533,766372.212,170812.9036,452442.3235,186252.7458,40793.99997,1724581.58,69022.51922,18671.48319,44641.03632,1001643.516,413218.7296,581699.4294,11336582.95,632809.2289,9386.087561,121525.8024,98534.27144,332961.7925,274188.9075,986512.9909,691186.6098,82861.62185,22294.72086,71048.73278,429093.3869,19633.47492,99395.63753,3827193.61,4539045.489,53279.50476,845907.8251,62546.21244,208481.3919,34177.25142,533956.5629,1056641.241,969790.7,9316369.778,22008.3392,370445.992,17992.4583,159532.5135,22420.41084,72831.63155,159006.8291,132319.4652,239801.8203,20722.34998,252565.2053,679392.1087,18844.24125,9518.857463,127285.8648,106241.5724,2136.033662,10080.132,61846.42043,22760.52158,23140.73971,3583969.296,10482.77922,196.3152386,924254.516,84972.69111,36832.58054,598902.5231,48191.65541,40134.66439,6989.086508,234327.8925,84710.13695,9523752.388,45426.36699,111920.796,2288.704761,21799.64321,7429.995604,12954.9573,167089.8322,391193.9092,18029.10895,7902.091108,1134.238799,8287.750318,220331.3834,24004.64326,80951.84657,4602340.838,24741.6987,3978.214181,409.3822499,18919.55732,104091.3044,118927.6857,44301.32912,253.2995373,107201.1614,327733.915,42601.44273,214003.4966,55890.71275,4106.959843,3518.306043,9590.476014,108025.2769,18897.67748,430832.6407,3216.898355,28793.71371,12504.56205,6006.547464,311066.1877,49272.17167,16038.4876,30314.31845,143584.1346,17476.92845,,914.2703681,11842.05802,63661.83551,43644.87705,1801.511945,214960.1556,35198.1489,26128.53096,18118.93775,6876.408901,28087.39504,53919.58644,134690.9562,327561.7287,36197.00686,16764.22727,199914.5604,11796.28912,58494.88838,4040.245403,56583.78563,,340206.3471,74169.89803,102424.7938,1990505.053,886646.4725,158570.0811,15242.93048,7391.243662,1227453.077,4482626.34,171794.3528,326240.3351,3980.395743,26122.63519,,2926.211916
emb_280_2,cd_exp2,neg,sample,2ppm,N cd/cd,215864.0402,820207.046,63498.44786,1472499.637,325912.4129,2162455.489,266030.4919,29180711.34,110831.1532,1222568.143,1222673.226,131823.0283,154920.6165,794000.8759,128536.2525,569897.8711,114927.2114,28821.79126,1499994.983,61370.52914,13215.48373,47677.04658,1087238.464,391085.6555,706016.168,9134747.495,417352.0571,9064.549538,138520.1885,70108.08282,266962.444,277656.0762,1253992.82,816166.5063,54012.39064,16178.33087,56812.52987,434853.1732,18449.56015,83595.42339,3145813.498,4401947.739,34141.6116,553067.1351,28879.82754,210924.8084,27543.55984,627356.527,1208073.202,880489.5565,7898924.237,16370.69984,480080.4601,25346.5872,52557.11876,10711.55492,78463.74435,237494.8262,96859.90331,92182.94288,26583.33101,228112.6385,863810.267,20651.64824,1507.481128,85368.20686,74061.17144,3744.649323,7995.068243,43118.98078,320262.7885,27304.3335,2720519.578,11057.41351,13514.72861,695851.7319,72991.60282,18754.14869,807915.3197,42839.78009,12153.68105,4083.956831,165509.3681,45214.36143,5868869.537,41650.09262,175656.7388,9364.09957,,7378.813281,8417.56929,145670.3389,404093.2331,15642.10637,9434.657366,4884.737182,7266.572153,186096.4093,38678.85955,96513.17407,3061028.384,15731.64074,4714.940965,32665.47137,6303.75364,389645.0485,87721.86814,76299.69482,30280.27056,353762.172,919017.5236,45587.01088,182948.6862,34432.4247,3653.672031,5995.998062,26040.86746,626581.9782,146891.4447,1341932.238,53252.16444,24565.37184,41799.24823,42817.2319,1306230.249,162028.7381,58512.38909,182004.0225,205143.2221,6423.085092,24365.4758,5623.084574,8747.571703,51503.47139,217850.0428,21911.45456,2324.142071,74112.62739,31485.5586,181683.726,9729.25699,26437.66799,66086.00021,6294010.327,328793.9021,11948.58277,15483.63118,132519.8293,7937.32886,69163.33559,25438.76571,3784.116641,1806.57513,96435.06659,330584.0693,89113.35713,1041785.687,512535.6154,106016.8411,17962.70984,7927.400015,848138.0729,3474736.053,158034.8894,119903.2868,262.4250643,28803.13134,636.6463727,1535.5153
emb_320_7,cd_exp2,neg,sample,2ppm,N cd/cd,233037.458,827644.8343,108984.5864,1304035.908,330537.7156,2104383.779,265031.5691,32428529.01,92008.03874,1276972.45,1277054.407,79797.12617,144572.0183,1044153.31,116491.0647,640137.2879,158061.9876,20384.62383,1686845.604,47697.82128,16387.74665,29688.53781,1206467.535,292352.4584,888295.631,9201301.992,465275.8984,5604.846326,147549.4976,67497.63659,264267.0908,267189.7592,1312206.175,937858.2746,32803.27492,17428.32903,48892.63263,465692.9221,22508.3397,143811.4478,2165067.151,3209176.838,45544.23576,550809.0927,43819.72254,188059.069,23717.58855,372223.8217,2091697.86,940155.834,8102405.243,24527.57169,490007.4441,27142.97125,72180.86432,14316.49104,93971.97318,228907.8615,131160.3398,164228.4913,8896.082183,157341.6621,959961.4098,12616.37537,3837.785874,104694.76,54342.99113,5465.392244,20575.1974,2489.384272,595564.8046,44279.52555,2696729.131,12187.61535,57237.26176,1308700.578,73687.25422,19853.138,955629.3516,39042.74579,8846.716315,5322.043986,157622.4372,37579.4944,2682499.327,38404.22091,215666.4733,9724.840751,1226.729443,4452.147344,7400.46878,154868.8458,406361.9656,16384.58872,10806.44224,4058.539308,7785.747449,247146.7109,52124.62574,102836.013,3280821.106,20884.06665,8217.549709,2939.121976,9200.929738,228398.5812,87967.73596,70981.38975,5477.617788,183492.0015,489780.2065,26472.88767,159889.9179,45794.42329,5272.941065,3231.896839,10342.71868,258402.2182,51191.10348,1168905.603,20793.62629,33750.07141,20620.96251,38371.86638,1452999.065,75644.16608,24881.51309,68045.89211,231902.347,16616.92226,6568.45604,1866.629873,7565.915345,60414.7645,219796.4205,22523.05694,29131.58971,90486.43724,27632.98402,272052.2714,3224.897764,21621.20056,56610.91459,7783564.822,358058.2485,45695.79642,20657.13548,126543.83,9008.057615,64218.50195,30840.42458,3249.111747,3535.065421,127127.3651,124566.57,82197.08435,1045347.502,899816.9754,122851.2462,20355.91752,6794.799078,1566759.982,3971317.252,168016.708,232079.8194,7502.633719,23599.26488,,3829.266691
emb_320_9,cd_exp2,neg,sample,2ppm,N cd/cd,370412.7539,1176816.792,117245.2565,2062426.559,406103.9944,2751412.476,365857.6242,53017623.52,136719.3209,1650424.023,1650822.247,213339.526,261612.9121,1268642.74,149485.988,987226.7559,185948.7929,84199.42135,2301231.767,68897.30055,19838.33057,33563.61099,1666391.425,443097.6129,1325922.037,12247590.48,666758.8419,11805.30838,243625.7443,85418.35998,105370.6649,347809.4598,1830744.826,1263978.912,48918.01515,27636.7238,76093.3154,626129.507,51441.34659,161830.6935,2895910.464,4639562.221,64093.01488,749221.5414,51104.92223,233194.4722,32191.58597,536821.7307,2698001.571,1442492.408,10182041.12,26331.4022,679255.4459,36384.41413,93069.09948,24465.71886,123563.1366,396309.3466,403719.1895,132284.2513,20709.06998,222194.6098,1367211.151,24827.41242,1138.199865,400937.3669,51861.67461,2916.832172,8054.298528,40177.22398,146586.2011,59121.58709,3564929.279,15411.75129,555.6305356,1622190.841,142582.3656,50603.798,1296598.991,73166.90002,2067.016861,7778.02463,212278.3304,45958.86332,4998268.827,45869.75146,249498.2758,13320.53048,,5606.855576,10920.58795,200418.5812,488509.9071,18168.30883,11074.02209,3464.171004,9629.349455,219881.8307,76990.02491,129585.1741,3386067.727,32185.03365,8762.353005,13566.88407,7299.68335,212645.8946,93493.33535,77469.10117,13314.13843,232526.5544,682914.1459,32937.70274,240428.4917,61240.71275,14815.326,6618.601366,17059.83814,284861.1947,60860.70289,1198692.126,28186.44885,51912.75889,26974.01516,30164.66297,1106670.718,85092.92128,24315.65123,67432.16429,327123.7203,29893.71969,6076.239248,2048.329993,7151.817478,72529.22714,226886.4327,23497.75061,3090.767374,70799.31143,27132.52462,368068.669,12427.36307,21397.71857,59849.55603,9970744.644,371739.9848,2911.972015,17909.30251,159140.2915,9421.779245,53334.66481,19196.08322,2724.496139,3541.953675,148650.7047,559770.8916,118976.7138,1324502.956,1110317.282,179989.6498,27880.68108,10351.60472,1795491.309,4771514.343,184370.4714,217887.1514,14259.02451,20866.11684,,4618.808322
emb_241_6,cd_exp2,neg,sample,10ppm,N wt/wt,287841.6085,1022198.237,101643.453,1548037.836,370531.8006,1898048.321,236692.4048,34892798.48,95686.11799,1166935.251,1166655.82,148957.5526,187775.7383,816700.0974,121294.621,595689.8619,138866.2195,25278.7759,1725200.772,58073.20483,15891.70303,38519.65342,956897.7677,284994.0454,810676.4325,8607763.553,432085.3467,8664.909888,204479.0372,61599.13319,289701.2373,292458.7694,1184934.148,745732.8817,38341.1147,18427.0744,49193.55796,372682.2711,28486.52616,129172.5826,2535144.863,3188837.701,38226.17127,762143.9695,45085.58934,227197.1705,24300.76795,619908.9979,1295352.365,1021661.457,7314263.765,22347.10303,463874.3565,25120.0643,117439.3264,15838.79399,112226.4408,195939.7796,96415.6362,111271.0368,12564.82709,203757.8262,964013.7506,11745.91418,25817.22347,147512.6013,54099.30048,3642.798973,14912.63488,13830.23279,219271.7547,41744.11634,2736116.051,12857.84409,2879.231934,1167018.458,82424.02863,36048.46631,965479.4976,40735.0566,32385.95099,5150.351517,151523.6942,36455.89846,3581419.55,36199.08671,202395.3056,8367.961322,10710.5638,5244.465949,8123.754413,121609.1584,377854.5165,14680.48782,8797.455977,4221.360001,8560.506777,249513.7477,78586.15144,165809.4402,4877769.175,23058.79523,9912.421119,1460.151488,18008.21464,244160.7481,113652.7646,93354.48739,117.212013,131497.1715,449383.3996,58614.99183,223433.8106,28558.44014,17586.62696,9907.345704,15923.25533,73772.01455,8230.229671,910429.4284,1885.620109,27661.02726,13280.45617,16488.79917,514899.5372,35753.34912,11656.3518,15586.32029,273963.3583,31312.34566,,1463.121082,5567.866571,75706.36225,99753.31384,9665.232207,1751.759788,64010.53857,29583.05132,203810.8713,5124.532694,24650.65714,56145.34134,7433763.335,382659.5812,31274.25081,21355.34459,106214.7204,14189.68091,45171.95506,8516.409423,34923.98691,1586.864557,259077.3204,42870.30802,98573.37692,1448392.231,1108075.778,145136.7531,22809.97156,5432.339838,1945046.179,4759520.377,202653.8413,420409.6955,15149.3887,19275.0378,4845.70182,7388.606085
emb_242_2,cd_exp2,neg,sample,10ppm,N wt/wt,385337.8118,1100793.158,82353.27641,2375583.961,409636.0729,3132851.162,390626.6687,54847642.27,145214.3177,1695831.033,1695991.028,235047.5404,170398.4609,1197165.244,161304.4869,796320.5901,191067.3882,54768.30309,2293014.494,75509.12384,25741.93561,41086.82195,1552730.621,661902.4739,897689.6069,12965070.73,710783.7712,10403.03829,184272.5891,92661.00021,111226.3062,345368.8939,1472645.548,1059871.224,71584.12934,25140.78743,72938.839,630739.2895,33366.28879,134970.9115,4220633.428,5648953.393,50772.2551,843954.2171,40251.13827,241450.8455,46507.50204,716383.3426,2410762.924,1567698.62,10387341.34,18378.88342,616662.0828,32533.89941,28556.72974,22060.52403,124792.7144,343316.5941,212640.1427,171946.2118,25744.41504,317783.2462,1110931.794,38950.08857,5136.654218,129178.4687,79903.44248,6304.062694,11490.70648,38507.61903,70496.01188,68151.79572,3751769.286,15243.75768,421.2963492,1653568.036,134289.0587,31112.75911,1013991.442,73036.17681,12633.40404,9175.163025,207113.7254,51354.85597,7941790.517,51629.42026,185677.4292,6514.351516,17478.41721,7340.018106,14648.06812,169025.5714,605663.0083,17702.0618,13186.53729,3968.401372,13549.04294,221439.1552,24258.66099,94703.1907,3080934.372,27052.98816,4934.480823,977.4752884,16101.12917,153209.1321,96402.93145,32997.5964,2680.464512,78084.32282,204215.843,51631.24852,263259.4528,74652.58454,2141.194159,8769.869834,14717.19142,78847.6833,10595.48396,844672.6591,4885.673277,29530.85412,8021.675611,11979.9524,463629.4054,40093.34378,9694.300862,21857.96222,227489.2848,19581.95826,,501.2586778,5750.426502,55956.02748,73365.31944,4783.607816,19372.58147,65555.00686,27397.10809,241649.0323,10765.6966,30071.1821,80396.02763,7401820.505,396750.1262,19352.65854,17078.53559,159341.4637,8162.224657,53092.38043,5421.710564,58826.72241,,298527.519,35865.27484,114190.8395,1612761.442,797056.1609,119952.578,15988.6117,8564.198251,1275582.532,4512663.423,207096.6018,391689.1004,11708.75512,26274.73251,1098.688463,2281.026992
