Samples,Experiment,Mode,Type,Folate,Status,Lrp6CD2p1,Lrp6CD2p2,Lrp6CD2p3,Lrp6CD2p4,Lrp6CD2p5,Lrp6CD2p6,Lrp6CD2p7,Lrp6CD2p8,Lrp6CD2p9,Lrp6CD2p10,Lrp6CD2p11,Lrp6CD2p12,Lrp6CD2p13,Lrp6CD2p14,Lrp6CD2p15,Lrp6CD2p16,Lrp6CD2p17,Lrp6CD2p18,Lrp6CD2p19,Lrp6CD2p20,Lrp6CD2p21,Lrp6CD2p22,Lrp6CD2p23,Lrp6CD2p24,Lrp6CD2p25,Lrp6CD2p26,Lrp6CD2p27,Lrp6CD2p28,Lrp6CD2p29,Lrp6CD2p30,Lrp6CD2p31,Lrp6CD2p32,Lrp6CD2p33,Lrp6CD2p34,Lrp6CD2p35,Lrp6CD2p36,Lrp6CD2p37,Lrp6CD2p38,Lrp6CD2p39,Lrp6CD2p40,Lrp6CD2p41,Lrp6CD2p42,Lrp6CD2p43,Lrp6CD2p44,Lrp6CD2p45,Lrp6CD2p46,Lrp6CD2p47,Lrp6CD2p48,Lrp6CD2p49,Lrp6CD2p50,Lrp6CD2p51,Lrp6CD2p52,Lrp6CD2p53,Lrp6CD2p54,Lrp6CD2p55,Lrp6CD2p56,Lrp6CD2p57,Lrp6CD2p58,Lrp6CD2p59,Lrp6CD2p60,Lrp6CD2p61,Lrp6CD2p62,Lrp6CD2p63,Lrp6CD2p64,Lrp6CD2p65,Lrp6CD2p66,Lrp6CD2p67,Lrp6CD2p68,Lrp6CD2p69,Lrp6CD2p70,Lrp6CD2p71,Lrp6CD2p72,Lrp6CD2p73,Lrp6CD2p74,Lrp6CD2p75,Lrp6CD2p76,Lrp6CD2p77,Lrp6CD2p78,Lrp6CD2p79,Lrp6CD2p80,Lrp6CD2p81,Lrp6CD2p82,Lrp6CD2p83,Lrp6CD2p84,Lrp6CD2p85,Lrp6CD2p86,Lrp6CD2p87,Lrp6CD2p88,Lrp6CD2p89,Lrp6CD2p90,Lrp6CD2p91,Lrp6CD2p92,Lrp6CD2p93,Lrp6CD2p94,Lrp6CD2p95,Lrp6CD2p96,Lrp6CD2p97,Lrp6CD2p98,Lrp6CD2p99,Lrp6CD2p100,Lrp6CD2p101,Lrp6CD2p102,Lrp6CD2p103,Lrp6CD2p104,Lrp6CD2p105,Lrp6CD2p106,Lrp6CD2p107,Lrp6CD2p108,Lrp6CD2p109,Lrp6CD2p110,Lrp6CD2p111,Lrp6CD2p112,Lrp6CD2p113,Lrp6CD2p114,Lrp6CD2p115,Lrp6CD2p116,Lrp6CD2p117,Lrp6CD2p118,Lrp6CD2p119,Lrp6CD2p120,Lrp6CD2p121,Lrp6CD2p122,Lrp6CD2p123,Lrp6CD2p124,Lrp6CD2p125,Lrp6CD2p126,Lrp6CD2p127,Lrp6CD2p128,Lrp6CD2p129,Lrp6CD2p130,Lrp6CD2p131,Lrp6CD2p132,Lrp6CD2p133,Lrp6CD2p134,Lrp6CD2p135,Lrp6CD2p136,Lrp6CD2p137,Lrp6CD2p138,Lrp6CD2p139,Lrp6CD2p140,Lrp6CD2p141,Lrp6CD2p142,Lrp6CD2p143,Lrp6CD2p144,Lrp6CD2p145,Lrp6CD2p146,Lrp6CD2p147,Lrp6CD2p148,Lrp6CD2p149,Lrp6CD2p150,Lrp6CD2p151,Lrp6CD2p152
emb_280_6,cd_exp2,pos,sample,2ppm,N wt/wt,532955.5166,57142.81106,14818.17932,383823.6613,2396698.169,19769.65801,167119.8006,18268786.49,1034927.948,149135.5404,315816.0957,317394.8625,214419.6557,10083112.65,22126.68759,3024284.011,8008434.897,3269771.617,2234970.634,10095273.49,37381.0708,144692.406,8226685.467,3657131.632,2811481.89,3735.657022,611.6962876,969432.8019,50203.0793,241889.0694,411550.7943,9522.975018,431923.3721,2573020.864,1284519.194,185014.8592,34667.38311,140520.2897,117144.5488,40275.41802,7930506.398,1048634.316,6315880.485,1749744.872,52488.00856,2148.965523,319132.2277,20006.64828,26843.48789,89099.04867,4855682.256,3572648.879,28781.61575,2610.808576,7852.80349,4064.7841,1190684.441,121478.6904,2516574.276,24566466.44,38786.41746,2930.592024,816900.887,840458.0036,208719.5801,24887.08663,9625.680713,66757.5232,475388.8986,14146.00811,33562.89348,1131234.279,14551.40004,385504.6065,45861.46297,29226.49701,115098.9256,3267923.199,4717.374762,29810.87034,1184060.055,93289.31536,343853.2949,101494.9752,3171.046208,28618.50915,37681.52101,684798.8491,61147.9502,14022.58005,1786791.294,56007.24361,6563.870544,331827.9443,5358.251783,9306.709152,14716.34197,8121.660658,493579.4807,22047.6611,82330.06046,15862.50452,31706.17362,23716.38804,3666.949143,499049.2032,333856.4726,48929.51836,181328.7694,83913.39109,9859.353265,165070.8782,448144.4876,5982.517592,184059.7016,90724.5551,7226.217904,11575.10843,11747.05799,57224.92253,3533.546295,437.5465337,782.9190873,18284.57477,32453.35817,332152.3907,73651.01625,3640.216826,68250.97062,137222.483,137278.5511,342762.3223,9892.834286,2546.749642,5320.984508,81683.50468,5780.27613,4209.875739,295163.8436,295163.8436,190735.1248,162670.9042,3381.687821,20542.57468,25479.59769,3898.00011,16647634.68,520926.1816,98846.12551,12833722.88,31280.23638,7238472.728
emb_225_3,cd_exp2,pos,sample,2ppm,N wt/wt,506276.4212,88937.94332,22085.222,420515.8972,2545309.834,19647.78761,272180.3876,12241914.96,1137695.21,175562.6053,331618.9461,460214.9783,246468.9197,11881760.1,45893.23416,3981026.529,11079028.07,3027323.435,2260702.093,11339957.18,42365.49323,173073.1453,8842983.558,4073693.338,3076059.537,4074.438487,2612.158648,1080414.548,74103.50955,273281.7094,510883.9901,13310.62866,376279.7743,2268692.5,229976.2471,141730.861,28102.73987,154200.059,146997.2165,31110.64628,8188491.407,1280330.063,5519106.995,2057993.66,77762.05455,2764.101624,445411.0534,19185.14819,50924.8227,116416.7802,6594871.388,4535077.409,20909.71911,2491.847918,8606.053421,5015.077449,1990242.29,88596.8145,3049778.487,27091838.3,49827.99664,19076.01217,1220383.224,1050028.888,100766.7003,47284.93705,12782.54437,82567.27856,838713.9458,30107.68276,56134.52942,1673420.354,15828.75143,363952.5754,93531.88266,28937.75347,95869.66755,5664672.829,6099.193677,31115.03723,203057.5284,57059.6057,560267.1506,98143.90128,41234.10432,1947.729733,11411.59259,1264264.984,96947.34884,15239.87954,2465608.092,48135.56763,17813.15803,301012.1242,9188.895433,15609.07837,13212.18855,21094.07433,417228.3394,54314.18074,66285.17646,13207.32194,22668.01551,27818.85246,4902.062152,477182.1775,460317.4905,44079.83114,223840.6082,85464.49905,17715.91409,120739.3215,370536.8823,3248.214822,218853.7787,84284.21459,11668.97596,13791.00153,12746.15119,93542.76694,6014.066457,945.1595144,2804.726087,29574.16649,51275.70179,598207.3757,89626.04909,4369.358525,87770.71734,249336.4632,245408.1732,664006.3706,11924.71781,1591.667492,13444.98453,102916.1791,6213.207738,5701.266273,323912.2347,316943.769,206662.3347,255125.8194,3099.322378,10584.03198,25442.29322,9083.171376,14070091.46,481216.8795,112918.4924,12677444.03,48023.99708,5957169.243
emb_252_3,cd_exp2,pos,sample,2ppm,N wt/wt,515409.8817,57778.75689,10084.32088,377614.6398,2614546.643,18426.0246,225061.8945,12368571.25,1202802.055,187315.5731,234347.4141,122637.0396,276424.5686,10698661.26,18923.26644,3299503.981,9675512.524,3308485.037,1581132.509,10375214.8,6757.435815,161540.6906,8147947.436,3854890.129,2957295.106,2876.33929,,1101475.25,56108.25201,234758.2018,575503.3062,10443.62346,286144.3676,843072.5328,363368.2784,63554.8019,61486.40456,120683.7634,111787.2443,30236.07299,8488176.723,1195038.278,6264906.765,2000834.4,66577.11711,2245.987346,376735.9317,12991.5,24516.36392,119393.411,4818260.994,4236374.363,7243.729133,1840.652807,5013.087277,1429.087355,2270797.479,74263.12194,2883226.769,27786878.14,48393.54485,14573.36776,939048.4582,983638.0894,99898.24352,37797.8837,9520.424936,60372.86283,598771.5913,33536.31845,,1465654.27,631.4115072,214203.2764,30933.01508,6351.230378,86692.30614,4739933.148,,27788.81685,215611.4706,41067.43816,173167.4177,53363.70998,27277.0201,32562.91811,48739.09583,687642.7624,109311.5189,16606.93628,2120391.075,24661.27413,5096.039085,180635.8008,4281.335747,9232.049883,9983.949287,5251.964044,223425.5512,19502.35533,56660.18744,10020.35689,12124.78904,22998.36138,3406.507984,193167.4514,262706.1983,36347.0798,128234.1296,73746.739,12927.08031,83031.10138,230950.0927,2838.470302,170799.0966,64736.63913,12735.32276,9925.806008,13452.96921,97824.72421,9252.00365,1405.836763,3726.536037,13267.96787,55093.98135,741046.9331,96476.66058,3815.468814,114162.0515,276856.5661,300275.7392,873779.7412,16283.35071,4101.510521,17228.73614,82864.78744,4954.240629,5388.235846,88469.8734,204865.234,185429.0387,259714.7802,4226.1762,23492.33065,32394.2593,7995.380493,16069665.15,562165.2801,112510.6578,13689068.25,42091.62317,6462453.251
emb_331_8,cd_exp2,pos,sample,2ppm,N wt/wt,329024.732,42544.18135,1144.853074,272263.065,1840699.929,11230.36534,106015.3707,3420018.609,598198.5675,97926.12714,209438.0603,617302.1128,217304.903,6799977.785,15009.19116,1691631.88,5598949.199,1684766.377,173234.6816,6827232.424,145662.8972,80304.32753,5723056.817,2511858.528,1674173.848,2238.773892,602.6914528,581437.9286,50886.36112,114062.6187,344727.2269,5518.099257,163427.0446,358794.6839,126398.512,22298.06187,12666.6324,47873.34211,63240.95594,47866.684,4416895.386,626179.1625,4034604.131,1311645.726,39035.10458,740.3389179,199689.1345,16924.66725,171018.7714,50703.14564,2849879.403,2695270.25,7958.182005,224.9134031,,7193.507697,1334088.149,24531.40326,1608694.33,3639234.297,21934.1134,2922.512708,723794.1392,572622.2404,163090.4703,24797.05507,5769.485708,56536.07792,377443.0672,55229.88835,124720.9529,1081954.97,55154.04745,92127.85198,27348.02457,1564.851031,53007.91784,4072399.864,2181.186224,19279.41609,1591.436507,38940.2379,27781.87147,33037.25807,7021.474086,31130.5604,37867.83916,276615.9709,94910.90309,15802.09463,528107.7831,1233.414152,5875.833755,13200.86047,6036.685779,,6528.209405,9500.541366,18031.88788,15868.15773,14831.78021,14535.13946,,26338.52486,2426.516066,12414.70202,68630.54716,18748.32814,359146.1333,45474.79391,2876.115969,14743.72202,34411.4591,676.1540313,51387.78418,57552.26602,14982.81578,2019.42796,13681.19803,62419.55639,6328.334386,4648.408383,4612.798156,,92149.37622,1385614.545,98547.06247,8016.697261,265399.6153,462649.5285,484477.8914,1268424.033,26077.96487,8717.191576,6277.432374,70662.19396,892.0637331,465.086822,102110.9382,102110.9382,68545.84388,113733.5914,247.8274177,29834.56666,53778.80919,2189.479544,14581115.01,474018.052,80095.41153,12711331.69,21480.61865,6699828.191
emb_416_1,cd_exp2,pos,sample,2ppm,N wt/wt,432948.955,38623.83717,945.6288672,371857.505,2136366.909,16669.49718,228574.2787,7042164.979,838858.649,218787.4416,280489.7179,477679.8166,243626.3597,7979746.428,32721.38011,2211913.609,9087516.459,2420013.593,249507.2815,10074322.98,60771.11244,148380.3324,7688519.408,2397819.783,1940608.452,3657.705987,5330.625482,848200.5916,58932.1908,184770.7018,773066.6724,6324.925245,142179.778,854962.4262,339467.1445,71684.56857,44832.22649,158611.7346,132848.0776,43276.52847,5461615.388,1043133.675,6734194.964,1272568.952,28995.4585,3309.693776,250670.2084,27226.27443,228759.175,165964.0687,5141570.566,2534211.459,17707.29211,4955.506916,2044.77173,15861.422,1924401.873,44893.70311,1595835.32,11202696.54,17444.94295,52146.25417,1296353.581,430440.075,155813.9171,94087.56483,16624.38287,119343.467,411883.1272,61409.18102,73088.15111,1423443.436,22134.72739,179110.2435,154982.0045,7869.388669,78906.36933,11964137.53,1561.806781,29170.78095,29044.95799,57205.06669,123656.1223,106372.9072,42290.08585,21730.95397,14412.82974,617724.3608,118203.9042,17156.40491,1174679.249,10816.70099,9374.014228,80917.43646,8471.957416,1519.769839,10146.61838,15233.60099,77130.76482,24658.18842,15288.20406,25419.6046,3703.046457,33265.20169,2838.661653,70344.15548,200805.21,25733.23823,559728.2248,65418.93593,22034.91058,23374.73885,52977.22308,5051.359936,232122.0273,46046.47112,9153.912245,18254.00014,15416.44892,58488.15562,6574.442516,46149.7662,37883.54621,3512.979621,65385.0015,966295.9755,440137.1107,10378.49873,202824.6888,311857.2956,389798.2517,976843.8206,14688.28777,5620.906774,46840.35765,67774.68492,7285.104086,9228.202671,300604.6689,300551.7131,291856.4049,589698.4277,5721.475681,26542.05556,30478.36918,21586.42356,15097736.39,478754.3788,70377.78796,11437133.84,35939.51158,5864521.22
emb_280_2,cd_exp2,pos,sample,2ppm,N cd/cd,542964.8064,56100.58078,18685.18138,404824.3315,2548023.276,15858.04364,193655.0272,10908194.57,1026437.472,196641.6415,283173.6619,574465.9292,230260.1427,9891484.494,24879.21003,3220935.174,5827732.402,3230326.044,2712936.568,10253312.71,86347.90327,113486.9098,8793935.432,3560853.609,2788358.617,2314.873851,6240.759412,1054572.186,49417.96511,208622.8511,714374.4357,8838.036729,276200.2209,1878628.817,50627.67609,3612.026644,17689.53087,150272.1768,106872.9221,46592.4584,6939561.08,1102825.371,6289328.946,1787960.366,55149.63705,1229.314632,304586.5762,29604.58012,69961.19013,155608.0803,4927712.369,3657499.594,16572.41607,2405.929129,1726.553103,7279.664145,1794624.386,38938.46743,2598686.908,22359233.51,44785.23899,25074.40743,920672.2736,900673.7747,243267.5873,4567.24695,10459.94899,84822.8953,540888.7325,7233.015638,75899.86982,1077017.155,33109.50737,351102.6729,166873.1983,24927.28208,90369.44013,4419391.478,2520.333705,19006.75229,227143.8448,28081.99913,588295.1955,136437.3797,13807.32634,1939.602604,31175.96331,1014726.52,114923.4631,23397.78296,2841439.869,37533.09623,4536.903012,220404.9572,5797.970883,4714.761654,12883.77091,4243.225605,319222.5979,22550.68861,65435.65793,18007.28401,18449.95501,22676.38322,7638.058244,128277.7441,329527.7055,29185.161,225821.532,63308.48915,19878.94933,65369.26491,152226.5055,1545.711421,224075.5862,50428.94112,7187.646305,12623.40032,13398.61267,87906.15117,6929.373737,2386.167954,3157.405861,24749.93921,69308.34791,757175.5283,99625.29852,6396.555027,112558.4106,312343.342,268223.1199,740513.2768,24004.72959,4162.596875,171406.0801,113632.319,7297.922154,7726.222266,341919.7554,241698.6585,201559.5365,149697.8159,2133.33517,21124.72394,26269.98917,6359.665767,14815637.26,442352.2919,105763.5626,12627090.45,24659.30866,5878105.975
emb_320_7,cd_exp2,pos,sample,2ppm,N cd/cd,480927.121,47416.14068,19504.79104,345811.0938,2549888.047,17361.05881,169896.0873,8294005.265,1034168.431,121300.1648,274781.6861,527220.1284,201348.6807,9440149.085,1835.377154,2580016.656,4131261.669,3234768.746,1876274.025,7980114.764,48433.49281,122374.0924,6871660.512,3700979.035,2608909.224,3433.233959,5077.235084,829351.548,45921.43199,151851.0843,381235.1288,9748.260469,463586.1387,1436360.499,276095.0655,88694.20976,34044.22445,61770.61137,58361.00437,29081.78245,7803934.559,603183.1728,5548710.98,1834504.247,52043.20952,1244.118939,243349.1582,15957.99201,98779.81608,68885.58641,2554050.807,3641141.65,18787.03963,,848.9676533,3119.914789,1296092.742,71019.36338,2398552.774,11329792.56,20373.21713,375.6660369,486899.0098,880459.7324,115656.9232,5249.920521,5295.254497,43432.55861,374920.8391,14916.04787,81748.69893,814080.8751,17106.89673,319169.6761,131586.3679,17300.43973,75712.15162,1760557.118,2914.030141,28652.37771,146610.4406,20959.64069,196435.934,48193.7072,10391.56472,17589.66408,48169.52235,516874.3435,119042.77,18421.94369,1438771.102,14659.4647,15161.57856,115241.1492,9560.853551,1448.582511,8234.354409,11618.49993,147364.3518,37955.03671,70943.89827,28089.16982,7937.752162,22641.33835,3898.247578,89666.09811,117605.0772,34299.17209,89100.21955,79528.40028,5690.439448,90714.46612,242574.7113,2998.586896,98306.6732,68807.35557,963.8940481,4691.225886,16950.64387,86584.83598,7073.812757,,395.2704473,5656.47348,51811.47274,569584.8839,56527.48285,3170.813027,98778.57257,212840.5363,196557.9261,558763.5373,12920.72098,2253.236129,19161.7711,90373.42686,2909.821242,2056.697824,154326.727,153057.3136,83643.59423,131781.8993,933.1398926,25456.38041,38866.33508,1186.550683,16753334.6,472939.5791,125840.418,12576575.25,42921.34433,7738352.622
emb_320_9,cd_exp2,pos,sample,2ppm,N cd/cd,454241.9847,41887.82967,18119.29434,352439.6811,2496652.06,17523.70038,187390.4231,11034032.14,1064441.667,144414.9539,292186.448,138079.6905,208260.6333,9254359.72,26843.47324,3039426.971,5484426.07,3813730.873,2266338.108,8808502.976,8931.055455,126772.0141,7352564.782,3786045.014,2733344.585,3276.153856,320.4795066,981422.406,48827.53167,198747.0014,407155.1785,8921.292316,468269.4448,998424.6304,526129.4846,79668.21034,41674.36379,98667.26363,82477.48736,35958.92761,8144411.855,967166.6697,5931450.661,1811862.776,63104.2138,2198.885976,321774.8062,14465.72161,20269.43316,84218.00171,3754527.66,3636363.881,14649.32929,1129.58119,981.0877693,795.0309358,2156134.014,81993.48177,2541783.04,25508730.95,41784.33517,2819.426261,646898.7486,847002.0045,218768.4557,3910.443516,7389.265087,56388.5336,463992.1446,5664.023626,,893048.6551,1581.471773,368124.9706,36324.72834,27618.67178,101076.2864,3240490.747,,29477.76636,100658.4729,4255.406249,202635.2689,55169.58834,17151.68537,34896.13361,49157.8698,617929.7149,89431.20986,17956.16871,1898182.298,18586.31281,5123.728158,127086.4879,6615.571933,2411.272624,12019.20511,8176.542414,206162.3559,19780.3993,105570.0078,7137.558309,11999.09661,30393.59194,8660.797672,98232.44452,160833.6875,31613.19318,97012.90648,76987.98383,11535.81888,49997.43307,131965.4334,5238.372265,159055.1756,104770.9263,2704.199873,9562.104776,14679.89838,57270.41476,6326.690148,1276.11518,1548.764962,24395.22439,52593.00527,598069.9917,92728.57122,5159.22246,114314.5975,258891.7966,167420.5057,432923.8063,17385.02614,3023.682144,103882.9887,69480.69583,5554.172887,4676.231676,266368.7865,180028.7043,162095.6171,191270.6577,2450.130268,21609.64564,30158.5963,2796.54552,16679099.96,443356.4296,113394.2978,12059665.68,25812.30957,7588404.362
emb_241_6,cd_exp2,pos,sample,10ppm,N wt/wt,433546.3529,38106.02625,5315.124879,265357.645,1883643.303,13067.75766,113263.7847,9796907.105,818623.2272,109076.7381,333827.8825,229002.3702,162701.0602,7156916.713,9840.278631,1920242.718,3291759.436,2628630.26,896050.649,7163894.286,46192.59266,88629.82758,5691672.531,2558556.326,1937481.01,2997.046224,1103.308671,672986.3176,33296.36781,147945.7859,483452.0942,5443.259452,266586.2729,1359731.587,429637.9532,95545.22232,31831.98646,70097.29123,54888.1307,35791.24675,5095230.395,632263.9301,5248267.668,1371278.012,40605.43057,1337.90051,228905.7011,11023.05036,19027.80005,76413.85849,2743770.334,2843938.698,15328.77782,,317.4918331,2850.936286,1158435.409,54668.62619,1779124.901,17217659.99,29979.69741,1638.034015,565486.322,657819.2309,191913.5184,16985.60175,4521.484619,61276.1906,315672.6578,41289.83854,15704.63701,535901.7101,16205.26003,358213.1375,74484.51705,25959.20768,76259.17958,1356238.084,2910.491422,17345.71229,104040.0681,36375.5103,158312.9192,81825.82094,1332.842195,23046.8661,51626.96018,533885.7904,98345.76453,24382.00922,1336418.341,7153.626973,5976.966305,43394.66253,5116.536952,188.9903164,7951.514839,7290.094986,66327.7383,17598.11637,63219.93711,15424.61194,3438.671684,25452.45871,537.7027067,70106.85951,126577.8208,23422.5128,104467.6263,64991.41328,6338.236157,28134.20879,66485.6245,2177.055163,97495.37932,44652.48385,2155.368789,5305.353074,17907.89031,54365.24808,5425.612051,1987.213893,2727.511265,1084.196958,70732.84461,1146314.311,98414.92837,8836.173071,327164.3747,357017.4653,387593.3003,1015868.607,16599.72071,6052.874878,7488.396396,53082.26403,3067.306442,1883.126615,189336.5981,189218.422,109144.5381,247879.3567,1457.228838,24642.34325,31443.85371,4860.816686,16987300.25,512938.2141,117310.9149,13040004.93,43730.00489,7080010.3
emb_242_2,cd_exp2,pos,sample,10ppm,N wt/wt,489449.8428,54894.83728,5158.928707,414491.673,2751744.254,16454.28045,212052.6659,10409839.18,1251002.094,198105.4448,313035.6063,175343.9628,299065.8449,10841417.3,49092.85024,3624807.886,11233548.48,3504976.681,975075.6075,11891074.21,55189.51364,177788.8342,8778088.884,3606521.03,3127878.046,4543.423132,203.8322742,1245543.332,74623.8208,225308.9426,783387.6336,10312.58436,233120.5078,1034822.541,180317.3104,71052.36618,32434.72577,183240.3796,169415.5872,47482.67494,8862474.232,1397984.394,7157704.416,2021909.454,66094.77764,3178.941889,424763.7611,25802.32528,34974.3859,176472.6399,7654800.831,3943346.988,19808.46686,3744.407404,3440.628955,4790.483436,3183293.002,110960.885,2839045.707,30922428.21,42755.56473,40155.97801,1421952.282,797494.6023,180988.299,79898.10948,18122.96442,83294.16017,719711.4133,70963.21111,5982.874963,2089971.247,17325.47252,205928.9996,44066.05999,7607.340792,104517.7703,9207778.347,784.9085833,37724.39149,94488.17295,65069.05192,240137.1102,145382.8811,54184.60843,20596.61186,31580.41957,1269220.769,107033.7639,76861.5689,1810130.136,14191.54198,6826.560064,94322.6544,11400.21408,1738.749443,15983.48731,12762.83432,121895.4569,19299.38095,51357.16645,5079.688478,7183.91369,27209.56973,2913.081529,118773.1924,271217.0025,27391.59477,221624.4011,63832.57707,26672.32445,29528.0231,65600.45237,8544.925607,283191.5022,86192.10269,15187.14899,21327.28474,13555.7714,57662.87988,7212.945328,34006.91918,39723.0052,13578.69254,85819.7651,1415264.733,395407.2428,9734.073121,343774.4992,464328.1958,489896.9121,1405539.221,15320.25683,7730.55397,31443.74121,100251.0903,7772.137526,12313.39508,340202.8535,506688.4224,362568.0094,674831.7631,17934.11416,20954.52485,30818.87586,22109.52654,15469024.39,460338.4554,117836.6714,12189029.78,44983.40521,5828659.215
