compound_short,compound_full,Formula,Mass,RT,CAS_ID
Lrp6CD2p1,Glycine,C2 H5 N O2,75.032,9.15,56-40-6
Lrp6CD2p2,Trimethylamine N-oxide,C3 H9 N O,75.068,15.99,1184-78-7
Lrp6CD2p3,Cysteamine,C2 H7 N S,77.027,2.06,60-23-1
Lrp6CD2p4,Sarcosine,C3 H7 N O2,89.047,9.84,107-97-1
Lrp6CD2p5,Alanine,C3 H7 N O2,89.048,8.72,56-41-7
Lrp6CD2p6,4-Aminobutyric Acid (GABA),C4 H9 N O2,103.062,11.83,56-12-2
Lrp6CD2p7,2-Aminobutyric Acid,C4 H9 N O2,103.063,8.21,1492-24-6
Lrp6CD2p8,Choline,C5 H13 N O,103.1,24.81,62-49-7
Lrp6CD2p9,Serine,C3 H7 N O3,105.042,8.56,56-45-1
Lrp6CD2p10,Hypotaurine,C2 H7 N O2 S,109.019,9.22,300-84-5
Lrp6CD2p11,Cytosine,C4 H5 N3 O,111.043,4.61,71-30-7
Lrp6CD2p12,Uracil,C4 H4 N2 O2,112.027,1.79,66-22-8
Lrp6CD2p13,Creatinine,C4 H7 N3 O,113.059,7.12,60-27-5
Lrp6CD2p14,Proline,C5 H9 N O2,115.063,9.61,147-85-3
Lrp6CD2p15,Guanidinoacetic Acid,C3 H7 N3 O2,117.06,8.82,352-97-6
Lrp6CD2p16,Valine,C5 H11 N O2,117.079,7.66,72-18-4
Lrp6CD2p17,Betaine,C5 H11 N O2,117.079,10.64,107-43-7
Lrp6CD2p18,Threonine,C4 H9 N O3,119.058,8.19,72-19-5
Lrp6CD2p19,Nicotinamide,C6 H6 N2 O,122.048,2.05,98-92-0
Lrp6CD2p20,Taurine,C2 H7 N O3 S,125.015,5.23,107-35-7
Lrp6CD2p21,Thymine,C5 H6 N2 O2,126.044,1.69,65-71-4
Lrp6CD2p22,Pyroglutamic Acid,C5 H7 N O3,129.044,5.72,98-79-3
Lrp6CD2p23,Creatine,C4 H9 N3 O2,131.069,9.84,57-00-1
Lrp6CD2p24,Leucine,C6 H13 N O2,131.094,6.81,61-90-5
Lrp6CD2p25,Isoleucine,C6 H13 N O2,131.094,7.07,73-32-5
Lrp6CD2p26,Oxaloacetic Acid,C4 H4 O5,132.006,9.84,328-42-7
Lrp6CD2p27,Ethylmalonic Acid,C5 H8 O4,132.045,1.83,601-75-2
Lrp6CD2p28,Asparagine,C4 H8 N2 O3,132.053,8.9,70-47-3
Lrp6CD2p29,3-Ureidopropionic Acid,C4 H8 N2 O3,132.055,6.46,462-88-4
Lrp6CD2p30,Ornithine,C5 H12 N2 O2,132.089,24.45,70-26-8
Lrp6CD2p31,Aspartic Acid,C4 H7 N O4,133.037,8.65,56-84-8
Lrp6CD2p32,Malic Acid,C4 H6 O5,134.023,6.85,97-67-6
Lrp6CD2p33,Adenine,C5 H5 N5,135.055,3.92,73-24-5
Lrp6CD2p34,Hypoxanthine,C5 H4 N4 O,136.04,2.81,68-94-0
Lrp6CD2p35,Phenylacetic Acid,C8 H8 O2,136.046,2.79,103-82-2
Lrp6CD2p36,Anthranilic Acid,C7 H7 N O2,137.046,2.81,118-92-3
Lrp6CD2p37,Nicotinamide N-oxide,C6 H6 N2 O2,138.043,5.57,1986-91-8
Lrp6CD2p38,O-Phosphoethanolamine,C2 H8 N O4 P,141.019,14.83,1071-23-4 
Lrp6CD2p39,Deoxycarnitine,C7 H15 N O2,145.11,18.14,407-64-7
Lrp6CD2p40,Spermidine,C7 H19 N3,145.15,24.59,124-20-9
Lrp6CD2p41,Glutamine,C5 H10 N2 O3,146.069,9.1,56-85-9
Lrp6CD2p42,Lysine,C6 H14 N2 O2,146.105,24.46,56-87-1
Lrp6CD2p43,Glutamic Acid,C5 H9 N O4,147.053,8.89,56-86-0
Lrp6CD2p44,Methionine,C5 H11 N O2 S,149.051,6.86,63-68-3
Lrp6CD2p45,Guanine,C5 H5 N5 O,151.054,6.86,73-40-5
Lrp6CD2p46,3-Sulfinoalanine,C3 H7 N O4 S,153.009,7.23,1115-65-7
Lrp6CD2p47,Histidine,C6 H9 N3 O2,155.07,11.03,71-00-1
Lrp6CD2p48,Orotic Acid,C5 H4 N2 O4,156.017,1.92,65-86-1
Lrp6CD2p49,Allantoin,C4 H6 N4 O3,158.044,1.88,97-59-6
Lrp6CD2p50,2-Aminoadipic Acid,C6 H11 N O4,161.07,9.65,542-32-5
Lrp6CD2p51,Carnitine,C7 H15 N O3,161.105,14.57,541-15-1
Lrp6CD2p52,Phenylalanine,C9 H11 N O2,165.079,6.37,63-91-2
Lrp6CD2p53,Pyridoxine,C8 H11 N O3,169.081,5.55,65-23-6
Lrp6CD2p54,D-Glyceraldehyde 3-phosphate (G3P),C3 H7 O6 P,169.998,10.85,591-57-1
Lrp6CD2p55,Glycerol 1-Phosphate / Glycerol 3-Phosphate,C3 H9 O6 P,172.013,10.6,17989-41-2
Lrp6CD2p56,Dehydroascorbic Acid,C6 H6 O6,174.018,2.02,490-83-5
Lrp6CD2p57,Arginine,C6 H14 N4 O2,174.112,24.5,74-79-3
Lrp6CD2p58,N-Carbamoyl-L-aspartic Acid,C5 H8 N2 O5,176.047,8.25,13184-27-5
Lrp6CD2p59,Tyrosine,C9 H11 N O3,181.074,6.51,60-18-4
Lrp6CD2p60,Phosphocholine,C5 H14 N O4 P,183.066,18.49,107-73-3
Lrp6CD2p61,N-alpha-Acetylglutamine,C7 H12 N2 O4,188.076,6.09,2490-97-3
Lrp6CD2p62,"NE,NE,NE-Trimethyllysine",C9 H20 N2 O2,188.145,24.75,55528-53-5
Lrp6CD2p63,Acetylcarnitine,C9 H17 N O4,203.115,13.98,5080-50-2
Lrp6CD2p64,Tryptophan,C11 H12 N2 O2,204.09,6.09,73-22-3
Lrp6CD2p65,Kynurenine,C10 H12 N2 O3,208.087,6.09,2922-83-0
Lrp6CD2p66,Phosphocreatine,C4 H10 N3 O5 P,211.036,11.62,67-07-2
Lrp6CD2p67,Glycerylphosphorylethanolamine,C5 H14 N O6 P,215.056,10.6,1190-00-7
Lrp6CD2p68,Propionylcarnitine,C10 H19 N O4,217.128,12.97,20064-19-1
Lrp6CD2p69,Pantothenic Acid,C9 H17 N O5,219.111,4.79,137-08-6
Lrp6CD2p70,Deoxycytidine,C9 H13 N3 O4,227.089,4.94,951-77-9
Lrp6CD2p71,Deoxyuridine,C9 H12 N2 O5,228.073,1.77,951-78-0
Lrp6CD2p72,Butyrylcarnitine,C11 H21 N O4,231.147,12,25576-40-6
Lrp6CD2p73,Thymidine,C10 H14 N2 O5,242.093,1.68,50-89-5
Lrp6CD2p74,Cytidine,C9 H13 N3 O5,243.086,4.6,65-46-3
Lrp6CD2p75,Uridine,C9 H12 N2 O6,244.07,1.83,58-96-8
Lrp6CD2p76,Biotin,C10 H16 N2 O3 S,244.094,4.6,58-85-5
Lrp6CD2p77,Valerylcarnitine,C12 H23 N O4,245.161,11.33,00-00-003
Lrp6CD2p78,Glycerol-3-phosphocholine,C8 H20 N O6 P,257.103,14.75,28319-77-9
Lrp6CD2p79,Ribothymidine,C10 H14 N2 O6,258.091,1.69,1463-10-1
Lrp6CD2p80,L-Hexanoylcarnitine,C13 H25 N O4,259.176,10.69,22671-29-0
Lrp6CD2p81,Adenosine,C10 H13 N5 O4,267.097,3,58-61-7
Lrp6CD2p82,2'-Deoxyguanosine,C10 H13 N5 O4,267.1,3.52,961-07-9
Lrp6CD2p83,Inosine,C10 H12 N4 O5,268.083,2.91,58-63-9
Lrp6CD2p84,Guanosine,C10 H13 N5 O5,283.093,3.42,118-00-3
Lrp6CD2p85,Ophthalmic Acid,C11 H19 N3 O6,289.134,9.09,495-27-2
Lrp6CD2p86,13(S)-HOTrE,C18 H30 O3,294.219,2.7,74784-20-6
Lrp6CD2p87,Leukotoxin A,C18 H32 O3,296.231,1.37,6814-52-4
Lrp6CD2p88,5'-Methylthioadenosine,C11 H15 N5 O3 S,297.09,2.03,2457-80-9
Lrp6CD2p89,Sphingosine,C18 H37 N O2,299.283,8.13,123-78-4
Lrp6CD2p90,Sphinganine,C18 H39 N O2,301.292,8.19,764-22-7
Lrp6CD2p91,Glutathione,C10 H17 N3 O6 S,307.085,8.67,70-18-8
Lrp6CD2p92,CMP,C9 H14 N3 O8 P,323.052,11.11,63-37-6
Lrp6CD2p93,Linoleoyl Ethanolamide,C20 H37 N O2,323.279,1.21,68171-52-8
Lrp6CD2p94,UMP,C9 H13 N2 O9 P,324.036,9.78,58-97-9
Lrp6CD2p95,Oleoyl ethanolamide,C20 H39 N O2,325.293,1.2,111-58-0
Lrp6CD2p96,Nicotinamide Mononucleotide,C11 H15 N2 O8 P,334.056,14.68,1094-61-7
Lrp6CD2p97,3-Phosphoglyceroinositol,C9 H19 O11 P,334.068,7.21,00-00-006
Lrp6CD2p98,Docosatrienoic Acid (22:3 n-3),C22 H38 O2,334.288,1.18,28845-86-5
Lrp6CD2p99,AMP,C10 H14 N5 O7 P,347.063,10.62,61-19-8
Lrp6CD2p100,Mead Ethanolamide,C22 H39 N O2,349.302,1.24,169232-04-6
