Samples,Experiment,Mode,Type,Folate,Status,Lrp6KOn1,Lrp6KOn2,Lrp6KOn3,Lrp6KOn4,Lrp6KOn5,Lrp6KOn6,Lrp6KOn7,Lrp6KOn8,Lrp6KOn9,Lrp6KOn10,Lrp6KOn11,Lrp6KOn12,Lrp6KOn13,Lrp6KOn14,Lrp6KOn15,Lrp6KOn16,Lrp6KOn17,Lrp6KOn18,Lrp6KOn19,Lrp6KOn20,Lrp6KOn21,Lrp6KOn22,Lrp6KOn23,Lrp6KOn24,Lrp6KOn25,Lrp6KOn26,Lrp6KOn27,Lrp6KOn28,Lrp6KOn29,Lrp6KOn30,Lrp6KOn31,Lrp6KOn32,Lrp6KOn33,Lrp6KOn34,Lrp6KOn35,Lrp6KOn36,Lrp6KOn37,Lrp6KOn38,Lrp6KOn39,Lrp6KOn40,Lrp6KOn41,Lrp6KOn42,Lrp6KOn43,Lrp6KOn44,Lrp6KOn45,Lrp6KOn46,Lrp6KOn47,Lrp6KOn48,Lrp6KOn49,Lrp6KOn50,Lrp6KOn51,Lrp6KOn52,Lrp6KOn53,Lrp6KOn54,Lrp6KOn55,Lrp6KOn56,Lrp6KOn57,Lrp6KOn58,Lrp6KOn59,Lrp6KOn60,Lrp6KOn61,Lrp6KOn62,Lrp6KOn63,Lrp6KOn64,Lrp6KOn65,Lrp6KOn66,Lrp6KOn67,Lrp6KOn68,Lrp6KOn69,Lrp6KOn70,Lrp6KOn71,Lrp6KOn72,Lrp6KOn73,Lrp6KOn74,Lrp6KOn75,Lrp6KOn76,Lrp6KOn77,Lrp6KOn78,Lrp6KOn79,Lrp6KOn80,Lrp6KOn81,Lrp6KOn82,Lrp6KOn83,Lrp6KOn84,Lrp6KOn85,Lrp6KOn86,Lrp6KOn87,Lrp6KOn88,Lrp6KOn89,Lrp6KOn90,Lrp6KOn91,Lrp6KOn92,Lrp6KOn93,Lrp6KOn94,Lrp6KOn95,Lrp6KOn96,Lrp6KOn97,Lrp6KOn98,Lrp6KOn99,Lrp6KOn100,Lrp6KOn101,Lrp6KOn102,Lrp6KOn103,Lrp6KOn104,Lrp6KOn105,Lrp6KOn106,Lrp6KOn107,Lrp6KOn108,Lrp6KOn109,Lrp6KOn110,Lrp6KOn111,Lrp6KOn112,Lrp6KOn113,Lrp6KOn114,Lrp6KOn115,Lrp6KOn116,Lrp6KOn117,Lrp6KOn118,Lrp6KOn119,Lrp6KOn120,Lrp6KOn121,Lrp6KOn122,Lrp6KOn123,Lrp6KOn124,Lrp6KOn125,Lrp6KOn126,Lrp6KOn127,Lrp6KOn128,Lrp6KOn129,Lrp6KOn130,Lrp6KOn131,Lrp6KOn132,Lrp6KOn133,Lrp6KOn134,Lrp6KOn135,Lrp6KOn136,Lrp6KOn137,Lrp6KOn138,Lrp6KOn139,Lrp6KOn140,Lrp6KOn141,Lrp6KOn142,Lrp6KOn143,Lrp6KOn144,Lrp6KOn145,Lrp6KOn146,Lrp6KOn147,Lrp6KOn148,Lrp6KOn149,Lrp6KOn150,Lrp6KOn151,Lrp6KOn152,Lrp6KOn153
QC1,ko_exp1,neg,QC,QC,QC,36260564.17,1441128.583,4615193.226,168304.0444,8182900.946,1987501.657,4548294.637,223761182,237401.5677,5093557.297,812761.7576,4745514.218,5473372.095,855471.9638,2615208.761,1871512.91,8443019.105,4424063.782,1747818.422,5461010.928,3151460.283,3486069.751,40440883.83,2487109.07,1464142.343,397110.5918,201170.4576,1621682.729,5319343.583,4185305.282,378141.0813,201020.4997,2574747.844,2597406.569,482929.7364,12215506.63,24847931.41,4015077.975,454028.8468,1031145.568,980583.6356,5423684.572,10605896.09,5130170.607,191889.3755,37613010.69,2410871.047,122252.5276,705788.4122,94282.6428,641189.4457,979421.9579,573636.5125,1354983.317,116709.1685,1033440.88,355749.3835,167904.5793,167903.6395,54779.57019,3464543.484,318047.093,56532.42138,228951.1703,420911.3075,109501.1206,960732.9015,392601.0442,13876235.4,4183539.162,191780.3459,1116438.88,3315623.332,376170.4242,70701.04399,768021.6119,54625604.84,239615.3136,450262.6347,53366.43865,719109.3148,223904.0106,83414.86637,65751.71503,72324.48047,3190461.029,49264.32925,20250.06347,517126.0875,22237.72286,46223.70314,261775.8493,269816.5314,472668.7243,252339.0111,5973889.223,82369.84995,621279.5005,52387.75103,168354.8567,28979.06219,933276.8905,1330747.747,823588.6586,186159.581,107547.7762,7381.537272,164349.0351,46117.88838,95212.12523,331052.7731,812264.7893,147445.8715,71418.30204,52864.60831,92589.97264,4194934.139,21836.34555,9866.036011,28689.01834,67348.08627,28513.56635,57023.05745,535750.241,269305.189,113937.0846,98850.8297,113852.7167,811615.2846,1700.216828,17022.45703,126203.6458,5486.37402,33844.10454,68306.54305,178735.5177,69937.37022,192697.2318,526810.6833,19015.7696,143888.376,18714.75154,35556.71308,128200.0645,219315.2602,310745.5749,7616918.573,75436.68299,428704.9473,19918160.48,964692.8822,1417596.474,10904.84086
QC2,ko_exp1,neg,QC,QC,QC,36291230,1375305.855,4575990.418,169316.4202,8092129.645,1971216.543,4811205.824,222854476.5,231752.9201,5039987.693,817994.8983,5144362.29,5286141.952,832941.926,2542084.044,1725479.531,8308970.881,4465294.177,1730056.942,5416917.796,3239325.746,3461759.486,39714114.77,2418103.509,1456509.897,410724.3899,193526.9466,1577004.635,5327679.373,4086846.449,374459.2447,207436.9816,2570627.952,2592771.15,484298.2068,12514747.86,24715056.57,3999879.321,475965.4509,1008152.065,985367.4088,5517748.057,10523133.57,4986473.204,184328.7039,37726697.69,2365556.918,121237.9845,594077.9935,96669.37627,625678.7692,930181.9184,562767.0866,1311044.031,124328.7119,1028861.682,389799.1361,163567.4236,163567.5436,39536.68152,3351394.515,311811.0084,55990.99504,231577.9944,405272.2241,104132.6366,964460.9519,331496.2244,14465721.17,4473537.701,193099.1756,1132428.373,3166251.204,381415.365,74279.50978,800772.7074,55205247.46,247913.8986,458036.4179,48667.99229,695949.0368,224477.4989,86731.72688,74891.81237,74056.95381,3193342.307,49916.2497,14010.82083,560925.3058,17003.18913,48314.32324,265393.1425,263256.774,455038.7676,254167.1101,6023791.896,65235.04659,587977.4792,57140.26918,134584.119,14083.02147,946293.3597,1369963.619,834689.0455,200053.4161,102520.9684,4999.370161,171383.792,43893.87474,87615.63949,322300.9377,763824.3205,152060.2763,63528.19836,65490.20043,90763.92687,4012100.14,19580.56465,9779.429587,28237.40366,79153.34543,25340.30498,50202.68431,526482.3531,295407.8271,113431.6506,90185.12745,114004.7079,806055.4146,3022.935528,23002.84405,121285.917,2946.017914,44819.64063,66017.49286,184296.4469,66074.95634,198011.8105,555471.5499,18306.13384,138146.0127,36015.8745,43047.15206,153675.8921,200255.502,288421.0983,6166948.085,66066.5333,390816.069,16866834.24,921129.8433,1352819.729,12217.10134
QC3,ko_exp1,neg,QC,QC,QC,36948709.6,1413527.205,4507102.545,164851.1208,7818621.427,1895488.962,4977891.24,225395604,229535.5087,4962289.525,817743.8718,5016649.726,5236765.564,812374.715,2440356.132,1690412.195,8051443.926,4305455.743,1745460.884,5346618.182,3275260.346,3344214.633,39879863.1,2644241.829,1469014.473,424392.0389,183573.5478,1564188.392,5257588.733,4088132.718,382710.6566,202061.727,2516835.778,2547377.272,484295.7994,12118795.6,25031366.78,4258256.113,493592.9571,965546.5055,986837.7218,5603415.07,10376156.73,5306223.761,211765.9522,37972199.71,2253418.951,111777.355,643136.6025,95431.44893,605677.4068,910711.8308,590592.9198,1281971.168,126637.6668,1006618.264,387194.6914,157262.7928,157261.8834,37994.36066,3247886.146,316087.1341,54374.97803,232523.6368,386099.6302,96877.50257,942097.0295,196163.4706,13853872.52,4420669.059,201351.8544,1176604.005,3081993.901,386089.0264,69352.82872,781584.6788,55161478.76,245698.1183,449937.3657,66704.32766,663809.6135,218211.1824,85731.51219,64643.74825,67269.34857,3199874.292,48161.4549,20733.82828,551455.2236,21514.96743,47832.68144,262593.4321,246970.6126,437874.6677,248795.0058,6168202.056,69770.72348,615253.2366,52176.18309,161275.4323,,961472.5653,1365226.705,800091.0849,191275.009,86619.91428,7174.516885,173408.1245,43385.14295,73849.22293,317723.1355,395706.3811,145094.415,66014.79864,83289.83064,84276.21557,3911106.392,30830.58103,10387.03505,24405.77681,74789.12054,25615.1922,48548.75677,513377.1353,272518.4854,108363.8384,98764.98181,105791.3176,755202.1681,4826.499877,17515.74972,118682.835,3673.504188,45232.68263,58169.76709,176239.2102,69662.26564,201252.8769,548197.4688,15603.58593,133791.8394,35247.77491,50916.60329,187600.2193,219585.3646,289899.5023,6092535.091,58514.83831,395426.8766,16271290.99,888812.7257,1288942.759,8711.258483
QC4,ko_exp1,neg,QC,QC,QC,35066705.15,1421083.426,4452665.017,155448.0626,7703549.985,1886017.445,5063726.88,220000724.6,229119.3718,4834690.734,828291.7591,5071578.966,5168645.984,788501.9285,2396062.604,1744199.646,7899179.466,4275105.288,1705106.957,5137401.862,3224665.718,3287514.125,39585127.6,2658012.81,1462200.437,417540.6468,188870.2586,1515138.744,5017026.586,4030418.156,360308.2413,206363.3892,2355639.882,2500801.226,459460.8276,12035905.88,24151615.95,4347183.296,508737.175,952017.5212,967741.2396,5483984.93,10067069.63,5424265.014,209156.1401,36793022.38,2164479.85,110610.0625,613301.4553,92404.13146,579667.6062,939368.4488,542603.9475,1296675.161,115604.2307,966828.096,377451.777,164345.6995,164344.6267,46275.71913,3190020.744,309001.1015,48629.26173,218683.7619,380204.219,90242.45676,951269.2489,140679.5026,13510013.2,4303108.464,196212.9786,1162418.99,3030346.495,388510.1995,68797.74495,749572.5516,53228577.9,228439.2678,444296.3079,79526.4108,647181.4005,221521.6359,77634.14334,67765.55948,64087.09565,3153279.454,50696.43272,14059.4968,549632.7114,14403.92565,47150.95718,258882.702,241076.5249,425369.6056,245351.2678,6334346.323,72881.68077,613813.5855,50281.11453,165464.4985,6073.491738,982716.0081,1351182.437,767857.4089,191995.685,70244.3222,4868.406382,168531.6332,50635.46169,85843.60313,307307.1457,319496.6221,137597.4745,61425.13807,53025.38052,81356.54177,3789324.203,23505.17735,8331.145734,24633.55664,83416.30629,26871.18007,59698.94671,494204.5748,266429.0278,113765.0531,91257.71715,110159.263,703378.5944,2968.517389,26060.59994,106315.8528,3783.800206,42043.89659,62509.28457,166450.3932,64224.06407,193767.746,540070.1312,16039.89921,133656.1298,29646.97235,57253.71882,197660.6,225051.4244,272984.1002,5694258.302,57582.19519,388713.3905,15531665.62,851620.7624,1195686.062,6810.478131
QC5,ko_exp1,neg,QC,QC,QC,35444694.5,1329971.665,4317969.744,144334.6538,7429401.776,1830845.368,5177332.339,220238993.4,224823.9285,4689052.391,806319.9521,5441978.639,4974579.72,758928.6408,2301112.661,1910283.784,7641925.162,4138036.348,1755883.696,5138189.452,3329358.519,3220504.997,38293944.65,2637192.944,1446619.805,424007.5426,196200.6225,1495763.979,4913519.877,3714076.537,358577.6407,191003.0221,2263842.441,2470487.146,473262.6943,11654110.31,24320656.23,4381383.128,512335.5874,917139.9058,980443.9437,5441980.171,9792986.948,5703901.258,239223.4581,36377858.64,2157099.369,106535.7193,620031.7099,87377.80041,566874.5526,881171.6012,541702.2417,1286050.163,116658.7318,970533.5007,372154.6697,160088.9826,160089.2089,51391.44905,3109578.762,305417.4838,48757.51357,239295.6954,376662.7375,89370.68983,921302.1162,131640.8081,12973429.37,4117721.708,198106.4812,1191140.708,2958566.362,379109.2923,67769.37635,715657.1457,52732227.24,228621.6913,445238.9928,81005.923,655084.1272,222738.5008,75423.69619,66938.28109,59462.44373,3085595.791,52896.95757,11176.4776,527760.7447,16583.89948,39994.71957,262976.5092,225602.0086,419733.3717,253202.9865,6532578.638,67813.01308,627933.3558,56376.57281,152537.1535,6828.007818,992512.952,1376995.819,740797.8677,177977.8722,92582.18734,4167.071576,167250.4489,42117.33894,84012.99019,318644.3701,287906.7965,140060.5582,66368.42101,73755.82469,77837.13468,3777728.952,18512.20966,8804.72098,26193.47699,77291.34897,26923.33197,47218.01804,477082.1797,256487.5208,126618.0713,83368.67394,120270.7908,691338.3493,2294.516482,23336.65447,108536.7265,5904.564766,28558.26508,62288.87943,151845.4866,62890.98254,192657.7801,526543.2465,17923.26818,132577.1523,28164.90843,63301.65175,221975.4164,249933.344,266136.2675,6152349.704,60346.03233,404752.9312,16216773.82,828978.6442,1179493.61,7597.282422
QC6,ko_exp1,neg,QC,QC,QC,26735949.18,1229719.822,3775349.809,130617.1978,6348266.957,1469600.628,4951918.989,196292074.7,175480.1842,3914547.108,710174.3986,4560744.112,4181317.693,652484.9486,1970288.631,1478881.857,6127497.212,3755505.51,1229743.458,4364872.986,2445664.425,2652859.041,34186513.42,2439166.156,1023029.723,317589.1524,146320.3946,1202578.473,3983093.832,3151196.95,279243.7498,181113.4902,1917348.959,2045148.106,346737.5622,9883965.764,22084265.71,3605233.7,428259.9511,657313.4852,688440.4438,4551379.554,7861270.095,5655266.184,202152.2914,30328742.77,1822107.8,96064.9055,449710.33,81754.42181,386257.6819,762669.1722,433361.4102,1041790.465,95249.80969,779060.1616,296467.4052,127848.9696,122441.8165,34799.2051,2635238.999,289342.4347,31357.90227,209036.2047,258503.5284,55640.57401,757377.3463,109534.4184,10866909.16,3399177.959,150320.2179,1246625.03,2555742.494,272730.763,41821.96155,598206.0941,40198554.95,190404.7266,312264.4089,89673.74176,522014.7314,160560.1448,69436.76436,49418.77763,39454.55039,2360971.878,35304.65416,13768.92392,384160.2449,21785.35033,30259.42254,195154.2449,191032.9461,341551.7575,181663.851,5179792.289,55096.02185,472659.9241,37077.85827,142053.0872,,738926.032,1038966.954,690220.3261,135607.3834,45133.52495,9982.859218,110246.0772,24499.05043,58587.57373,234327.6843,208361.7707,122972.8211,48736.84747,64374.92502,54826.31885,3247760.237,11648.88824,6648.241883,17368.53323,62422.55309,23431.3965,35595.35445,432291.5309,220434.3694,99696.58562,87057.3766,88178.90774,466235.1716,1488.457648,15687.58107,68954.5878,1618.850042,35319.77919,64195.44389,139805.6261,48126.81611,126426.5771,358038.0658,12294.20208,102464.2832,35677.1397,43685.55175,164083.377,211428.7799,229648.854,4970157.772,38646.59304,377176.7663,13114565.89,548529.6418,957355.8863,5041.55123
QC7,ko_exp1,neg,QC,QC,QC,3858927.498,148446.5564,226851.8115,35446.40742,1279199.193,105780.8411,764635.0119,8393243.25,48271.84538,421813.2717,12433.11213,266762.2,248711.2519,9253.002196,848296.878,2956.920882,269511.6228,14936.84985,420594.6157,186030.7669,40058.77876,77641.51379,3296720.354,60637.74721,103182.8094,38068.22272,109613.0468,70651.14072,123283.5309,19490.90536,12117.26007,299.6358105,68351.80061,141349.2114,117825.6969,5661687.057,1619334.345,87323.25206,34923.40787,84345.43134,456813.0303,,253614.3006,184364.8286,,2513018.243,48757.23408,,50573.40475,,20965.26262,348981.9423,28798.9531,95921.67237,3700.85845,72882.32742,,11956.3534,38502.42115,10875.78425,83682.22001,72411.73877,,40584.4254,6001.697157,,,2578.794725,289541.6692,75734.20575,,6986.03544,58855.74741,59533.46449,,64400.725,748953.9357,1282.382959,322714.4785,,,,,52203.87232,,136641.6752,,8286.805219,482511.2072,4183.13957,11309.96779,183519.2232,1460.70033,66804.45894,151345.5895,5988578.062,,13341.64133,27228.51846,170473.772,,561020.1803,742312.9755,129326.367,2041.450424,82471.64384,7329.502054,120453.5892,6704.559233,,115777.9223,29993.54239,,43235.04643,12464.96744,,,12371.51009,2423.55891,40501.13752,27883.39865,,27971.0209,12258.38339,103242.7828,58689.29311,,16369.81995,19844.98718,5023.36003,,,633.2991633,,22035.61196,21199.91311,,,3094.062316,,,,,,,,620.9172411,,6085.408961,,8552.597534,,
emb_118_3,ko_exp1,neg,sample,10ppm,A ko/ko,21574762.95,725843.5752,2718644.033,88284.6755,3173684.393,839310.4872,12247448.44,100721592.5,42127.81664,2422866.357,312888.0299,1361053.732,2603798.323,423914.6089,1657823.637,1742529.902,2777573.312,1633752.708,446721.9126,1795286.729,1367070.257,868888.5789,26040759.57,1791773.005,904365.9733,207379.5263,42450.18522,682156.6734,1959346.889,1910354.758,165526.8227,125496.4526,1041104.809,1028166.482,337015.5867,5658685.519,9538192.883,2112517.944,280394.5567,396350.7941,539883.5527,3442931.939,5726603.495,1675108.26,217966.0632,18842415.66,1243346.818,68240.60224,400262.2095,12663.18605,188295.3492,829416.1821,489523.5654,557446.5999,120762.6779,318241.7837,349084.8382,233343.2994,233343.6867,15434.83921,1531450.578,175638.5391,22804.25194,174863.6308,330100.6123,24270.04144,291320.2123,87349.38348,2773513.934,2105762.029,95613.7831,383499.915,1715127.811,92058.45539,14358.87944,378332.1249,17663048.42,156440.3816,580985.3731,71287.40776,302622.8154,233160.6578,48042.51363,59324.29049,14305.56635,480779.8838,46956.36247,9972.162234,609175.352,18963.79562,40960.16807,253863.6331,91310.29635,123507.018,178338.0132,8711763.496,17466.84422,637113.5692,43431.19534,119011.3162,281379.4277,1149161.283,1472903.663,219309.5007,21014.72556,192588.3535,1632.005575,281419.8842,80406.49447,150633.0777,267428.3202,167294.3422,44814.58505,92006.43265,147057.3002,51487.21079,3055189.465,55250.47296,17325.25758,20056.05549,5308.374766,9187.519628,12115.64615,355501.8206,481136.3695,254342.4136,68375.46652,122029.565,479236.2317,3415.977225,25146.92607,85034.82603,1868.078416,32708.82465,124232.065,88925.55876,43323.44766,146289.2877,449676.6391,41007.75164,96912.18303,38332.62787,33124.85581,156592.0749,100082.2967,81058.32568,915072.3284,30144.91306,138342.8932,3590467.447,193044.8693,571542.9204,9406.428528
emb_29_6,ko_exp1,neg,sample,10ppm,A ko/ko,20429964.13,1039090.497,2985374.223,201209.6276,4655058.731,875573.2749,9867510.053,185439552.8,51983.97016,3404602.433,930058.8692,749222.3782,4031863.898,616796.1262,2061142.006,1513228.242,4023927.868,2179439.559,616869.6745,2416962.149,966221.2263,1458919.773,29817136.71,1579272.586,991744.9009,209598.8469,74882.37159,748520.091,2451295.386,2184348.332,136300.3335,128368.1958,1602897.126,1654082.724,503403.6455,7904787.619,12767197.93,1325735.765,212210.1963,396673.3127,294869.654,3847316.212,4866251.703,1357830.363,140626.7118,26223452.39,1571862.172,82600.64356,188831.6033,19551.09645,237325.8247,1088160.14,149043.7756,318681.7307,101968.9766,443192.2628,264979.6032,246380.5917,246385.4891,20464.78961,2366397.638,197426.9544,20538.33215,127437.8031,213186.5855,20788.44082,187840.6684,150244.7165,6124984.959,2526210.53,43166.81263,1036378.818,2522378.501,159432.0381,14629.40669,433610.8283,14042457.33,134678.7307,393587.0823,22716.33278,410867.4662,156020.8778,85711.6465,43337.4574,21438.2226,890328.9022,24385.02432,15991.09374,484227.3534,27166.94784,32464.46113,197484.4559,83209.4824,192835.6257,152014.8171,6448310.863,40222.556,375624.0007,48494.02627,132602.4792,419202.6369,872134.3057,1166140.892,556777.2135,57483.32601,113061.5174,5942.312513,175867.6972,154763.6526,161530.1976,414344.6054,789832.9182,60293.01231,84556.94459,251704.1241,33097.04293,2306454.82,46209.81191,15343.94832,15892.09845,66844.3368,26212.8318,50367.57495,386434.6909,341737.0064,224260.6677,63564.40221,134798.3448,251437.6364,12170.52354,23276.65216,28491.52665,1990.416551,42799.60216,117281.9604,93792.39697,34853.2849,210653.3876,485173.9702,28377.67635,155275.2457,30336.45981,114071.7005,326814.3571,25409.82696,171658.5164,3106380.377,58853.68008,183585.6401,7799015.048,317399.3454,662581.9893,15959.58675
emb_37_6,ko_exp1,neg,sample,10ppm,A ko/ko,21396970.37,1140002.722,4956433.089,102522.837,3879040.672,897768.0369,9629719.709,180456862,61854.21862,2875006.575,758796.1233,4792999.921,4775935.017,556556.4062,1997306.124,1335192.877,3925737.246,1758613.013,436047.3565,3130627.964,1158494.213,1524592.169,30440601,1584325.221,1060241.216,201731.7688,72898.53346,749994.3436,3403841.186,3146591.301,157231.0144,72255.5546,1295249.818,1375769.39,364875.3745,4725672.004,10250645.89,1519963.977,199812.1519,421631.3247,253325.6868,2724580.496,7435380.676,2691551.521,183503.4407,22374124.67,1965191.355,109076.2647,177873.6155,24365.16901,250426.8198,909334.1291,1104610.922,651552.9612,85306.97818,407607.8992,238727.2231,166061.6856,163805.8195,33969.85034,2767373.164,272764.8172,23286.73015,105400.87,288335.7065,29523.55337,222717.6252,705038.8052,2809030.172,4329009.656,50975.16734,923390.1885,2823736.164,195181.0551,17574.23442,395538.3373,16615415.29,112463.5343,420870.4039,66191.03694,498191.231,135449.7563,88752.51603,45909.01962,31039.07007,1223450.148,24552.26632,15850.27454,456884.2471,29837.18031,32629.93292,188343.2804,37838.10606,153321.6294,122818.035,5644241.254,24070.38506,434299.5286,52834.60278,112997.6318,299245.1714,877820.023,1025453.234,305891.5145,31913.84357,142468.8645,13623.27138,166738.4441,156710.5093,167837.9791,244026.0383,525915.118,82186.74993,90189.20896,224198.5427,26880.20031,2062419.852,49270.06893,13439.56663,21748.22526,47581.5444,11598.21185,21503.71653,351916.748,256766.3378,124754.105,64069.50198,78682.25141,269999.646,7849.964422,20209.63649,44098.5018,,39471.81239,87918.2839,118685.3758,24260.59073,149724.7021,444268.9894,25603.21379,132731.6965,32994.28635,53872.25411,246630.9651,72708.01929,106907.277,1024944.76,51281.14777,137179.537,4243179.249,162061.1074,773906.2965,20262.15551
