Compound_short,Compound_full,Formula,Mass,RT,CAS_ID
Lrp6KOp1,Glycine,C2 H5 N O2,75.029,8.73,56-40-6
Lrp6KOp2,Trimethylamine N-oxide,C3 H9 N O,75.068,14.89,1184-78-7
Lrp6KOp3,Alanine,C3 H7 N O2,89.044,8.27,56-41-7
Lrp6KOp4,Sarcosine,C3 H7 N O2,89.044,9.38,107-97-1
Lrp6KOp5,Succinic Semialdehyde,C4 H6 O3,102.038,2.92,692-29-5
Lrp6KOp6,3-Aminoisobutyric Acid (BAIBA),C4 H9 N O2,103.058,9.58,144-90-1
Lrp6KOp7,4-Aminobutyric Acid (GABA),C4 H9 N O2,103.062,11.36,56-12-2
Lrp6KOp8,2-Aminobutyric Acid,C4 H9 N O2,103.063,7.8,1492-24-6
Lrp6KOp9,Choline,C5 H13 N O,103.1,24.21,62-49-7
Lrp6KOp10,Serine,C3 H7 N O3,105.036,8.12,56-45-1
Lrp6KOp11,Hypotaurine,C2 H7 N O2 S,109.015,8.73,300-84-5
Lrp6KOp12,Uracil,C4 H4 N2 O2,112.026,1.65,66-22-8
Lrp6KOp13,1-Pyrroline-2-carboxylic Acid,C5 H7 N O2,113.054,8.35,02139-03-9
Lrp6KOp14,Creatinine,C4 H7 N3 O,113.054,8.37,60-27-5
Lrp6KOp15,Proline,C5 H9 N O2,115.06,8.99,147-85-3
Lrp6KOp16,Valine,C5 H11 N O2,117.076,7.31,72-18-4
Lrp6KOp17,Betaine,C5 H11 N O2,117.076,9.77,107-43-7
Lrp6KOp18,Threonine,C4 H9 N O3,119.057,7.74,72-19-5
Lrp6KOp19,Nicotinamide,C6 H6 N2 O,122.045,1.86,98-92-0
Lrp6KOp20,Taurine,C2 H7 N O3 S,125.009,4.7,107-35-7
Lrp6KOp21,Thymine,C5 H6 N2 O2,126.046,1.56,65-71-4
Lrp6KOp22,trans-4-Hydroxyproline,C5 H9 N O3,131.053,8.18,51-35-4
Lrp6KOp23,Creatine,C4 H9 N3 O2,131.065,9.37,57-00-1
