,Experiment,Folate,Status,Malic Acid,Dihydroxyacetone phosphate (DHAP),Leukotoxin A,Mead Ethanolamide,Noladin,Xanthine,N-Carbamoyl-L-aspartic Acid,Deoxyuridine,4-Hydroxyphenylacetic Acid,Glycerol 1-Phosphate / Glycerol 3-Phosphate,3-Ureidopropionic Acid,Pantothenic Acid,Deoxycytidine,Kynurenic Acid,N-Methylnicotinate,Dehydroascorbic Acid,Phosphocreatine,ATP,UTP,NADP,CMP,Creatine,Aspartic Acid,Oleoyl ethanolamide,Alanine,Sarcosine,Serine,Creatinine,Proline,Valine,Isoleucine,Leucine,Asparagine,Lysine,Glutamic Acid,Methionine,Phenylalanine,Tyrosine,Tryptophan,5'-Methylthioadenosine,Glycine,GDP-Glucose,UDP-N-Acetylgalactosamine,UDP-N-Acetylglucosamine,ADP-Glucose,Chenodeoxycholic acid,Phosphatidylethanolamine(32:0),Pyridoxine,NAD,2-Aminobutyric Acid,Taurine,GSSG,3-Aminoisobutyric Acid (BAIBA),Uracil,Thymine,Adenine,Guanine,Thymidine,Cytidine,Uridine,UMP,Cytidine diphosphate (CDP),GDP,ADP-Ribose,Ophthalmic Acid,Cytosine,Dihydroorotic Acid,Archidonoyl glycine,4-Pyridoxic Acid,Biotin,Phenylacetic Acid,Pyroglutamic Acid,4-Aminobutyric Acid (GABA),Ornithine,Glutamine,Histidine,S-Adenosylhomocysteine (SAH),Threonine,O-Phosphoethanolamine,Dodecanoylcarnitine,Hypotaurine,GMP,trans-4-Hydroxyproline,3-Sulfinoalanine,N-alpha-Acetylglutamine,N-Acetylglutamic Acid,Kynurenine,"15-deoxy-delta-12,14-Prostaglandin J2",Virodhamine,ADP,Allantoin,Quinolinic Acid,S-Adenosylmethionine (SAM),Deoxycarnitine,Phosphocholine,Glycerol-3-phosphocholine,Sphingosine,Sphingomyelin,Carnitine,Nicotinamide,Nicotinamide Mononucleotide,"5,6-Dihydrouracil",Sphinganine,Choline,Betaine,Arginine,PAF C-16,PAF C18:1,PAF C18,Arachidonoyl-PAF,2-DHLA-PAF,Urea,2-Hydroxy-3-methylpentanoic Acid,Spermidine,Trimethylamine N-oxide,D-Erythrose,NADH,5-Hydroxyhexanoic Acid,Acetylcarnitine,Propionylcarnitine,Butyrylcarnitine,Valerylcarnitine,L-Octanoylcarnitine,3-Phosphoglyceroinositol,"3,5-Tetradecadiencarnitine",cis-5-Tetradecenoylcarnitine,Tetradecanoylcarnitine,Hexadecenoylcarnitine,Palmitoylcarnitine,Linoleyl carnitine,Oleoylcarnitine,Stearoylcarnitine,LysoPE(18:2),LysoPE(18:0),LysoPC(16:1),LysoPC(16:0),LysoPC(18:2),LysoPC(18:1),LysoPC(18:0),PC(34:2),PC(36:2),Cysteineglutathione disulfide,AMP,Succinoadenosine
Formula_ko_exp2,ko_exp2,info,info,C4 H6 O5,C3 H7 O6 P,C18 H32 O3,C22 H39 N O2,C23 H40 O3,C5 H4 N4 O2,C5 H8 N2 O5,C9 H12 N2 O5,C8 H8 O3,C3 H9 O6 P,C4 H8 N2 O3,C9 H17 N O5,C9 H13 N3 O4,C10 H7 N O3,C7 H7 N O2,C6 H6 O6,C4 H10 N3 O5 P,C10 H16 N5 O13 P3,C9 H15 N2 O15 P3,C21 H28 N7 O17 P3,C9 H14 N3 O8 P,C4 H9 N3 O2,C4 H7 N O4,C20 H39 N O2,C3 H7 N O2,C3 H7 N O2,C3 H7 N O3,C4 H7 N3 O,C5 H9 N O2,C5 H11 N O2,C6 H13 N O2,C6 H13 N O2,C4 H8 N2 O3,C6 H14 N2 O2,C5 H9 N O4,C5 H11 N O2 S,C9 H11 N O2,C9 H11 N O3,C11 H12 N2 O2,C11 H15 N5 O3 S,C2 H5 N O2,C16 H25 N5 O16 P2,C17 H27 N3 O17 P2,C17 H27 N3 O17 P2,C16 H25 N5 O15 P2,C24 H40 O4,C37 H74 N O8 P,C8 H11 N O3,C21 H27 N7 O14 P2,C4 H9 N O2,C2 H7 N O3 S,C20 H32 N6 O12 S2,C4 H9 N O2,C4 H4 N2 O2,C5 H6 N2 O2,C5 H5 N5,C5 H5 N5 O,C10 H14 N2 O5,C9 H13 N3 O5,C9 H12 N2 O6,C9 H13 N2 O9 P,C9 H15 N3 O11 P2,C10 H15 N5 O11 P2,C15 H23 N5 O14 P2,C11 H19 N3 O6,C4 H5 N3 O,C5 H6 N2 O4,C22 H35 N O3,C8 H9 N O4,C10 H16 N2 O3 S,C8 H8 O2,C5 H7 N O3,C4 H9 N O2,C5 H12 N2 O2,C5 H10 N2 O3,C6 H9 N3 O2,C14 H20 N6 O5 S,C4 H9 N O3,C2 H8 N O4 P,C19 H37 N O4,C2 H7 N O2 S,C10 H14 N5 O8 P,C5 H9 N O3,C3 H7 N O4 S,C7 H12 N2 O4,C7 H11 N O5,C10 H12 N2 O3,C20 H28 O3,C22 H37 N O2,C10 H15 N5 O10 P2,C4 H6 N4 O3,C7 H5 N O4,C15 H22 N6 O5 S,C7 H15 N O2,C5 H14 N O4 P,C8 H20 N O6 P,C18 H37 N O2,C41 H83 N2 O6 P,C7 H15 N O3,C6 H6 N2 O,C11 H15 N2 O8 P,C4 H6 N2 O2,C18 H39 N O2,C5 H13 N O,C5 H11 N O2,C6 H14 N4 O2,C26 H54 N O7 P,C28 H56 N O7 P,C28 H58 N O7 P,C44 H82 N O7 P,C44 H84 N O7 P,C H4 N2 O,C6 H12 O3,C7 H19 N3,C3 H9 N O,C4 H8 O4,C21 H29 N7 O14 P2,C6 H12 O3,C9 H17 N O4,C10 H19 N O4,C11 H21 N O4,C12 H23 N O4,C15 H29 N O4,C9 H19 O11 P,C21 H37 N O4,C21 H39 N O4,C21 H41 N O4,C23 H43 N O4,C23 H45 N O4,C25 H45 N O4,C25 H47 N O4,C25 H49 N O4,C23 H44 N O7 P,C23 H48 N O7 P,C24 H48 N O7 P,C24 H50 N O7 P,C26 H50 N O7 P,C26 H52 N O7 P,C26 H54 N O7 P,C42 H80 N O8 P,C44 H84 N O8 P,C13 H22 N4 O8 S2,C10 H14 N5 O7 P,C14 H17 N5 O8
Mass_ko_exp2,ko_exp2,info,info,134.024,170.001,296.235,349.304,364.289,152.038,176.047,228.08,152.039,172.017,132.057,219.115,227.097,189.042,137.051,174.012,211.04,507.003,483.976,743.085,323.057,131.072,133.039,325.296,89.049,89.05,105.044,113.061,115.066,117.081,131.096,131.096,132.056,146.106,147.056,149.053,165.082,181.077,204.089,297.095,75.034,605.082,607.084,607.086,589.087,392.286,691.52,169.079,663.118,103.064,125.017,612.161,103.064,112.029,126.047,135.056,151.051,242.097,243.091,244.074,324.041,403.025,443.03,559.078,289.135,111.045,158.035,361.267,183.049,244.096,136.051,129.047,103.065,132.091,146.072,155.072,384.129,119.059,141.022,343.277,109.022,363.064,131.059,153.012,188.073,189.07,208.085,316.207,347.285,427.036,158.047,167.027,398.137,145.111,183.067,257.107,299.284,730.597,161.108,122.05,334.062,114.043,301.292,103.101,117.081,174.113,523.371,549.385,551.395,767.592,769.598,60.035,132.08,145.156,75.07,120.044,665.131,132.075,203.119,217.135,231.151,245.165,287.205,334.073,367.27,369.287,371.311,397.326,399.342,423.341,425.357,427.369,477.285,481.319,493.324,495.34,519.34,521.356,523.372,757.566,785.601,426.095,347.069,383.11
RT_ko_exp2,ko_exp2,info,info,6.81,10.89,1.37,1.27,1.33,2,8.19,1.75,1.99,10.63,6.29,4.69,5.04,2.19,10.89,2.69,11.6,11.2,10.86,12.31,11.15,9.71,8.59,1.21,8.65,9.71,8.54,7.39,9.42,7.54,6.99,6.74,8.84,23.77,8.81,6.8,6.32,6.49,6.08,1.99,9.06,7.65,6.93,6.74,7.67,1.15,4.68,5.26,9.67,8.09,5.14,10.84,8.09,1.79,1.67,3.72,6.8,1.67,4.68,1.81,9.84,11.32,11.05,7.3,9,5.95,2.7,1.35,1.95,4.68,2.71,5.53,11.75,23.78,9,10.89,8.98,8.14,14.89,9.33,9.14,10.6,8.61,7.13,6.08,8.15,6.05,1.48,1.26,10.99,1.88,8.65,20.51,17.84,18.54,14.62,8.3,8.56,14.35,1.98,14.72,2.03,8.34,24.63,10.29,23.78,8.85,9.09,9.04,7.38,7.54,2.29,2.37,23.79,15.57,2.64,7.13,3.36,13.65,12.65,11.72,11.12,9.85,7.13,9.15,9.1,9.12,8.98,8.97,8.9,8.84,8.8,6.26,6.18,9.4,9.33,9.26,9.2,9.18,7.83,7.53,10.95,10.63,7.94
CAS_ID,ko_exp2,info,info,97-67-6,57-04-5,6814-52-4,169232-04-6,222723-55-9,69-89-6,13184-27-5,951-78-0,156-38-7,17989-41-2,462-88-4,137-08-6,951-77-9,492-27-3,535-83-1,490-83-5,67-07-2,56-65-5,63-39-8,53-59-8,63-37-6,57-00-1,56-84-8,111-58-0,56-41-7,107-97-1,56-45-1,60-27-5,147-85-3,72-18-4,73-32-5,61-90-5,70-47-3,56-87-1,56-86-0,63-68-3,63-91-2,60-18-4,73-22-3,2457-80-9,56-40-6,5750-57-2,7277-98-7,528-04-1,102129-65-7,474-25-9,5681-36-7,65-23-6,53-84-9,1492-24-6,107-35-7,27025-41-8,144-90-1,66-22-8,65-71-4,73-24-5,73-40-5,50-89-5,65-46-3,58-96-8,58-97-9,63-38-7,146-91-8,20762-30-5,495-27-2,71-30-7,5988-19-2,179113-91-8,82-82-6,58-85-5,103-82-2,98-79-3,56-12-2,70-26-8,56-85-9,71-00-1,979-92-0,72-19-5,1071-23-4 ,25518-54-1,300-84-5,85-32-5,51-35-4,1115-65-7,2490-97-3,1188-37-0,2922-83-0,87893-55-8,443129-35-9 ,58-64-0,97-59-6,89-00-9,29908-03-0,407-64-7,107-73-3,28319-77-9,123-78-4,85187-10-6,541-15-1,98-92-0,1094-61-7,504-07-4,764-22-7,62-49-7,107-43-7,74-79-3,74389-68-7,86288-90-1,79549-26-1,86288-11-1,131907-73-8,57-13-6,448-15-3,124-20-9,1184-78-7,583-50-6,59-68-4,83972-61-6,5080-50-2,20064-19-1,25576-40-6,00-00-003,25243-95-2,00-00-006,00-00-008,1186416-86-3,25597-07-3,00-00-009,2364-67-2,36816-10-1,38677-66-6,1976-27-8,00-00-011,00-00-012,00-00-014,00-00-015,00-00-017,00-00-018,00-00-019,8002-43-5,00-00-022,13081-14-6,61-19-8,4542-23-8
p76_3,ko_exp2,2ppm,N wt/wt,13130.69951,712.8800657,97286.56132,284579.2278,4500.335865,,46407.84916,27372.96691,,4652.434243,59666.85766,712896.5774,11681.11588,2565.45346,6392.942,7678.805278,17103.05725,136877.4948,11771.74478,2692.139734,7772.432536,11355858.08,343416.409,30014.65171,2182944.929,539202.2856,933461.7128,42201.16711,13268968.46,2262520.671,3406469.153,3305104.723,1005473.416,1807480.182,5978747.423,1948538.159,4090883.345,2537574.316,793613.8323,549578.5001,181699.0113,5280.33233,125265.4185,173514.4533,1779.343521,29216.65521,36525.79736,30364.95402,224921.4596,1681998.806,7158681.94,146505.6322,1661610.818,257159.8309,29924.81186,249269.0048,78263.60365,9798.468573,73422.60427,40963.01842,112267.68,10787.24728,7172.217492,29247.4543,26370.96025,30257.94685,5014.410173,29450.33396,320.26111,3455.252307,602739.7962,248935.8908,4941.543207,221612.9475,7848824.494,254872.0422,111904.3488,1806076.884,101461.0106,6207.802248,170918.5101,3272.341633,237867.8539,1939.656638,46326.92008,8920.774646,188973.7637,22935.92449,,123853.9229,27532.28881,12726.88145,50870.19651,54764.64469,14511387.58,2687486.451,240641.9804,95055.78864,3326011.077,920539.3557,6087.197258,7861.178446,20065.95145,11435903.26,3558441.059,3335203.982,231251.3146,39829.03511,6645.128699,623450.4403,238768.0542,13580.48525,35012.44227,19496.81053,6357.55662,296749.1535,6473.27606,26588.28718,662647.5625,53386.25554,159815.0284,72395.73724,2947.329134,4729.619185,3004.756839,17105.75181,18466.02331,33838.24177,61360.61122,51088.36576,138919.3213,118353.5505,28636.79959,93148.01459,96153.70668,1212256.043,304169.8522,693294.4229,1304801.877,3796614.55,2664780.015,7697.006042,60921.71164,64739.28738
p103_4,ko_exp2,2ppm,N wt/wt,19180.55004,3466.077162,59010.60556,163395.6738,12944.96975,44994.03804,78601.34914,44789.06066,21957.31873,5554.309538,100191.1832,1103598.359,6881.291349,7878.033172,10298.88507,42381.23178,110134.6878,486132.5756,31666.57489,17784.80335,29810.15662,16017238.55,1496623.38,21853.59567,3457627.098,792496.2563,1446017.369,81600.20859,18555197.14,5213435.097,5879304.453,4898497.74,1958319.739,3094036.623,9358845.342,2671427.669,6460536.691,4424847.708,1418968.488,1463798.043,452170.0784,8759.905607,166134.9854,421606.8559,8773.25481,47888.67171,38278.45459,43355.29185,179457.0304,442110.7019,12628767.58,308424.6941,441937.6538,574971.1275,54921.82791,857275.549,114005.7235,14921.65541,498178.5409,247512.243,210440.6555,48415.87332,28009.14843,55016.9937,51925.0761,46770.01109,12846.5932,33728.55523,3002.237268,47787.06293,2651667.756,450660.1676,40031.64611,485322.1057,11071155.4,656370.923,276472.7887,4310262.167,274946.1008,10466.28106,248910.4186,12564.42347,512287.3313,4670.665513,72852.83754,25055.12052,382944.9016,129856.196,38869.45701,381005.1374,258740.4325,9750.463749,227728.7151,111239.2137,28544637.02,2707744.965,164198.7642,62286.18147,8473963.974,502915.5516,7856.868894,20479.64832,27560.77849,13105976.44,4041989.693,6712219.244,290386.409,32490.19882,11880.81132,306371.0823,283814.4092,32144.85317,36913.90542,30580.65885,12879.71025,342174.5664,3412.495884,37417.95556,1525802.264,181705.3464,914301.9616,101366.2008,4573.915196,6083.801661,4599.911994,24190.03293,37394.02794,33993.85723,75127.76496,57155.99707,132023.2664,121187.5214,24928.15933,106626.5848,85409.14463,1032542.623,229193.2338,590213.9099,1416619.601,1712573.564,1145124.245,25701.58761,203235.7912,214278.734
p70_3,ko_exp2,2ppm,N wt/wt,11267.32114,1358.603119,90873.28675,348285.8505,17153.66316,49192.90823,40538.60495,43129.7752,27812.85888,518.7015908,39759.57886,283136.305,5091.22386,5016.277998,7894.254761,6144.950947,20775.12805,103095.3131,4619.585179,3077.422608,6679.68201,9136120.585,387967.222,28108.66821,1820384.361,441567.6267,720917.5452,25769.29107,11683903.8,1685768.474,2874836.276,2394121.121,837198.2538,1459929.942,5556361.339,1526987.704,3360755.945,2198882.5,878869.1081,252137.1411,229729.1982,5841.244859,113887.2425,153207.5095,3215.599708,428404.2079,41764.80615,39722.85018,360124.982,152589.1973,5717417.956,150238.3891,152367.4172,458051.8947,34484.73979,171681.0765,63627.17924,4283.400919,123326.6555,158345.1459,73330.52644,8693.215526,4503.657779,21082.31506,12446.90094,23393.96018,2223.781177,54224.50993,7321.291583,8128.177837,1674486.062,330350.6746,17927.9725,267281.6686,6856308.125,247132.091,95756.10836,2148260.777,76024.89497,9465.812381,116064.35,1977.880774,140568.4287,1445.615822,33214.61323,13334.67064,133148.2644,233130.6688,72936.33261,106402.6027,124818.8949,8560.323499,108803.3698,35653.04635,7761493.79,2598548.416,175690.7973,74990.53794,2368293.372,99721.50312,1244.112319,18657.46331,16462.85509,7432073.938,3226353.862,2901653.683,314618.5475,28715.69991,12009.69541,797069.4991,290312.4487,5235.180876,29737.45585,18797.77054,10291.74601,464537.3613,2206.142503,39441.86385,595072.407,59094.21141,883398.9873,86820.14815,1814.523524,4336.28723,2383.019216,5861.331112,17305.73221,19977.3397,54876.27592,35061.31333,63482.84455,152760.316,31204.60567,103423.8757,81800.898,1110996.457,362012.5211,559048.8161,1562812.713,15948783.2,10497908.86,12406.90983,67288.23301,35502.06058
p90_6,ko_exp2,2ppm,N wt/wt,12075.8981,934.2736923,97663.81716,297308.5051,2461.8604,,51940.68109,8729.60755,142.9559831,491.7907326,38283.01992,428283.2661,11575.81932,1201.668582,6720.250001,10399.49695,27494.96027,148812.4072,9162.320709,2513.351905,4425.099453,11926963.35,469568.8966,32260.33849,2250075.968,575001.8373,929483.2599,29998.10328,13527731.51,2439416.695,3518252.031,3182229.414,982965.1464,1965153.87,6038974.74,1762642.102,4377121.108,2680360.144,1007807.477,427893.8593,676687.3996,5409.864177,91261.26423,154278.3154,2715.724565,1573491.805,38824.55829,40723.08315,297509.8886,126823.6647,7480786.807,140360.7031,126199.7772,133989.6009,18422.91164,301241.5529,72468.44867,5441.258932,103414.3214,24108.35272,54083.03906,9114.176035,4814.162581,16228.91426,,33527.42993,3475.524326,57089.62068,1016.59923,5954.16173,698750.1078,295106.8911,15696.40848,278051.1843,8619714.89,300819.0038,81616.48242,2782197.551,78696.48863,12214.20522,216684.4557,1430.955657,201117.4924,2222.20211,38383.48235,4265.865099,145421.7861,62206.12288,63155.70284,103127.3206,20591.89464,9789.490789,63897.88619,53941.18046,14198906.98,2774332.147,273173.3139,29620.32407,3623350.038,1559055.596,763.7173889,6304.837827,28727.64877,10712417.92,3175371.589,4284651.786,415317.5854,37721.98949,17656.42004,721114.022,283471.6511,13362.27116,41628.38787,23308.85614,13895.04652,402909.7744,3798.534021,33288.80651,725346.6948,68078.03164,953332.3066,108436.7211,2433.567102,1473.636054,4408.74495,15711.03713,24161.41236,28481.72118,61391.01594,49926.76702,85410.51051,131891.7891,27415.35065,82874.99135,98762.27947,1748311.234,718390.5457,867154.2685,2595178.646,3385137.992,2524188.89,11087.53029,48395.39817,56054.68215
p186_9,ko_exp2,2ppm,N wt/wt,17802.12878,509.5922636,106941.6245,234714.6101,28999.27359,657.1487661,66063.78191,20587.27858,,936.3301062,70947.69625,701282.6793,17305.1088,4428.943187,4015.641496,4249.382422,10627.03927,62915.40764,1596.826968,1039.186247,9816.5918,14533331.57,344223.7045,41981.31839,3024250.385,708371.6435,1153758.793,49612.80868,13681859.41,3026529.933,4458244.698,4074798.269,1048795.365,2324673.284,6080937.465,2318100.671,5550946.762,3204002.654,1224221.952,710416.681,341322.5083,6656.063369,30507.97703,20573.10168,2860.389728,1474484.17,29426.82386,33164.40109,28593.77735,233426.2937,8525284.012,30716.11757,233059.8149,307158.2754,63772.14226,675017.4304,100579.0719,19436.63529,544642.7417,116961.3317,99063.7805,6818.678748,4524.090914,8634.579421,1422.688616,40989.91056,9487.000433,60082.951,358.8645114,55680.18332,2171522.728,287741.2506,15397.57989,346543.747,11048568.15,322903.4961,107198.3445,2842429.531,76651.13507,14046.12047,130552.4569,6475.477877,291191.4853,2377.873789,58916.50573,8807.043799,184423.1852,89595.55901,67770.74807,127410.1642,28279.0504,15683.46028,50959.32941,66322.85617,12758770.87,2204734.969,268238.0674,34234.30371,3190730.641,1046599.975,,9926.30781,22676.12239,14415914.24,2906415.46,4330464.816,274904.6475,27196.86888,13401.9654,189881.3101,341233.5646,25417.17149,43856.47997,28844.73166,11832.38285,216894.8466,4376.316186,27237.30658,642843.3998,60851.95998,1042181.666,75783.28763,7055.026422,3329.290159,12479.16758,52175.48773,63632.39578,76361.94874,173012.9206,100293.0773,236305.4165,183128.1099,45448.87455,109328.0347,73851.78733,1214759.928,357733.039,693778.2635,821636.2767,3816727.237,2165520.516,8353.44729,127240.2369,81182.5005
p76_7,ko_exp2,2ppm,N ko/ko,30871.05276,6220.486949,111012.1291,425851.047,5534.479143,28232.24025,186605.4698,90050.62175,23974.98736,13621.67497,72983.14097,609917.6753,48971.83784,15955.86557,12986.49475,22711.93567,45013.45541,290981.9654,20668.46232,2952.783916,2665.587197,15501204.37,199019.0542,17220.74967,2540014.59,753692.241,2509453.216,76513.8785,18900541.03,6802188.488,8256220.996,5714736.091,1734935.211,3272911.221,4128162.274,4397817.755,6923225.59,5433856.199,1323224.528,422955.3953,350656.7474,15463.38371,122596.1468,150188.7678,7128.627347,27192.09418,22329.55169,49690.1107,346179.6485,259793.1405,12048350.27,161381.9883,259684.0146,651694.1273,115833.2793,116225.3585,192671.8281,31248.4145,44165.76841,26371.73148,30972.26481,7590.434307,7027.678733,197163.672,4800.172491,34729.43465,2030.089639,70625.42817,8456.611022,101.0105136,1410844.753,316481.0135,39561.80469,546364.8786,18334367.37,1018006.69,86160.08713,2999821.972,209059.8518,18258.69613,270119.5694,1617.050529,436487.7967,3307.391194,92213.46505,14018.38512,590784.7105,174992.3008,6255.489738,123039.6588,213964.6226,7788.297956,255043.7605,112764.6146,7850419.866,5880522.744,143062.8315,115030.1203,9160928.751,519838.9892,15597.59251,28151.21917,30609.54582,17019415.95,4710609.378,10724621.38,283562.4179,28380.72309,10381.04877,1063112.748,449511.6944,22019.15075,44909.36838,19761.28665,20848.82236,793261.1481,29793.90878,87385.09957,1832092.011,164337.2959,1850074.792,330066.0316,31318.27784,13816.21673,12772.39706,39879.96096,74275.05236,78277.6396,163686.0542,217779.1927,364995.5905,185720.1298,39611.30167,122926.5144,67262.26002,1088462.963,313488.5685,567308.6475,1658893.785,10140054.74,10745010.89,42378.27557,48688.8735,41132.26248
