Samples,Experiment,Mode,Type,Folate,Status,Lrp6KO2n1,Lrp6KO2n2,Lrp6KO2n3,Lrp6KO2n4,Lrp6KO2n5,Lrp6KO2n6,Lrp6KO2n7,Lrp6KO2n8,Lrp6KO2n9,Lrp6KO2n10,Lrp6KO2n11,Lrp6KO2n12,Lrp6KO2n13,Lrp6KO2n14,Lrp6KO2n15,Lrp6KO2n16,Lrp6KO2n17,Lrp6KO2n18,Lrp6KO2n19,Lrp6KO2n20,Lrp6KO2n21,Lrp6KO2n22,Lrp6KO2n23,Lrp6KO2n24,Lrp6KO2n25,Lrp6KO2n26,Lrp6KO2n27,Lrp6KO2n28,Lrp6KO2n29,Lrp6KO2n30,Lrp6KO2n31,Lrp6KO2n32,Lrp6KO2n33,Lrp6KO2n34,Lrp6KO2n35,Lrp6KO2n36,Lrp6KO2n37,Lrp6KO2n38,Lrp6KO2n39,Lrp6KO2n40,Lrp6KO2n41,Lrp6KO2n42,Lrp6KO2n43,Lrp6KO2n44,Lrp6KO2n45,Lrp6KO2n46,Lrp6KO2n47,Lrp6KO2n48,Lrp6KO2n49,Lrp6KO2n50,Lrp6KO2n51,Lrp6KO2n52,Lrp6KO2n53,Lrp6KO2n54,Lrp6KO2n55,Lrp6KO2n56,Lrp6KO2n57,Lrp6KO2n58,Lrp6KO2n59,Lrp6KO2n60,Lrp6KO2n61,Lrp6KO2n62,Lrp6KO2n63,Lrp6KO2n64,Lrp6KO2n65,Lrp6KO2n66,Lrp6KO2n67,Lrp6KO2n68,Lrp6KO2n69,Lrp6KO2n70,Lrp6KO2n71,Lrp6KO2n72,Lrp6KO2n73,Lrp6KO2n74,Lrp6KO2n75,Lrp6KO2n76,Lrp6KO2n77,Lrp6KO2n78,Lrp6KO2n79,Lrp6KO2n80,Lrp6KO2n81,Lrp6KO2n82,Lrp6KO2n83,Lrp6KO2n84,Lrp6KO2n85,Lrp6KO2n86,Lrp6KO2n87,Lrp6KO2n88,Lrp6KO2n89,Lrp6KO2n90,Lrp6KO2n91,Lrp6KO2n92,Lrp6KO2n93,Lrp6KO2n94,Lrp6KO2n95,Lrp6KO2n96,Lrp6KO2n97,Lrp6KO2n98,Lrp6KO2n99,Lrp6KO2n100,Lrp6KO2n101,Lrp6KO2n102,Lrp6KO2n103,Lrp6KO2n104,Lrp6KO2n105,Lrp6KO2n106,Lrp6KO2n107,Lrp6KO2n108,Lrp6KO2n109,Lrp6KO2n110,Lrp6KO2n111,Lrp6KO2n112,Lrp6KO2n113,Lrp6KO2n114,Lrp6KO2n115,Lrp6KO2n116,Lrp6KO2n117,Lrp6KO2n118,Lrp6KO2n119,Lrp6KO2n120,Lrp6KO2n121,Lrp6KO2n122,Lrp6KO2n123,Lrp6KO2n124,Lrp6KO2n125,Lrp6KO2n126,Lrp6KO2n127,Lrp6KO2n128,Lrp6KO2n129,Lrp6KO2n130,Lrp6KO2n131,Lrp6KO2n132,Lrp6KO2n133,Lrp6KO2n134,Lrp6KO2n135,Lrp6KO2n136,Lrp6KO2n137,Lrp6KO2n138,Lrp6KO2n139,Lrp6KO2n140,Lrp6KO2n141,Lrp6KO2n142,Lrp6KO2n143,Lrp6KO2n144,Lrp6KO2n145,Lrp6KO2n146,Lrp6KO2n147,Lrp6KO2n148,Lrp6KO2n149,Lrp6KO2n150,Lrp6KO2n151,Lrp6KO2n152,Lrp6KO2n153,Lrp6KO2n154,Lrp6KO2n155,Lrp6KO2n156,Lrp6KO2n157,Lrp6KO2n158,Lrp6KO2n159,Lrp6KO2n160,Lrp6KO2n161,Lrp6KO2n162,Lrp6KO2n163,Lrp6KO2n164,Lrp6KO2n165,Lrp6KO2n166,Lrp6KO2n167,Lrp6KO2n168,Lrp6KO2n169,Lrp6KO2n170,Lrp6KO2n171,Lrp6KO2n172,Lrp6KO2n173,Lrp6KO2n174,Lrp6KO2n175,Lrp6KO2n176,Lrp6KO2n177,Lrp6KO2n178,Lrp6KO2n179,Lrp6KO2n180,Lrp6KO2n181,Lrp6KO2n182,Lrp6KO2n183,Lrp6KO2n184,Lrp6KO2n185,Lrp6KO2n186,Lrp6KO2n187
emb_76_3,ko_exp2,neg,sample,2ppm,N wt/wt,6665203.501,1658581.684,2222847.736,139993.5703,5293447.976,4671849.299,1099435.942,3251440.546,157249616.4,118635.3092,710674.4376,3525317.546,746693.6668,4564101.935,2800322.477,469836.2822,1804008.42,3789827.476,5501799.482,193366.0253,133943.3149,3175226.95,1358770.304,1508912.974,24338106.5,2824770.625,9219.862921,341462.0736,242896.6034,204862.2739,778072.0267,3029045.918,2838596.163,230665.7553,8028.697756,64217.54512,142731.2014,1695124.678,76583.48159,319841.8589,5278514.221,14491713.38,103402.7492,2178356.341,871881.7311,592947.3277,112985.8448,1462594.615,5765738.231,5043317.658,170570.0186,21536765.5,1265251.593,62571.17083,137859.3396,54093.29004,52438.8221,31120.34638,361018.1681,703700.6311,351037.8923,876714.9771,43523.25317,534421.4028,114732.6112,89640.09258,2113216.252,130155.9691,61548.6825,167970.8685,7344.582271,204982.8489,69949.67276,118921.416,329325.5261,7873359.488,39778.2855,2050939.17,519466.4689,1820520.833,160957.4514,160957.4514,98284.91023,476952.5632,309424.1025,29968138.61,9411.155884,68430.87231,165591.0502,134933.7489,338247.698,9289.592519,30341.98367,71735.6882,4689.279783,11259.51626,24729.52842,22303.49619,2172780.702,46924.04684,13941.96931,12862.14829,17851.0888,472073.5459,30444.69961,236293.3762,28997.47928,215193.8626,194299.3841,6863962.733,30063.17596,47287.73999,6422.964435,333306.3907,46409.21427,88053.90559,448156.7176,1057424.728,52271.56252,5123402.646,774143.1593,118397.7826,18546.90261,123082.1054,12728.20331,44881.48752,696411.5688,76687.8285,136717.8167,27069.03685,61143.29106,56296.72224,102795.1671,48158.49914,43026.04043,2581590.886,29250.25431,9970.177143,120148.3738,70713.64701,179205.439,330355.2415,99360.04817,16587.50816,61377.4291,77652.87146,190540.666,14575.07239,2049.386824,9480.855697,21418.45994,197737.9427,47650.10282,108437.0915,61881.62521,347602.0419,116706.2243,351116.2953,31952.32619,1086250.664,114198.5898,78499.54766,39267.29784,160604.498,22449.54045,96171.79129,29510.69299,54158.17481,297809.0566,1152.696525,967999.0906,575640.315,4573619.746,3190995.725,869480.2608,39860.40145,30949.3844,11103445.45,7068924.841,612684.9288,11301.06404,617967.0629,118991.6819,10180.03916,8681.907173,1067.426013,17066.32023
emb_103_4,ko_exp2,neg,sample,2ppm,N wt/wt,9451724.941,1200337.473,1991542.704,119139.0344,4357548.031,5297255.755,698167.4862,3030380.042,126242045.8,123964.9071,167423.1907,2601813.935,1345141.323,3977909.691,1918776.276,252035.1372,1839329.184,661638.1001,3682163.24,208297.201,112513.1008,2826195.011,886476.3312,1659185.601,21148822.14,2998071.48,7927.80599,662401.7472,198657.1703,176438.2031,535482.849,2687486.404,2761153.315,155354.9818,51662.04657,42166.10447,154532.4668,1262565.005,129900.7779,113126.3958,9189344.645,12338014.47,198464.7316,1630957.193,491154.1574,274198.9005,81746.47763,1734445.699,3034346.903,1314180.096,189083.8356,16873773.53,1266692.062,66249.75304,398882.6645,49464.80148,41398.55398,23173.19852,196419.332,761254.3965,289459.0927,335931.198,28019.77509,464325.794,90559.85897,47021.51199,2312164.229,95135.44426,10400.29254,168292.3802,4591.802977,59390.90698,6336.737655,75826.54655,89753.5742,5926868.222,18955.63516,1460536.812,401337.4416,1866946.641,129726.8431,129072.5872,19861.53605,352292.0417,157490.9271,17748679.89,16052.95515,61215.13052,136391.7909,20752.97366,453101.5947,23864.16899,58220.15637,24191.08171,4142.692053,25768.47918,1564.296418,18589.26741,1990454.634,39922.33854,7647.301281,11693.27808,13778.04152,574715.0854,38972.32058,274914.7964,78670.87072,156334.8195,237050.4219,9721411.51,11080.09101,,4282.109264,144883.9111,55694.13505,77449.42386,483921.571,1379220.063,22062.33296,9016628.747,463000.3287,65312.85262,14051.32904,107294.5543,169560.9269,186946.7475,817854.4699,67294.9306,270394.6066,27055.15432,24731.29646,74149.42425,150513.7847,102329.5039,21694.4804,1144272.358,37606.15985,12367.23503,161730.9613,72359.72486,158690.0474,204000.1212,89746.77806,10375.71612,27892.11105,56431.54677,101026.723,13987.76485,7305.299978,11958.41748,6827.325244,340304.0931,56022.9378,147153.3495,46965.57019,76250.63315,41756.33775,96643.8678,9002.299416,419229.6787,137101.8839,20223.48712,,275773.5404,31641.93764,204507.1055,21979.96102,40884.79448,58291.92381,,291816.752,108325.7586,2473330.209,1602563.876,120049.1802,22667.36205,1157.389932,7683715.707,4419826.474,247934.5058,3116.446124,322279.4932,6604.365661,32892.88411,539.4128783,5983.429428,6758.930604
emb_70_3,ko_exp2,neg,sample,2ppm,N wt/wt,5134407.031,689813.56,1699397.431,156038.8778,2465644.978,2885048.923,578553.1444,3841375.965,62220410.54,171431.3738,89353.19581,2190661.985,164775.7921,571224.7997,1478850.812,230224.115,1110738.932,1072986.289,3087063.354,119729.5959,99391.55197,1681190.299,661365.0942,1170245.364,16005500.99,3293982.045,9213.103433,320203.0246,167555.4306,98218.57318,434191.7138,1479225.87,1767135.503,99311.06871,10300.01887,55889.81307,99080.40133,1029555.851,81100.87186,153985.193,3504385.992,6945108.347,80191.61571,1399138.938,951479.6349,322014.3434,59889.55569,1210310.692,3408847.027,1268035.795,172581.6116,14075690.3,758717.6391,47527.1974,398466.9543,51375.35527,27394.40933,23930.83525,207378.3975,371081.6633,237736.2389,483483.2747,7980.203703,216202.4715,121120.2954,94537.67887,1270571.576,34558.33598,18372.04247,137161.257,12835.4073,132577.1995,12699.68319,116398.7763,125997.07,4673176.852,42474.90421,1290686.038,150360.7518,1219839.882,65401.16426,64739.48842,24908.69151,305594.3013,104254.0434,10034376.53,19368.70108,40899.76245,156491.8998,67698.34093,265380.0557,3414.838983,13847.81353,18966.35547,4602.239757,8031.527935,7542.375907,23524.02746,1089381.544,31166.1554,16049.87546,6180.643117,7267.693427,452624.3667,33428.9266,212898.1495,41119.83452,201447.4617,121124.4427,11268028.49,21424.7893,19556.75943,2570.465248,671738.7248,47950.36975,35752.49327,214273.1011,783782.2472,38384.29474,10285334.58,432818.1756,56108.12151,12573.28858,144593.238,372001.3761,292989.1429,315273.8644,16567.41199,128675.7464,4860.42409,41807.72525,54200.39101,158022.8337,147208.4162,23256.59488,1072042.193,29028.68402,10276.3634,37110.77753,10379.51862,29646.84711,170155.0403,184581.3054,55228.82806,47776.82434,36354.41384,133107.4342,14876.2129,3054.81198,11652.8981,10606.76494,656059.8127,64631.39205,36784.37118,42034.9639,88164.06551,55274.22637,152290.978,24933.52129,559846.6528,175584.6381,30486.88419,282.4020167,122330.4862,25122.5829,101385.375,14382.10322,64749.10743,101321.4568,4395.346517,453403.3719,249865.6103,2775553.477,2120563.247,422841.22,36140.56935,23998.66619,7457153.699,4179917.274,385194.8998,2991.115001,726261.4206,18663.99976,16479.5643,4913.072759,15941.79215,14842.5152
emb_90_6,ko_exp2,neg,sample,2ppm,N wt/wt,9197950.81,1662103.514,7442766.446,166733.4542,5829366.598,5242035.399,1093603.204,4798800.623,163221320.8,459471.2833,112779.3793,3865386.71,551945.6993,2614649.353,2597877.15,618797.1246,2199974.512,1590944.556,5422904.29,225820.4731,146719.348,3047109.375,1466877.824,2250831.556,26014460.87,3976109.294,22398.52917,651803.9754,225577.9765,191253.5641,814334.1416,3161446.649,3092886.465,190871.2439,9542.989639,84979.64191,158876.1866,1546021.471,141793.7777,333256.9652,6791367.261,11123658.3,117736.5026,2043713.81,997644.1062,519065.7007,87743.07787,2375814.752,5928805.515,5612182.344,268530.6087,24038754.14,1389249.017,77515.52663,240133.4833,68765.21376,58568.01438,30218.19061,399619.662,937768.1286,358872.9586,1022267.336,54396.35063,590172.2503,216901.6777,109126.765,2545858.306,75883.03125,19558.31888,203414.3707,14657.7168,201789.085,24898.28838,218962.1944,395252.9967,7737972.757,80467.55295,2628789.741,572981.9376,2127741.75,120759.4172,119802.1179,28507.19528,470361.6052,211728.7404,23657017.28,30519.3416,66991.49228,181782.2293,48396.9159,422630.7218,15862.50209,26541.74573,45683.24144,12664.88531,21686.40432,18392.93659,30866.66319,1649911.679,50214.03417,14083.36488,12896.1072,11383.15582,529223.1092,44691.57909,269687.9278,57040.75642,196677.0858,170035.6449,8837984.82,24364.60612,24382.97361,3534.363001,259190.4453,61182.72695,95977.22047,183318.8818,598223.8817,41579.43891,7434079.985,742578.4724,57235.08355,24817.82337,129883.9553,65578.36596,43306.02603,119568.2731,,246763.6318,3947.223443,62116.03796,56476.66548,142484.0685,58883.51117,30840.00093,1134576.553,46635.01789,13543.35208,21471.99934,14831.39048,13677.49735,225775.7732,145112.5686,27632.57532,62301.44328,9657.313181,153364.0892,17131.5723,,7736.440757,15097.53155,354747.5881,55453.88824,66715.54955,49695.97596,56384.59336,92416.59175,279039.3083,34793.35287,953107.921,126837.9306,57530.94984,246.8777113,136960.3651,24952.42884,102568.2119,12220.54717,18332.46756,256609.8135,5406.999224,910778.8302,298303.96,4437021.728,3247139.521,1031553.857,53697.68364,40004.96901,9906811.818,6503941.932,677358.5196,7197.790899,1092476.677,56279.32994,11343.01293,13108.35932,3136.195693,16530.60928
emb_186_9,ko_exp2,neg,sample,2ppm,N wt/wt,7661935.595,2239375.585,3902445.756,225220.8067,7013838.737,7361820.93,2056867.745,4751386.554,228197887,207144.6472,234157.6181,5485277.41,980233.405,10521322.74,4738413.045,484930.6845,2990061.947,1461691.594,7330120.223,366582.3218,191740.8563,5461574.997,2770893.866,3130084.537,32665402.96,4064321.367,6317.444172,756421.412,345340.79,256437.4885,1441632.886,5198245.13,5207894.007,287023.5955,9954.270041,103740.2653,204993.3449,2409141.89,164714.3376,677633.0879,7114986.4,15611671.9,351530.5563,4553610.535,834578.6271,674651.4817,131677.0023,2612834.875,12320696.51,10101424.75,262322.1401,35281334.97,2158463.182,103478.1612,762982.6226,76305.8879,83209.76073,35291.2077,618232.7195,1074311.585,748344.6047,1277284.833,77846.46799,822977.3032,236393.9174,120718.1462,3423469.206,104742.3006,24747.72419,280697.731,11647.47097,210754.7693,47615.37828,250666.7943,663130.8984,11842359.12,59788.32519,3928811.366,861945.0067,2908172.467,166265.0299,165855.5047,47238.08942,680655.0607,382388.5644,39765402.24,12788.43605,87816.28717,157332.9841,56074.68113,573288.7085,4338.965161,33424.54312,23942.03105,17156.98282,31603.18144,35577.49991,30016.42735,3299196.211,88582.57191,16368.47658,8113.901365,30170.89753,519045.3153,36984.52137,206708.9098,234242.1058,788759.3412,136162.7306,10000913.53,45167.59135,22089.32875,6430.906661,830566.5833,53359.60657,104578.9967,235248.1787,852592.2208,92464.64016,9385321.728,948215.094,102494.6159,31012.79052,126533.2314,161692.8478,152949.0951,203019.1323,,258579.9934,1290.0171,105768.6844,59759.87216,172512.7328,96537.8578,81372.42936,2998129.751,41311.52306,9442.473648,41471.04473,17854.85098,17886.00885,368936.1793,166640.5033,14834.29263,41800.48275,29018.18427,593823.6853,18117.35731,1200.584753,10300.08442,70435.82317,427628.7858,52085.10118,162264.9818,78123.89011,50972.47692,100350.0949,290512.5949,48300.35948,1417916.607,180692.365,89667.2421,290.1860769,138060.8365,29677.98076,127409.8337,20310.46427,56473.16846,127141.9534,34391.57455,761911.7352,476263.2074,4444216.771,4286214.442,1271947.956,106213.5462,66256.98115,14266960.16,10718191.99,988843.2139,10400.34584,1018399.214,152144.2239,15753.90341,9033.509611,7540.307685,22302.32758
emb_76_7,ko_exp2,neg,sample,2ppm,N ko/ko,5499648.766,846658.6727,1252672.221,99880.81385,1884065.626,1871898.1,461932.7597,2477204.758,109826013.8,87395.96993,81715.24164,1116836.247,786706.7111,2471367.841,2590328.142,200948.3834,773635.4042,425577.1067,2788569.697,56940.13414,69753.17976,2588851.199,476828.1685,770251.6723,13640418.51,1891814.206,5902.321446,642025.6059,131836.7633,81872.68425,359726.8781,2355034.117,3117045.458,73898.01049,38695.97982,38968.23658,103796.5141,1069658.903,210116.3764,255649.6903,1410401.236,3296234.826,45706.92832,801466.3654,564182.2287,170500.647,72510.81687,369498.6698,6172336.374,1723009.621,247090.8753,7362064.746,1602757.929,79953.71608,115384.2793,41359.62378,20674.09148,31433.36376,230747.0102,292601.656,351324.572,387821.1758,1688.155767,171573.0555,65632.24345,101645.0991,2158911.898,88234.26694,55739.44422,148501.3379,5809.741704,87726.06837,13104.84149,64466.48449,192535.0992,1502689.375,31720.39919,1512387.237,354002.6617,2043229.72,162311.3753,159019.58,59834.76276,171434.6817,118308.2405,6304589.491,9571.043923,20941.44461,185673.5316,33483.37657,336145.7208,14550.14458,56530.39619,4707.871545,1900.529029,8542.884348,7224.589324,30689.48988,860498.9923,33371.81083,8224.494352,17026.73202,7583.904168,665864.9172,38231.65819,227929.7699,11864.92402,22584.1763,235648.2887,15329690.03,7016.337517,22325.6619,11541.79473,57890.44992,43208.51026,38504.23212,740359.864,1842496.772,19512.3515,13736857.66,182094.2311,27538.1063,16736.09103,249113.5023,187417.6498,230820.7167,960372.1863,61042.3048,93911.80738,34813.84723,43915.27548,82984.09554,168923.5663,164027.8841,,105853.2063,42959.24061,13103.45705,142248.0552,77507.01043,157371.7028,213902.5751,226708.4072,25032.74237,29971.21228,222301.3692,18203.74998,21265.42192,8033.18982,20513.23075,,548856.9709,97988.06031,23000.14123,35621.84002,450673.1971,,17743.24416,16088.45302,132405.3462,201590.683,,22234.22116,226992.6392,39853.07332,159272.0484,3808.076389,69973.32663,30333.15779,,166746.8096,288640.6185,429874.7537,320403.6048,48236.21983,6179.628319,8414.477571,1956362.604,1092452.719,78765.77657,4420.941171,233878.4509,59009.47977,29014.02368,,20529.37006,3410.4348
emb_78_8,ko_exp2,neg,sample,2ppm,N ko/ko,8249126.043,1063175.16,2449073.525,119133.4099,3226174.464,3581142.316,932538.6874,4731148.962,106214057.4,281374.8708,142223.7066,3145630.234,265758.1738,1413154.95,2902773.727,322793.9522,1876054.643,845645.1422,4177527.314,232346.996,137807.2341,2261672.856,612492.3589,1288105.086,23638182.06,3962758.618,10429.34021,455981.0429,190556.828,99023.49715,706310.8205,2510300.528,2275507.835,101347.387,14260.17941,72010.43083,154247.4524,1304825.42,95664.94264,182734.7974,4189524.038,7173521.498,256841.4866,2441655.776,1123735.8,422963.2846,70018.40879,1449250.684,5218821.124,2028243.957,216652.6244,19474703.74,1105236.04,61050.65315,575456.7659,71208.02466,44282.59955,44140.14464,257766.3824,635443.667,449619.3085,538925.2834,3448.719251,351586.6684,119766.8141,112527.4286,1950923.751,75964.52333,9761.578258,197454.2855,11341.11126,107146.8701,26135.65446,75040.51129,156583.4663,4373413.869,26035.3249,2480396.945,314414.4135,1758295.205,94716.31772,94716.31772,17791.48385,446097.9586,129984.6834,8732358.768,15289.52548,53185.39276,168799.4116,41002.91505,373228.6341,4468.609911,26087.44952,1219.365643,2041.709847,544.3355517,13066.72205,33055.4519,1745807.503,54475.51384,14586.78474,9955.125782,13169.26591,653764.3557,45194.0668,266643.5293,148104.6896,419782.5501,222333.4149,11785796.75,26845.93713,4447.147563,11071.21181,661549.2572,61085.69642,80593.31345,439113.0052,1453921.349,76513.84168,9533751.465,477016.7825,81683.1179,23078.77566,202733.3485,27851.41918,57239.62843,716783.7787,49003.85079,215341.5891,8336.642466,70200.07745,74941.7947,160947.5384,29159.61905,58458.08169,2592833.401,33731.01924,11830.85617,198368.7129,78647.76782,122185.9103,360680.2685,153480.139,36029.79976,38387.19725,125327.2742,492940.4722,23975.41026,11852.29119,18169.93666,65233.9014,474502.1396,69577.1145,152992.63,55574.8042,100553.1321,27005.09461,91073.62023,16686.25915,526550.5957,205858.5461,38082.72883,42426.58745,255438.0472,29334.4265,157718.034,30641.07229,55703.70145,13222.15292,8050.134794,178367.5835,139074.1915,2645863.885,2416506.951,335561.0637,36852.32007,13923.13514,9740379.433,5280870.052,386910.9047,2197.350709,649165.4429,65619.71424,13932.23763,,15982.45904,15731.61504
emb_103_8,ko_exp2,neg,sample,2ppm,N ko/ko,8963594.19,884866.9386,2343272.776,140954.0827,2548012.768,4390725.562,915128.517,4604634.63,79585941.1,224518.5727,163495.145,3027915.272,360138.7367,3357237.284,3925448.533,223647.6582,1838298.862,849151.8594,4267602.011,174449.5025,174126.9632,3129829.338,963762.5015,1460035.588,20374418.11,5567215.487,9121.768561,439607.4946,221480.1034,102184.8363,678876.2626,2827993.513,3148586.916,138013.7317,15489.7198,68693.56891,168510.8912,1634295.863,102471.6527,271789.9807,4779909.27,10154640.26,291594.896,2810443.168,1895003.791,313950.9435,93088.82069,1305069.277,7432334.196,3313660.25,333422.2831,19494659.84,1462377.091,73779.3149,753863.8716,74190.48635,26414.41477,25448.44746,289713.7946,665886.1955,296884.8582,670032.0118,11033.91464,474801.2408,117386.3734,100473.6837,2173405.93,174392.9423,24757.57662,293537.234,8054.849896,127585.5913,44663.65377,77508.14707,216789.0208,5012831.738,35406.1406,2497671.834,221448.0304,1976035.421,144323.7607,143202.2065,30603.89532,428413.3751,158729.8768,14514552.4,15048.30588,71652.40676,206338.9342,30168.13676,418818.7003,7080.410742,55793.42787,9391.394483,8505.625131,10109.35509,6077.04247,35521.52462,2420836.592,48881.04112,14406.14437,29682.59409,14335.11476,835218.2543,65230.39678,441272.8962,65871.04276,264530.6706,501201.0802,11561919.94,20710.846,4048.166918,5216.695195,788773.5708,107437.3812,52571.67918,1031655.168,2146599.994,55205.95009,9031387.728,350823.2124,69674.01153,34395.24253,188135.1233,28553.03297,122835.8913,1410874.63,128779.7589,173248.3815,51314.92208,23946.62433,107935.4074,166346.7061,16664.12844,70534.15348,3849407.471,56090.90035,18739.29544,291165.0216,107117.9879,290491.147,218448.7501,138632.8183,44385.34247,196806.1085,155591.2348,273339.1256,21455.09722,11425.27789,13336.30144,30320.20991,470267.7809,78015.02238,153901.3069,61581.76507,82610.3978,36748.564,100004.9017,4429.043245,481530.0493,216913.3116,28988.94528,5547.174766,329847.821,45745.95171,197655.597,37465.37634,62656.14011,29274.81414,,218166.0953,174263.0066,1576620.41,1474246.017,160496.8649,23833.80148,8034.859239,5486717.52,3070728.031,246692.8539,2756.776134,402561.0157,73335.83049,16395.10053,548.5202982,15968.08829,7867.515907
emb_133_2,ko_exp2,neg,sample,2ppm,N ko/ko,11342257.17,220058.1636,990907.042,130425.2435,230569.1992,1843177.942,362801.9314,1023206.087,14323063.91,160702.3843,63660.68451,760055.2757,114162.243,633358.1418,1103601.237,92790.52654,714314.1469,360348.974,1840174.556,43326.18319,76305.5884,1253883.984,185941.6026,390085.3331,10466745.69,2014881.452,,420876.2407,105383.1385,98377.73061,337054.2359,1401033.812,1220662.89,26648.15099,6565.841731,22322.06028,118237.5109,612781.914,78019.28788,82462.90845,2265954.574,1517708.069,621505.9086,1081724.206,454757.1996,46612.61329,83410.87934,223034.2475,1795616.337,570173.592,191237.9779,5023610.964,677315.2592,33519.37242,72715.03053,74239.07097,4415.146355,26829.91544,83285.29941,182258.7335,151170.6338,353784.3488,,72453.36822,21804.84888,81491.719,1032286.717,14534.11532,,159308.1053,4230.080726,,,,40176.97925,1425057.539,6341.492167,545201.3705,33894.36622,855536.8387,80843.74493,80002.80292,,89196.96658,38739.90538,1202816.922,16044.85809,24362.379,222180.92,10314.26882,212912.8677,4651.864669,11886.40315,,4455.867656,25607.61539,,38860.16263,1036753.526,17200.12309,7029.918585,8930.733871,3170.797716,924003.3886,51624.74488,382782.9115,17857.99354,49375.63641,240211.2601,15326618.97,816.9932894,,4710.557353,127480.3596,66435.34514,,635001.4275,1520207.874,17106.31738,13672841.91,81822.7817,19186.57,25937.55103,192370.228,21402.03853,53985.69996,455675.4066,17955.41026,77095.62681,43574.80263,2646.263559,116384.7882,226725.7236,17353.19771,,75508.78801,47314.44497,15126.02208,127042.4581,121518.4681,120741.4541,43872.72031,139232.0629,3604.147126,10736.66028,50060.7687,12469.73631,30915.35898,20911.13611,18824.65404,,861361.6942,122985.3401,3852.650739,35175.77981,184753.8147,,,,32329.22064,319973.2147,,,185484.3058,61780.20401,198176.5927,846.060972,55781.3394,,,18060.53878,1244.730925,111054.292,77457.97996,,,,269344.6865,144802.3973,1332.708732,,144808.1874,429.377245,37649.1842,,32492.52894,
emb_154_1,ko_exp2,neg,sample,2ppm,N ko/ko,14220027.09,1025222.871,2899974.271,276655.0837,2524136.961,3743760.975,860833.2605,7665644.834,78873428.29,416844.662,106100.3731,2764156.954,356444.9755,1164929.55,3908103.541,451257.8,1266272.855,1793794.468,3791965.957,273358.9682,266007.347,3061889.03,1589672.213,1294289.974,25948392.66,7056185.623,220.3694323,973800.9186,281806.3145,149849.3291,598993.9554,2645940.119,3269779.722,155385.0966,26824.74269,160876.7643,217589.9095,1681187.17,334772.3269,629752.8274,4230473.151,10056686.69,268762.9596,3093578.379,771832.5805,560285.4456,123884.3343,1815755.141,11689052.95,5424347.485,1102159.438,17983697.8,1474208.799,79412.32175,225797.8917,96819.14525,25869.92055,27012.37421,353668.7732,412756.6108,344773.3784,471822.9297,75695.21768,402831.5951,278662.3248,204927.4118,1806506.406,123828.6662,66765.38883,373807.1118,13893.3095,469139.6336,35190.57163,186506.7146,403943.7354,2915962.492,54751.58859,4826100.357,172508.4807,1831391.834,128968.276,128129.8132,71475.83319,349731.0864,66603.72697,15905445.31,26470.81271,96835.90176,222710.4742,77100.49478,258528.1032,6274.478507,38797.08652,49984.69337,2078.766745,782.1000643,19486.44791,30893.63557,2441707.766,90820.14435,39182.34569,14780.79543,22006.47511,620347.0093,42000.01064,320533.8332,24281.95247,162162.1012,150303.2554,14492130.83,9849.942852,19413.87659,73501.74008,2065815.369,56512.11265,99034.31813,250279.5784,1154377.246,276509.4016,12673554.19,510924.8905,37909.00071,11207.21702,230785.9078,70021.40029,168905.9355,254241.9036,,135217.0533,7029.251346,73414.39267,74060.80217,171612.4012,77003.95217,35847.57838,1393711.908,46235.28365,14483.28663,36195.37542,31797.52635,43376.36087,372319.8839,254944.2963,25066.60163,77810.38383,30512.19792,271844.8826,18666.31166,256.1870549,15728.59331,33543.42276,439901.8519,71811.42523,62247.04357,58170.86601,485532.2543,49986.81263,149844.8306,23167.43513,806822.7529,217529.5418,69289.00551,40627.55698,125949.9627,26645.5706,157065.4263,14208.67465,90153.43135,96161.78595,10989.84224,597605.5889,197957.9221,1438815.278,1107602.839,357511.346,38936.06968,45473.3807,6835893.293,3956058.668,223773.6907,2687.503613,1043935.549,71614.95027,10863.96582,1757.613019,25004.75546,11583.10026
