Samples,Experiment,Mode,Type,Folate,Status,Lrp6KO2p1,Lrp6KO2p2,Lrp6KO2p3,Lrp6KO2p4,Lrp6KO2p5,Lrp6KO2p6,Lrp6KO2p7,Lrp6KO2p8,Lrp6KO2p9,Lrp6KO2p10,Lrp6KO2p11,Lrp6KO2p12,Lrp6KO2p13,Lrp6KO2p14,Lrp6KO2p15,Lrp6KO2p16,Lrp6KO2p17,Lrp6KO2p18,Lrp6KO2p19,Lrp6KO2p20,Lrp6KO2p21,Lrp6KO2p22,Lrp6KO2p23,Lrp6KO2p24,Lrp6KO2p25,Lrp6KO2p26,Lrp6KO2p27,Lrp6KO2p28,Lrp6KO2p29,Lrp6KO2p30,Lrp6KO2p31,Lrp6KO2p32,Lrp6KO2p33,Lrp6KO2p34,Lrp6KO2p35,Lrp6KO2p36,Lrp6KO2p37,Lrp6KO2p38,Lrp6KO2p39,Lrp6KO2p40,Lrp6KO2p41,Lrp6KO2p42,Lrp6KO2p43,Lrp6KO2p44,Lrp6KO2p45,Lrp6KO2p46,Lrp6KO2p47,Lrp6KO2p48,Lrp6KO2p49,Lrp6KO2p50,Lrp6KO2p51,Lrp6KO2p52,Lrp6KO2p53,Lrp6KO2p54,Lrp6KO2p55,Lrp6KO2p56,Lrp6KO2p57,Lrp6KO2p58,Lrp6KO2p59,Lrp6KO2p60,Lrp6KO2p61,Lrp6KO2p62,Lrp6KO2p63,Lrp6KO2p64,Lrp6KO2p65,Lrp6KO2p66,Lrp6KO2p67,Lrp6KO2p68,Lrp6KO2p69,Lrp6KO2p70,Lrp6KO2p71,Lrp6KO2p72,Lrp6KO2p73,Lrp6KO2p74,Lrp6KO2p75,Lrp6KO2p76,Lrp6KO2p77,Lrp6KO2p78,Lrp6KO2p79,Lrp6KO2p80,Lrp6KO2p81,Lrp6KO2p82,Lrp6KO2p83,Lrp6KO2p84,Lrp6KO2p85,Lrp6KO2p86,Lrp6KO2p87,Lrp6KO2p88,Lrp6KO2p89,Lrp6KO2p90,Lrp6KO2p91,Lrp6KO2p92,Lrp6KO2p93,Lrp6KO2p94,Lrp6KO2p95,Lrp6KO2p96,Lrp6KO2p97,Lrp6KO2p98,Lrp6KO2p99,Lrp6KO2p100,Lrp6KO2p101,Lrp6KO2p102,Lrp6KO2p103,Lrp6KO2p104,Lrp6KO2p105,Lrp6KO2p106,Lrp6KO2p107,Lrp6KO2p108,Lrp6KO2p109,Lrp6KO2p110,Lrp6KO2p111,Lrp6KO2p112,Lrp6KO2p113,Lrp6KO2p114,Lrp6KO2p115,Lrp6KO2p116,Lrp6KO2p117,Lrp6KO2p118,Lrp6KO2p119,Lrp6KO2p120,Lrp6KO2p121,Lrp6KO2p122,Lrp6KO2p123,Lrp6KO2p124,Lrp6KO2p125,Lrp6KO2p126,Lrp6KO2p127,Lrp6KO2p128,Lrp6KO2p129,Lrp6KO2p130,Lrp6KO2p131,Lrp6KO2p132,Lrp6KO2p133,Lrp6KO2p134,Lrp6KO2p135,Lrp6KO2p136,Lrp6KO2p137,Lrp6KO2p138,Lrp6KO2p139,Lrp6KO2p140,Lrp6KO2p141,Lrp6KO2p142,Lrp6KO2p143,Lrp6KO2p144
emb_76_3,ko_exp2,pos,sample,2ppm,N wt/wt,13580.48525,181699.0113,6357.55662,2182944.929,539202.2856,1681998.806,1661610.818,4941.543207,11435903.26,933461.7128,170918.5101,30257.94685,257159.8309,42201.16711,7861.178446,13268968.46,2262520.671,3558441.059,1806076.884,296749.1535,920539.3557,7158681.94,29924.81186,248935.8908,237867.8539,11355858.08,3305104.723,3406469.153,1005473.416,59666.85766,26588.28718,35012.44227,221612.9475,343416.409,13130.69951,249269.0048,602739.7962,6392.942,101461.0106,54764.64469,19496.81053,7848824.494,1807480.182,5978747.423,1948538.159,78263.60365,,,1939.656638,254872.0422,5014.410173,27532.28881,3326011.077,4090883.345,12726.88145,30364.95402,712.8800657,4652.434243,7678.805278,3335203.982,46407.84916,2537574.316,320.26111,14511387.58,46326.92008,2565.45346,8920.774646,662647.5625,793613.8323,188973.7637,17103.05725,53386.25554,712896.5774,11681.11588,27372.96691,159815.0284,9798.468573,73422.60427,40963.01842,3455.252307,72395.73724,2687486.451,2947.329134,26370.96025,97286.56132,549578.5001,240641.9804,20065.95145,22935.92449,7772.432536,112267.68,30014.65171,6087.197258,4729.619185,6207.802248,60921.71164,,284579.2278,29450.33396,3272.341633,4500.335865,3004.756839,17105.75181,18466.02331,64739.28738,111904.3488,29216.65521,33838.24177,50870.19651,61360.61122,10787.24728,51088.36576,138919.3213,7697.006042,123853.9229,118353.5505,7172.217492,28636.79959,93148.01459,11771.74478,96153.70668,1212256.043,136877.4948,304169.8522,693294.4229,231251.3146,1304801.877,39829.03511,6645.128699,29247.4543,1779.343521,5280.33233,125265.4185,173514.4533,146505.6322,224921.4596,6473.27606,36525.79736,95055.78864,2692.139734,3796614.55,623450.4403,238768.0542,2664780.015
emb_103_4,ko_exp2,pos,sample,2ppm,N wt/wt,32144.85317,452170.0784,12879.71025,3457627.098,792496.2563,442110.7019,441937.6538,40031.64611,13105976.44,1446017.369,248910.4186,46770.01109,574971.1275,81600.20859,20479.64832,18555197.14,5213435.097,4041989.693,4310262.167,342174.5664,502915.5516,12628767.58,54921.82791,450660.1676,512287.3313,16017238.55,4898497.74,5879304.453,1958319.739,100191.1832,37417.95556,36913.90542,485322.1057,1496623.38,19180.55004,857275.549,2651667.756,10298.88507,274946.1008,111239.2137,30580.65885,11071155.4,3094036.623,9358845.342,2671427.669,114005.7235,44994.03804,21957.31873,4670.665513,656370.923,12846.5932,258740.4325,8473963.974,6460536.691,9750.463749,43355.29185,3466.077162,5554.309538,42381.23178,6712219.244,78601.34914,4424847.708,3002.237268,28544637.02,72852.83754,7878.033172,25055.12052,1525802.264,1418968.488,382944.9016,110134.6878,181705.3464,1103598.359,6881.291349,44789.06066,914301.9616,14921.65541,498178.5409,247512.243,47787.06293,101366.2008,2707744.965,4573.915196,51925.0761,59010.60556,1463798.043,164198.7642,27560.77849,129856.196,29810.15662,210440.6555,21853.59567,7856.868894,6083.801661,10466.28106,203235.7912,38869.45701,163395.6738,33728.55523,12564.42347,12944.96975,4599.911994,24190.03293,37394.02794,214278.734,276472.7887,47888.67171,33993.85723,227728.7151,75127.76496,48415.87332,57155.99707,132023.2664,25701.58761,381005.1374,121187.5214,28009.14843,24928.15933,106626.5848,31666.57489,85409.14463,1032542.623,486132.5756,229193.2338,590213.9099,290386.409,1416619.601,32490.19882,11880.81132,55016.9937,8773.25481,8759.905607,166134.9854,421606.8559,308424.6941,179457.0304,3412.495884,38278.45459,62286.18147,17784.80335,1712573.564,306371.0823,283814.4092,1145124.245
emb_70_3,ko_exp2,pos,sample,2ppm,N wt/wt,5235.180876,229729.1982,10291.74601,1820384.361,441567.6267,152589.1973,152367.4172,17927.9725,7432073.938,720917.5452,116064.35,23393.96018,458051.8947,25769.29107,18657.46331,11683903.8,1685768.474,3226353.862,2148260.777,464537.3613,99721.50312,5717417.956,34484.73979,330350.6746,140568.4287,9136120.585,2394121.121,2874836.276,837198.2538,39759.57886,39441.86385,29737.45585,267281.6686,387967.222,11267.32114,171681.0765,1674486.062,7894.254761,76024.89497,35653.04635,18797.77054,6856308.125,1459929.942,5556361.339,1526987.704,63627.17924,49192.90823,27812.85888,1445.615822,247132.091,2223.781177,124818.8949,2368293.372,3360755.945,8560.323499,39722.85018,1358.603119,518.7015908,6144.950947,2901653.683,40538.60495,2198882.5,7321.291583,7761493.79,33214.61323,5016.277998,13334.67064,595072.407,878869.1081,133148.2644,20775.12805,59094.21141,283136.305,5091.22386,43129.7752,883398.9873,4283.400919,123326.6555,158345.1459,8128.177837,86820.14815,2598548.416,1814.523524,12446.90094,90873.28675,252137.1411,175690.7973,16462.85509,233130.6688,6679.68201,73330.52644,28108.66821,1244.112319,4336.28723,9465.812381,67288.23301,72936.33261,348285.8505,54224.50993,1977.880774,17153.66316,2383.019216,5861.331112,17305.73221,35502.06058,95756.10836,428404.2079,19977.3397,108803.3698,54876.27592,8693.215526,35061.31333,63482.84455,12406.90983,106402.6027,152760.316,4503.657779,31204.60567,103423.8757,4619.585179,81800.898,1110996.457,103095.3131,362012.5211,559048.8161,314618.5475,1562812.713,28715.69991,12009.69541,21082.31506,3215.599708,5841.244859,113887.2425,153207.5095,150238.3891,360124.982,2206.142503,41764.80615,74990.53794,3077.422608,15948783.2,797069.4991,290312.4487,10497908.86
emb_90_6,ko_exp2,pos,sample,2ppm,N wt/wt,13362.27116,676687.3996,13895.04652,2250075.968,575001.8373,126823.6647,126199.7772,15696.40848,10712417.92,929483.2599,216684.4557,33527.42993,133989.6009,29998.10328,6304.837827,13527731.51,2439416.695,3175371.589,2782197.551,402909.7744,1559055.596,7480786.807,18422.91164,295106.8911,201117.4924,11926963.35,3182229.414,3518252.031,982965.1464,38283.01992,33288.80651,41628.38787,278051.1843,469568.8966,12075.8981,301241.5529,698750.1078,6720.250001,78696.48863,53941.18046,23308.85614,8619714.89,1965153.87,6038974.74,1762642.102,72468.44867,,142.9559831,2222.20211,300819.0038,3475.524326,20591.89464,3623350.038,4377121.108,9789.490789,40723.08315,934.2736923,491.7907326,10399.49695,4284651.786,51940.68109,2680360.144,1016.59923,14198906.98,38383.48235,1201.668582,4265.865099,725346.6948,1007807.477,145421.7861,27494.96027,68078.03164,428283.2661,11575.81932,8729.60755,953332.3066,5441.258932,103414.3214,24108.35272,5954.16173,108436.7211,2774332.147,2433.567102,,97663.81716,427893.8593,273173.3139,28727.64877,62206.12288,4425.099453,54083.03906,32260.33849,763.7173889,1473.636054,12214.20522,48395.39817,63155.70284,297308.5051,57089.62068,1430.955657,2461.8604,4408.74495,15711.03713,24161.41236,56054.68215,81616.48242,1573491.805,28481.72118,63897.88619,61391.01594,9114.176035,49926.76702,85410.51051,11087.53029,103127.3206,131891.7891,4814.162581,27415.35065,82874.99135,9162.320709,98762.27947,1748311.234,148812.4072,718390.5457,867154.2685,415317.5854,2595178.646,37721.98949,17656.42004,16228.91426,2715.724565,5409.864177,91261.26423,154278.3154,140360.7031,297509.8886,3798.534021,38824.55829,29620.32407,2513.351905,3385137.992,721114.022,283471.6511,2524188.89
emb_186_9,ko_exp2,pos,sample,2ppm,N wt/wt,25417.17149,341322.5083,11832.38285,3024250.385,708371.6435,233426.2937,233059.8149,15397.57989,14415914.24,1153758.793,130552.4569,40989.91056,307158.2754,49612.80868,9926.30781,13681859.41,3026529.933,2906415.46,2842429.531,216894.8466,1046599.975,8525284.012,63772.14226,287741.2506,291191.4853,14533331.57,4074798.269,4458244.698,1048795.365,70947.69625,27237.30658,43856.47997,346543.747,344223.7045,17802.12878,675017.4304,2171522.728,4015.641496,76651.13507,66322.85617,28844.73166,11048568.15,2324673.284,6080937.465,2318100.671,100579.0719,657.1487661,,2377.873789,322903.4961,9487.000433,28279.0504,3190730.641,5550946.762,15683.46028,33164.40109,509.5922636,936.3301062,4249.382422,4330464.816,66063.78191,3204002.654,358.8645114,12758770.87,58916.50573,4428.943187,8807.043799,642843.3998,1224221.952,184423.1852,10627.03927,60851.95998,701282.6793,17305.1088,20587.27858,1042181.666,19436.63529,544642.7417,116961.3317,55680.18332,75783.28763,2204734.969,7055.026422,1422.688616,106941.6245,710416.681,268238.0674,22676.12239,89595.55901,9816.5918,99063.7805,41981.31839,,3329.290159,14046.12047,127240.2369,67770.74807,234714.6101,60082.951,6475.477877,28999.27359,12479.16758,52175.48773,63632.39578,81182.5005,107198.3445,1474484.17,76361.94874,50959.32941,173012.9206,6818.678748,100293.0773,236305.4165,8353.44729,127410.1642,183128.1099,4524.090914,45448.87455,109328.0347,1596.826968,73851.78733,1214759.928,62915.40764,357733.039,693778.2635,274904.6475,821636.2767,27196.86888,13401.9654,8634.579421,2860.389728,6656.063369,30507.97703,20573.10168,30716.11757,28593.77735,4376.316186,29426.82386,34234.30371,1039.186247,3816727.237,189881.3101,341233.5646,2165520.516
emb_76_7,ko_exp2,pos,sample,2ppm,N ko/ko,22019.15075,350656.7474,20848.82236,2540014.59,753692.241,259793.1405,259684.0146,39561.80469,17019415.95,2509453.216,270119.5694,34729.43465,651694.1273,76513.8785,28151.21917,18900541.03,6802188.488,4710609.378,2999821.972,793261.1481,519838.9892,12048350.27,115833.2793,316481.0135,436487.7967,15501204.37,5714736.091,8256220.996,1734935.211,72983.14097,87385.09957,44909.36838,546364.8786,199019.0542,30871.05276,116225.3585,1410844.753,12986.49475,209059.8518,112764.6146,19761.28665,18334367.37,3272911.221,4128162.274,4397817.755,192671.8281,28232.24025,23974.98736,3307.391194,1018006.69,2030.089639,213964.6226,9160928.751,6923225.59,7788.297956,49690.1107,6220.486949,13621.67497,22711.93567,10724621.38,186605.4698,5433856.199,8456.611022,7850419.866,92213.46505,15955.86557,14018.38512,1832092.011,1323224.528,590784.7105,45013.45541,164337.2959,609917.6753,48971.83784,90050.62175,1850074.792,31248.4145,44165.76841,26371.73148,101.0105136,330066.0316,5880522.744,31318.27784,4800.172491,111012.1291,422955.3953,143062.8315,30609.54582,174992.3008,2665.587197,30972.26481,17220.74967,15597.59251,13816.21673,18258.69613,48688.8735,6255.489738,425851.047,70625.42817,1617.050529,5534.479143,12772.39706,39879.96096,74275.05236,41132.26248,86160.08713,27192.09418,78277.6396,255043.7605,163686.0542,7590.434307,217779.1927,364995.5905,42378.27557,123039.6588,185720.1298,7027.678733,39611.30167,122926.5144,20668.46232,67262.26002,1088462.963,290981.9654,313488.5685,567308.6475,283562.4179,1658893.785,28380.72309,10381.04877,197163.672,7128.627347,15463.38371,122596.1468,150188.7678,161381.9883,346179.6485,29793.90878,22329.55169,115030.1203,2952.783916,10140054.74,1063112.748,449511.6944,10745010.89
emb_78_8,ko_exp2,pos,sample,2ppm,N ko/ko,11208.79811,351173.7343,9026.977523,2269728.84,715604.6616,222005.8313,221888.5319,21192.93491,18724683.9,1335880.13,175465.8868,35127.97161,1056051.579,33618.77937,30387.59693,15044186.16,2589214.26,2565537.209,2302777.369,495960.2277,285958.4253,9592133.907,128957.3468,365529.7916,230126.524,14644769.7,3720262.312,3852914.294,1071189.999,52442.86043,46901.02469,51216.38556,313854.8851,338588.2253,14735.26812,797946.1971,2769527.517,7974.767309,115335.4311,53317.54247,20516.13306,9415412.647,1530946.437,6333420.206,2097108.448,92195.42868,84656.22063,23121.31379,2059.155206,347875.5667,2777.680301,181112.9191,3803121.016,4722907.641,8111.045192,51987.48357,675.8354433,3154.842806,12798.30621,3485946.488,96614.72861,3095557.532,11131.35436,10293775.02,63864.74984,8113.887929,18347.48224,751880.4231,1066003.381,206561.0938,6629.524751,57016.62863,493077.8947,31474.05904,97883.10963,563423.9249,42437.82429,434238.1548,408841.1738,49889.64834,112503.3029,1844269.65,7424.548887,18267.74189,134190.1576,299192.5177,208546.8179,102954.5343,55078.40772,18535.98011,148883.939,33675.49104,1028.107427,8719.442864,10317.93545,250114.3607,73926.64362,357209.9387,63255.85062,17725.64386,17407.12679,7989.905837,30113.28098,43796.09124,124879.0559,115578.3902,91144.77432,50724.76916,81863.36006,134695.1675,4409.573024,79596.45877,219509.5944,9108.067142,118136.7483,168596.0935,6551.675597,35614.82924,140982.0821,110.0321781,109453.0139,1691567.315,52124.25231,482110.7015,939848.9248,502856.0981,2872253.129,44885.33168,17556.59731,12152.62759,3250.515558,3937.736473,120210.5122,177100.918,122851.6415,226027.7518,4499.835079,28360.22752,79648.05495,247.1280204,3492856.364,722113.3682,320287.7535,2995051.714
emb_103_8,ko_exp2,pos,sample,2ppm,N ko/ko,10818.05506,394600.2633,15568.48274,2991917.757,807483.8838,349626.704,349333.1117,26297.86474,22169634.2,2206043.292,163507.3666,36364.84165,965477.2558,62870.7585,30834.71305,17806681.6,4721075.615,3472047.5,3487505.292,883243.3753,259912.1141,9463947.312,74514.37976,339075.8625,378240.1261,16519563.77,4596867.39,5895204.217,1673255.728,85288.0786,53836.80241,28127.71653,578931.4536,472051.0118,21111.80099,633160.3314,3991815.583,11962.69361,197686.8938,79365.05196,30033.43603,15101757.31,2609109.266,7232862.737,3243150.314,140908.2657,118847.4903,47966.82801,1826.798444,635594.437,1536.390881,259482.1378,6508168.462,6150665.182,10146.72953,27599.7601,3599.134585,16225.91093,11439.74314,7488071.886,137177.0276,4456339.776,11144.186,6030845.938,88328.32422,8982.515308,30684.00398,1420305.763,1311769.642,417260.2419,36009.94594,106064.7245,734791.4864,27752.05672,99148.46136,1048896.953,26585.13796,283461.3051,324533.1051,21068.94212,141114.331,1262495.557,27729.91821,36299.24316,121864.7077,504564.4915,273699.8567,43832.39542,28024.86471,54979.91195,438781.0981,29444.61713,19343.88326,7896.202571,11205.48445,337628.9539,70982.19254,219068.2592,58759.09805,23306.11417,29501.85076,6858.707438,25938.22685,29323.73183,210146.1861,298388.9037,22554.66429,46839.15719,567520.2773,109946.2411,26236.69284,94114.718,206388.7366,10646.9182,307731.5403,203111.0504,24509.48482,40479.34163,138429.1495,10516.5994,121932.8217,1690587.228,220613.366,511667.1359,927390.1189,473033.7021,2702217.237,42793.7672,18020.05838,47160.18201,5334.044075,10047.74471,124967.2456,206704.224,245568.3403,220588.3545,12548.26018,26479.66,127687.9502,7209.784396,2045638.968,575492.0255,382424.4059,1224610.801
emb_133_2,ko_exp2,pos,sample,2ppm,N ko/ko,6644.69491,169410.5091,17097.59339,1819207.987,436554.4369,103427.1688,103340.3642,10093.1536,6909600.194,604636.6546,65396.12636,30800.02551,444075.0516,31911.35239,11316.02533,9934621.23,1639101.739,1926094.821,1001653.43,148388.4257,364409.8114,4400769.991,55917.22267,193012.8552,121174.7567,9021739.88,3177176.63,3436210.561,524755.5927,41829.04325,55355.76044,30850.95858,143733.599,216966.7907,13745.51218,671957.3956,1066640.901,3409.783877,7283.92736,18902.8012,31497.19549,5570803.736,817446.0607,2241971.442,1983793.551,84790.8585,11694.36969,11694.36969,209.8168339,157477.9724,928.5954703,148571.8465,1363449.853,4048724.875,9158.078296,16125.18895,,,1403.618741,1888688.057,7191.195719,2081726.766,2169.930587,597935.7445,42681.72229,579.9179277,,368726.8026,950461.45,121993.6301,253.5715054,60949.57168,254991.6474,16667.95406,60477.83245,589286.0911,17968.80125,168988.283,58866.71189,11365.23571,96819.04667,687106.9996,20549.01167,,121939.1174,309821.1581,271517.9367,34009.61807,34910.12989,136.8984345,4722.138402,32818.30827,,965.2420258,5152.662213,12724.2866,74164.26491,319256.199,66070.62229,,23200.74081,4071.764089,19037.28733,5795.655187,1325.79353,16929.36449,1232606.905,13640.62612,43228.46998,16536.45465,,60608.33599,125418.0239,131.648193,8629.946283,310690.9398,,54284.05551,129029.994,,89592.20338,1304664.06,9494.959388,398110.339,720539.4341,282090.1285,1027963.1,40610.95377,14073.78634,777.5807123,,911.7758665,4385.049029,7725.07404,3647.821256,18085.67718,1016.40906,31281.67899,137286.506,,3830598.562,305019.0479,347757.9265,1991599.714
emb_154_1,ko_exp2,pos,sample,2ppm,N ko/ko,3272.049076,275702.9571,7805.670975,1897405.36,546377.1791,145747.2803,145589.0112,31530.22789,13055005.55,1541018.701,220245.9246,37396.09216,396731.7679,33951.58357,14528.26254,12819000.4,3179679.703,2458470.424,2261017.578,293640.8438,147462.689,9719624.703,72130.48024,349785.4809,192814.8614,11436357.21,3873672.265,4543582.743,887580.2385,40355.64007,73096.27057,33362.13025,474128.6825,281999.6659,17976.67252,193629.5572,2963904.782,11493.85369,170722.9101,57852.26674,37003.67801,14735864.22,1987610.841,4658555.625,2842792.518,112640.686,13797.4069,13418.11922,1584.885409,400516.4188,744.4441431,73376.28269,5043760.817,4703292.42,7297.635411,24323.47067,6674.687355,4777.514048,6823.04006,5621618.398,190842.555,3412412.951,2238.229297,1975456.268,78103.406,3296.741471,5677.572217,991972.5049,918651.5363,318752.415,60671.59536,90320.96975,395490.2624,89456.29828,36504.42278,1776666.195,17560.15147,114176.433,93733.21547,2318.207764,265101.5842,2514864.208,34195.69583,2252.960596,112230.2085,300484.8031,184583.2488,66836.02484,101341.542,13621.34133,105253.3734,29312.50988,8579.687471,10236.65426,43626.22752,153267.0448,,454495.7251,82180.60474,8750.576219,27610.84265,57833.85728,113625.9868,92334.71355,59176.07508,116210.3265,227551.4763,85464.59875,1485533.339,179745.205,10393.15817,136105.5445,252915.2821,14561.77002,201076.3176,268660.3998,15464.82734,23892.13591,138435.4823,9635.433766,83909.01747,1460620.503,196704.0043,330030.8211,744349.8598,427279.4186,2096664.772,32367.52816,17541.46782,24589.46075,5255.118446,12112.84389,91504.58778,130100.1044,70056.9856,61716.29852,6254.40328,32377.68684,212145.3783,4922.365993,2391095.621,462700.9808,444292.755,1397446.512
