Compound_short,Compound_full,Formula,Mass,RT,CAS_ID
Lrp6KO2n1,Propiolic Acid,C3 H2 O2,70.003,0.84,471-25-0
Lrp6KO2n2,Methylglyoxal,C3 H4 O2,72.021,2.56,78-98-8
Lrp6KO2n3,Glycine,C2 H5 N O2,75.031,8.97,56-40-6
Lrp6KO2n4,Sulfite,H2 O3 S,81.971,0.86,7782-99-2
Lrp6KO2n5,Pyruvate,C3 H4 O3,88.015,2.3,127-17-3
Lrp6KO2n6,Alanine,C3 H7 N O2,89.047,8.51,56-41-7
Lrp6KO2n7,Sarcosine,C3 H7 N O2,89.047,9.59,107-97-1
Lrp6KO2n8,Oxalic Acid,C2 H2 O4,89.994,7.58,144-62-7
Lrp6KO2n9,Lactic Acid,C3 H6 O3,90.031,2.57,79-33-4
Lrp6KO2n10,N-Formylglycine,C3 H5 N O3,103.026,4.18,2491-15-8
Lrp6KO2n11,2-Aminobutyric Acid,C4 H9 N O2,103.062,7.99,1492-24-6
Lrp6KO2n12,3-Aminoisobutyric Acid (BAIBA),C4 H9 N O2,103.062,8.67,144-90-1
Lrp6KO2n13,2-Hydroxybutyric Acid,C4 H8 O3,104.046,2.07,3347-90-8
Lrp6KO2n14,3-Hydroxybutyric Acid,C4 H8 O3,104.046,3.32,300-85-6
Lrp6KO2n15,Serine,C3 H7 N O3,105.041,8.44,56-45-1
Lrp6KO2n16,Hypotaurine,C2 H7 N O2 S,109.019,9.02,300-84-5
Lrp6KO2n17,Uracil,C4 H4 N2 O2,112.026,2.3,66-22-8
Lrp6KO2n18,Thiosulfate,H2 O3 S2,113.943,5.32,14383-50-7
Lrp6KO2n19,Proline,C5 H9 N O2,115.062,9.3,147-85-3
Lrp6KO2n20,Fumaric Acid,C4 H4 O4,116.01,6.88,110-17-8
Lrp6KO2n21,N-Acetylglycine,C4 H7 N O3,117.041,4.83,543-24-8
Lrp6KO2n22,Valine,C5 H11 N O2,117.078,7.47,72-18-4
Lrp6KO2n23,Succinic Acid,C4 H6 O4,118.025,7.67,110-15-6
Lrp6KO2n24,Threonine,C4 H9 N O3,119.057,8.03,72-19-5
Lrp6KO2n25,Taurine,C2 H7 N O3 S,125.014,5.12,107-35-7
Lrp6KO2n26,Pyroglutamic Acid,C5 H7 N O3,129.041,5.48,98-79-3
Lrp6KO2n27,Itaconic Acid,C5 H6 O4,130.025,1.3,97-65-4
Lrp6KO2n28,Ketoleucine,C6 H10 O3,130.062,1.39,816-66-0
Lrp6KO2n29,N-Acetylalanine,C5 H9 N O3,131.056,4.44,97-69-8
Lrp6KO2n30,trans-4-Hydroxyproline,C5 H9 N O3,131.057,8.52,51-35-4
Lrp6KO2n31,Creatine,C4 H9 N3 O2,131.068,9.58,57-00-1
Lrp6KO2n32,Leucine,C6 H13 N O2,131.093,6.7,61-90-5
Lrp6KO2n33,Isoleucine,C6 H13 N O2,131.093,6.92,73-32-5
Lrp6KO2n34,Oxaloacetic Acid,C4 H4 O5,132.003,9.13,328-42-7
Lrp6KO2n35,Ethylmalonic Acid,C5 H8 O4,132.04,2.25,601-75-2
Lrp6KO2n36,Glutaric Acid,C5 H8 O4,132.043,8.2,110-94-1
Lrp6KO2n37,3-Ureidopropionic Acid,C4 H8 N2 O3,132.049,6.22,462-88-4
Lrp6KO2n38,Asparagine,C4 H8 N2 O3,132.052,8.76,70-47-3
Lrp6KO2n39,2-Hydroxy-3-methylpentanoic Acid,C6 H12 O3,132.077,1.63,448-15-3
Lrp6KO2n40,Ornithine,C5 H12 N2 O2,132.087,23.18,70-26-8
Lrp6KO2n41,Aspartic Acid,C4 H7 N O4,133.036,8.44,56-84-8
Lrp6KO2n42,Malic Acid,C4 H6 O5,134.021,7.48,97-67-6
Lrp6KO2n43,Adenine,C5 H5 N5,135.053,3.72,73-24-5
Lrp6KO2n44,Hypoxanthine,C5 H4 N4 O,136.037,3.03,68-94-0
Lrp6KO2n45,Urocanic Acid,C6 H6 N2 O2,138.041,2.64,104-98-3
Lrp6KO2n46,O-Phosphoethanolamine,C2 H8 N O4 P,141.018,14.63,1071-23-4 
Lrp6KO2n47,Caprylic Acid,C8 H16 O2,144.113,1.36,124-07-2
Lrp6KO2n48,2-Oxoglutaric Acid,C5 H6 O5,146.021,6.41,328-50-7
Lrp6KO2n49,Glutamine,C5 H10 N2 O3,146.068,8.87,56-85-9
Lrp6KO2n50,Lysine,C6 H14 N2 O2,146.104,23.1,56-87-1
Lrp6KO2n51,N-Acetylserine,C5 H9 N O4,147.052,3.7,16354-58-8
Lrp6KO2n52,Glutamic Acid,C5 H9 N O4,147.052,8.67,56-86-0
Lrp6KO2n53,Methionine,C5 H11 N O2 S,149.05,6.73,63-68-3
Lrp6KO2n54,Guanine,C5 H5 N5 O,151.047,6.73,73-40-5
Lrp6KO2n55,Xanthine,C5 H4 N4 O2,152.033,2,69-89-6
Lrp6KO2n56,4-Hydroxyphenylacetic Acid,C8 H8 O3,152.046,1.22,156-38-7
Lrp6KO2n57,3-Sulfinoalanine,C3 H7 N O4 S,153.01,7.06,1115-65-7
Lrp6KO2n58,3-Hydroxyanthranilic Acid,C7 H7 N O3,153.042,1.17,548-93-6
Lrp6KO2n59,Histidine,C6 H9 N3 O2,155.068,10.73,71-00-1
Lrp6KO2n60,Orotic Acid,C5 H4 N2 O4,156.016,2.37,65-86-1
Lrp6KO2n61,Dihydroorotic Acid,C5 H6 N2 O4,158.033,2.47,5988-19-2
Lrp6KO2n62,Allantoin,C4 H6 N4 O3,158.043,1.87,97-59-6
Lrp6KO2n63,2-Oxoadipic Acid,C6 H8 O5,160.032,6.3,3184-35-8
Lrp6KO2n64,2-Aminoadipic Acid,C6 H11 N O4,161.067,9.39,542-32-5
Lrp6KO2n65,3-Hydroxymethylglutaric Acid,C6 H10 O5,162.051,7.18,503-49-1
Lrp6KO2n66,Phenylpyruvic Acid,C9 H8 O3,164.046,1.58,156-06-9
Lrp6KO2n67,Phenylalanine,C9 H11 N O2,165.078,6.27,63-91-2
Lrp6KO2n68,Quinolinic Acid,C7 H5 N O4,167.022,7.86,89-00-9
Lrp6KO2n69,Phosphoenolpyruvate,C3 H5 O6 P,167.981,10.56,138-08-9
Lrp6KO2n70,Uric Acid,C5 H4 N4 O3,168.028,2.96,69-93-2
Lrp6KO2n71,Pyridoxine,C8 H11 N O3,169.071,5.22,65-23-6
Lrp6KO2n72,Dihydroxyacetone phosphate (DHAP),C3 H7 O6 P,169.997,10.69,57-04-5
Lrp6KO2n73,Glycerol 1-Phosphate / Glycerol 3-Phosphate,C3 H9 O6 P,172.012,10.43,17989-41-2
Lrp6KO2n74,cis-Aconitic Acid,C6 H6 O6,174.013,7.46,499-12-7
Lrp6KO2n75,Arginine,C6 H14 N4 O2,174.11,23.12,74-79-3
Lrp6KO2n76,N-Acetylaspartic Acid,C6 H9 N O5,175.047,7.96,997-55-7
Lrp6KO2n77,Citrulline,C6 H13 N3 O3,175.09,9.59,372-75-8
Lrp6KO2n78,N-Carbamoyl-L-aspartic Acid,C5 H8 N2 O5,176.043,8.05,13184-27-5
Lrp6KO2n79,D-Glucose,C6 H12 O6,180.062,2.57,50-99-7
Lrp6KO2n80,Tyrosine,C9 H11 N O3,181.073,6.43,60-18-4
Lrp6KO2n81,Homovanillic Acid,C9 H10 O4,182.055,1.67,306-08-1
Lrp6KO2n82,4-Hydroxyphenyllactic Acid,C9 H10 O4,182.055,1.67,6482-98-0
Lrp6KO2n83,2-Phosphoglyceric Acid,C3 H7 O7 P,185.993,10.73,23295-92-3
Lrp6KO2n84,N-Acetylglutamic Acid,C7 H11 N O5,189.063,8.02,1188-37-0
Lrp6KO2n85,5-Hydroxyindoleacetic Acid (5HIAA),C10 H9 N O3,191.057,2.61,54-16-0
Lrp6KO2n86,Citric Acid,C6 H8 O7,192.026,9.12,77-92-9
Lrp6KO2n87,Phenylacetylglycine,C10 H11 N O3,193.071,1.89,500-98-1
Lrp6KO2n88,Glucuronic Acid,C6 H10 O7,194.037,5.67,06556-12-3
Lrp6KO2n89,Lauric Acid,C12 H24 O2,200.176,1.23,143-07-7
Lrp6KO2n90,Cysteine-S-sulfonic Acid,C3 H7 N O5 S2,200.978,2.42,1637-71-4
Lrp6KO2n91,Tryptophan,C11 H12 N2 O2,204.089,6.03,73-22-3
Lrp6KO2n92,N-Acetylphenylalanine,C11 H13 N O3,207.085,2.13,2018-61-3
Lrp6KO2n93,Kynurenine,C10 H12 N2 O3,208.08,6.01,2922-83-0
Lrp6KO2n94,Phosphocreatine,C4 H10 N3 O5 P,211.035,11.42,67-07-2
Lrp6KO2n95,3-Methoxytyrosine,C10 H13 N O4,211.08,6.67,7636-26-2
Lrp6KO2n96,Indoxyl Sulfate,C8 H7 N O4 S,213.015,0.72,2642-37-7
Lrp6KO2n97,Glycerylphosphorylethanolamine,C5 H14 N O6 P,215.055,10.43,1190-00-7
Lrp6KO2n98,12-Hydroxydodecanoic Acid,C12 H24 O3,216.166,1.26,505-95-3
Lrp6KO2n99,Pantothenic Acid,C9 H17 N O5,219.11,4.63,137-08-6
Lrp6KO2n100,5-Hydroxytryptophan,C11 H12 N2 O3,220.077,7.32,04350-09-8
Lrp6KO2n101,3-Hydroxykynurenine,C10 H12 N2 O4,224.077,7.26,2147-61-7
Lrp6KO2n102,Myristoleic Acid,C14 H26 O2,226.184,1.21,544-64-9
Lrp6KO2n103,Deoxycytidine,C9 H13 N3 O4,227.094,4.63,951-77-9
Lrp6KO2n104,Myristic Acid,C14 H28 O2,228.208,1.21,544-63-8
Lrp6KO2n105,10(Z)-Pentadecenoic Acid,C15 H28 O2,240.204,1.18,84743-29-3
Lrp6KO2n106,Pentadecanoic Acid,C15 H30 O2,242.223,1.2,1002-84-2
Lrp6KO2n107,Cytidine,C9 H13 N3 O5,243.084,4.64,65-46-3
Lrp6KO2n108,Uridine,C9 H12 N2 O6,244.07,1.82,58-96-8
Lrp6KO2n109,Palmitoleic Acid,C16 H30 O2,254.223,1.2,373-49-9
Lrp6KO2n110,Palmitic Acid,C16 H32 O2,256.24,1.2,57-10-3
Lrp6KO2n111,D-Fructose 6-phosphate,C6 H13 O9 P,260.022,9.68,643-13-0
Lrp6KO2n112,D-Glucose 6-phosphate,C6 H13 O9 P,260.029,10.77,56-73-5
Lrp6KO2n113,Adenosine,C10 H13 N5 O4,267.094,3.39,58-61-7
Lrp6KO2n114,Inosine,C10 H12 N4 O5,268.08,2.84,58-63-9
Lrp6KO2n115,10(Z)-Heptadecenoic Acid,C17 H32 O2,268.237,1.19,29743-97-3
Lrp6KO2n116,Myoinositol-methyl-phosphate,C7 H15 O9 P,274.051,6.78,00-00-004
Lrp6KO2n117,Linoleic Acid,C18 H32 O2,280.239,1.19,60-33-3
Lrp6KO2n118,Oleic Acid,C18 H34 O2,282.255,1.18,112-80-1
Lrp6KO2n119,Guanosine,C10 H13 N5 O5,283.088,3.36,118-00-3
Lrp6KO2n120,Stearic Acid,C18 H36 O2,284.271,1.18,57-11-4
Lrp6KO2n121,Orotidine,C10 H12 N2 O8,288.06,2.28,2149-82-8
Lrp6KO2n122,Ophthalmic Acid,C11 H19 N3 O6,289.125,8.85,495-27-2
Lrp6KO2n123,L-Arginosuccinic Acid,C10 H18 N4 O6,290.122,10.22,2387-71-5
Lrp6KO2n124,Ricinoleic Acid,C18 H34 O3,298.251,1.23,141-22-0
Lrp6KO2n125,Retinoic Acid,C20 H28 O2,300.209,1.17,302-79-4
Lrp6KO2n126,Eicosapentaenoic Acid (20:5 n-3),C20 H30 O2,302.227,1.16,10417-94-4
Lrp6KO2n127,Arachidonic Acid,C20 H32 O2,304.239,1.18,506-32-1
Lrp6KO2n128,Dihomo-gamma-linolenic Acid,C20 H34 O2,306.248,1.18,1783-84-2
Lrp6KO2n129,Glutathione,C10 H17 N3 O6 S,307.081,8.5,70-18-8
Lrp6KO2n130,"11Z,14Z-Eicosadienoic Acid (20:2 n-6)",C20 H36 O2,308.265,1.18,2091-39-6
Lrp6KO2n131,N-Acetylneuraminic Acid,C11 H19 N O9,309.103,6.23,131-48-6
Lrp6KO2n132,11(Z)-Eicosenoic Acid,C20 H38 O2,310.284,1.17, 5561-99-9
Lrp6KO2n133,Arachidic Acid,C20 H40 O2,312.299,1.17,506-30-9
Lrp6KO2n134,"15-deoxy-delta-12,14-Prostaglandin J2",C20 H28 O3,316.208,1.25,87893-55-8
Lrp6KO2n135,CMP,C9 H14 N3 O8 P,323.051,10.95,63-37-6
Lrp6KO2n136,UMP,C9 H13 N2 O9 P,324.035,9.65,58-97-9
Lrp6KO2n137,12(Z)-Heneicosenoic Acid,C21 H40 O2,324.299,1.17,3515-84-2
Lrp6KO2n138,Oleoyl ethanolamide,C20 H39 N O2,325.302,1.16,111-58-0
Lrp6KO2n139,Docosahexaenoic Acid (22:6 n-3),C22 H32 O2,328.238,1.18,6217-54-5 
Lrp6KO2n140,Docosapentaenoic Acid,C22 H34 O2,330.263,1.18,24880-45-3
Lrp6KO2n141,Adrenic Acid (22:4 n-6),C22 H36 O2,332.268,1.17,28874-58-0
Lrp6KO2n142,3-Phosphoglyceroinositol,C9 H19 O11 P,334.064,7.04,00-00-006
Lrp6KO2n143,D12-Prostaglandin J2,C20 H30 O4,334.222,1.29,87893-54-7
Lrp6KO2n144,Lactose,C12 H22 O11,342.112,5.32,63-42-3
Lrp6KO2n145,Sucrose,C12 H22 O11,342.115,4.93,57-50-1
Lrp6KO2n146,"2,3-dinor Thromboxane B2",C18 H30 O6,342.202,1.18,63250-09-9
Lrp6KO2n147,AMP,C10 H14 N5 O7 P,347.062,10.43,61-19-8
Lrp6KO2n148,Cortisone,C21 H28 O5,360.191,1.47,53-06-5
Lrp6KO2n149,Archidonoyl glycine,C22 H35 N O3,361.255,1.23,179113-91-8
Lrp6KO2n150,Cortisol,C21 H30 O5,362.208,1.39,50-23-7
Lrp6KO2n151,GMP,C10 H14 N5 O8 P,363.057,10.41,85-32-5
Lrp6KO2n152,Adrenoyl ethanolamide,C24 H41 N O2,375.307,1.17,150314-35-5
Lrp6KO2n153,Lithocholic Acid,C24 H40 O3,376.295,1.16,434-13-9
Lrp6KO2n154,Succinoadenosine,C14 H17 N5 O8,383.105,7.81,4542-23-8
Lrp6KO2n155,S-Adenosylhomocysteine (SAH),C14 H20 N6 O5 S,384.121,8.82,979-92-0
Lrp6KO2n156,Palmitoyl dopamine,C24 H41 N O3,391.301,1.17,136181-87-8
Lrp6KO2n157,Cytidine diphosphate (CDP),C9 H15 N3 O11 P2,403.017,11.11,63-38-7
Lrp6KO2n158,Uridine diphosphate (UDP),C9 H14 N2 O12 P2,404.001,10.09,58-98-0
Lrp6KO2n159,Cysteineglutathione disulfide,C13 H22 N4 O8 S2,426.087,10.76,13081-14-6
Lrp6KO2n160,ADP,C10 H15 N5 O10 P2,427.029,10.78,58-64-0
Lrp6KO2n161,Arachidonyl dopamine,C28 H41 N O3,439.312,1.2,199875-69-9 
Lrp6KO2n162,GDP,C10 H15 N5 O11 P2,443.023,10.81,146-91-8
Lrp6KO2n163,Phylloquinone,C31 H46 O2,450.351,1.17,84-80-0
Lrp6KO2n164,Cholesterol Sulfate,C27 H46 O4 S,466.313,0.71,1256-86-6
Lrp6KO2n165,LysoPE(18:2),C23 H44 N O7 P,477.285,6.19,00-00-011
Lrp6KO2n166,LysoPE(18:0),C23 H48 N O7 P,481.315,6.13,00-00-012
Lrp6KO2n167,Deoxythymidine triphosphate (dTTP),C10 H17 N2 O14 P3,481.99,9.67,365-08-2
Lrp6KO2n168,Taurolithocholic Acid,C26 H45 N O5 S,483.303,1.34,516-90-5
Lrp6KO2n169,UTP,C9 H15 N2 O15 P3,483.968,10.38,63-39-8
Lrp6KO2n170,CDP-Choline,C14 H26 N4 O11 P2,488.106,12.61,987-78-0
Lrp6KO2n171,ATP,C10 H16 N5 O13 P3,506.995,10.97,56-65-5
Lrp6KO2n172,ADP-Ribose,C15 H23 N5 O14 P2,559.071,7.18,20762-30-5
Lrp6KO2n173,UDP-Glucose,C15 H24 N2 O17 P2,566.055,6.58,133-89-1
Lrp6KO2n174,UDP-Galactose,C15 H24 N2 O17 P2,566.055,6.77,2956-16-3
Lrp6KO2n175,UDP-Glucuronic acid,C15 H22 N2 O18 P2,580.034,7.27,2616-64-0
Lrp6KO2n176,ADP-Glucose,C16 H25 N5 O15 P2,589.082,7.54,102129-65-7
Lrp6KO2n177,GDP-Glucose,C16 H25 N5 O16 P2,605.077,7.51,5750-57-2
Lrp6KO2n178,UDP-N-Acetylglucosamine,C17 H27 N3 O17 P2,607.082,6.65,528-04-1
Lrp6KO2n179,UDP-N-Acetylgalactosamine,C17 H27 N3 O17 P2,607.082,6.83,7277-98-7
Lrp6KO2n180,GSSG,C20 H32 N6 O12 S2,612.151,10.65,27025-41-8
Lrp6KO2n181,3'-Sialyllactose,C23 H39 N O19,633.208,6.73,35890-38-1
Lrp6KO2n182,NAD,C21 H27 N7 O14 P2,663.108,9.48,53-84-9
Lrp6KO2n183,NADH,C21 H29 N7 O14 P2,665.123,7.01,59-68-4
Lrp6KO2n184,Phosphatidylethanolamine(32:0),C37 H74 N O8 P,691.51,4.65,5681-36-7
Lrp6KO2n185,NADP,C21 H28 N7 O17 P3,743.074,12.1,53-59-8
Lrp6KO2n186,PC(36:4),C44 H80 N O8 P,781.566,7.67,00-00-021
Lrp6KO2n187,Flavin adenine dinucleotide (FAD),C27 H33 N9 O15 P2,785.157,6.87,146-14-5
